sample,spp,treatment
31,Msac,waterlogging
32,Msin,waterlogging
33,Mxg,waterlogging
34,Hybrid3n,waterlogging
35,Msac,drought
36,Msin,drought
37,Mxg,drought
38,Hybrid3n,drought
39,Msac,control
40,Msin,control
41,Mxg,control
42,Hybrid3n,control
43,Msac,waterlogging
44,Msin,waterlogging
45,Mxg,waterlogging
46,Hybrid3n,waterlogging
47,Msac,drought
49,Mxg,drought
50,Hybrid3n,drought
51,Msac,control
52,Msin,control
53,Mxg,control
54,Hybrid3n,control
55,Msac,waterlogging
56,Msin,waterlogging
57,Mxg,waterlogging
58,Hybrid3n,waterlogging
59,Msac,drought
60,Msin,drought
61,Mxg,drought
62,Hybrid3n,drought
63,Msac,control
64,Msin,control
65,Mxg,control
66,Hybrid3n,control
