GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016310,phosphorylation,4559,111,58.07,5,0.000000000024,0.00029,0.0000236789,Misin01G053100.v7.1|Misin01G190000.v7.1|Misin01G198700.v7.1|Misin01G333500.v7.1|Misin01G344100.v7.1|Misin01G494400.v7.1|Misin02G224200.v7.1|Misin02G317100.v7.1|Misin02G336200.v7.1|Misin02G396200.v7.1|Misin02G408000.v7.1|Misin02G491300.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G087400.v7.1|Misin03G147600.v7.1|Misin03G147700.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G053000.v7.1|Misin04G059700.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G308100.v7.1|Misin04G310400.v7.1|Misin04G310600.v7.1|Misin05G036600.v7.1|Misin05G102400.v7.1|Misin05G350500.v7.1|Misin06G011700.v7.1|Misin06G014900.v7.1|Misin06G027600.v7.1|Misin06G059100.v7.1|Misin06G085700.v7.1|Misin06G167600.v7.1|Misin06G362400.v7.1|Misin07G012900.v7.1|Misin07G136000.v7.1|Misin07G212900.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G402000.v7.1|Misin07G409500.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin08G176300.v7.1|Misin08G200600.v7.1|Misin08G203100.v7.1|Misin09G048200.v7.1|Misin09G086000.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin10G041800.v7.1|Misin10G042200.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin10G162700.v7.1|Misin11G007400.v7.1|Misin11G223100.v7.1|Misin11G224100.v7.1|Misin11G224600.v7.1|Misin11G254500.v7.1|Misin11G268300.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin12G237400.v7.1|Misin13G187400.v7.1|Misin14G010200.v7.1|Misin14G074500.v7.1|Misin14G161200.v7.1|Misin15G024400.v7.1|Misin15G024500.v7.1|Misin16G078900.v7.1|Misin16G080200.v7.1|Misin16G178200.v7.1|Misin16G243600.v7.1|Misin17G078300.v7.1|Misin17G105900.v7.1|Misin18G026500.v7.1|Misin18G051300.v7.1|Misin18G170800.v7.1|Misin18G172000.v7.1|Misin18G267200.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G027100.v7.1|Misin19G042900.v7.1|Misin19G047400.v7.1|Misin19G057900.v7.1|Misin19G101700.v7.1|Misin19G131900.v7.1|Misin19G223200.v7.1|Misin19G258500.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT318800.v7.1|MisinT351200.v7.1|MisinT437000.v7.1|MisinT477200.v7.1|MisinT477300.v7.1
GO:0009069,serine family amino acid metabolic proce...,2441,63,31.09,2,0.000000043965,0.000000065,0.0000000015,Misin01G198700.v7.1|Misin01G344100.v7.1|Misin02G224200.v7.1|Misin02G336200.v7.1|Misin02G491300.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G147600.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G310600.v7.1|Misin05G102400.v7.1|Misin05G350500.v7.1|Misin06G014900.v7.1|Misin06G167600.v7.1|Misin07G136000.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin08G176300.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G223100.v7.1|Misin11G224100.v7.1|Misin11G224600.v7.1|Misin11G268300.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin12G237400.v7.1|Misin14G010200.v7.1|Misin14G074500.v7.1|Misin14G161200.v7.1|Misin15G024500.v7.1|Misin16G178200.v7.1|Misin17G105900.v7.1|Misin18G051300.v7.1|Misin18G170800.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G027100.v7.1|Misin19G042900.v7.1|Misin19G057900.v7.1|Misin19G131900.v7.1|Misin19G258500.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT351200.v7.1|MisinT437000.v7.1|MisinT477200.v7.1
GO:0007166,cell surface receptor signaling pathway,363,17,4.62,3,0.000006030521,0.000005044,0.0000015847,Misin02G491300.v7.1|Misin03G022700.v7.1|Misin04G034000.v7.1|Misin04G304300.v7.1|Misin07G225300.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin09G111100.v7.1|Misin10G104600.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin19G057900.v7.1|MisinT237700.v7.1
GO:0006013,mannose metabolic process,171,10,2.18,4,0.000073556231,0.000073556,0.0000735562,Misin02G247700.v7.1|Misin04G053000.v7.1|Misin05G036600.v7.1|Misin06G027600.v7.1|Misin06G362400.v7.1|Misin07G212900.v7.1|Misin15G036300.v7.1|Misin16G078900.v7.1|Misin16G080200.v7.1|Misin19G042900.v7.1
GO:0080163,regulation of protein serine/threonine p...,28,4,0.36,6,0.00042,0.00042,0.00042,Misin01G386500.v7.1|Misin02G377100.v7.1|Misin08G108800.v7.1|Misin09G143200.v7.1
GO:0006000,fructose metabolic process,156,8,1.99,7,0.00091,0.00091,0.00091,Misin04G053000.v7.1|Misin05G036600.v7.1|Misin06G027600.v7.1|Misin06G362400.v7.1|Misin07G212900.v7.1|Misin16G078900.v7.1|Misin16G080200.v7.1|Misin19G042900.v7.1
GO:0061615,glycolytic process through fructose-6-ph...,39,4,0.5,8,0.00150,0.00150,0.00150,Misin05G036600.v7.1|Misin06G027600.v7.1|Misin16G078900.v7.1|Misin19G042900.v7.1
GO:0006002,fructose 6-phosphate metabolic process,44,4,0.56,10,0.00235,0.00235,0.00235,Misin05G036600.v7.1|Misin06G027600.v7.1|Misin16G078900.v7.1|Misin19G042900.v7.1
GO:0006528,asparagine metabolic process,22,3,0.28,11,0.00264,0.00264,0.04977,Misin12G252300.v7.1|Misin14G041100.v7.1|Misin15G041400.v7.1
GO:0048575,"short-day photoperiodism, flowering",26,3,0.33,12,0.00429,0.00429,0.00429,Misin15G124400.v7.1|Misin19G047200.v7.1|Misin19G047400.v7.1
