GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0004672,protein kinase activity,3116,96,40.39,1,0.00000000000000074,0.0000000066,0.000000022,Misin01G190000.v7.1|Misin01G198700.v7.1|Misin01G333500.v7.1|Misin01G344100.v7.1|Misin01G494400.v7.1|Misin02G224200.v7.1|Misin02G317100.v7.1|Misin02G336200.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G087400.v7.1|Misin03G147600.v7.1|Misin03G147700.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G059700.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G308100.v7.1|Misin04G310400.v7.1|Misin04G310600.v7.1|Misin05G102400.v7.1|Misin05G350500.v7.1|Misin06G011700.v7.1|Misin06G014900.v7.1|Misin06G059100.v7.1|Misin06G085700.v7.1|Misin06G167600.v7.1|Misin07G012900.v7.1|Misin07G136000.v7.1|Misin07G225300.v7.1|Misin07G226400.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G402000.v7.1|Misin07G409500.v7.1|Misin07G415300.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin08G176300.v7.1|Misin08G200600.v7.1|Misin08G203100.v7.1|Misin09G033700.v7.1|Misin09G048200.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin10G041800.v7.1|Misin10G042200.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin10G162700.v7.1|Misin11G223100.v7.1|Misin11G224100.v7.1|Misin11G224600.v7.1|Misin11G268300.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin12G237400.v7.1|Misin13G187400.v7.1|Misin14G010200.v7.1|Misin14G074500.v7.1|Misin14G121300.v7.1|Misin14G161200.v7.1|Misin15G024400.v7.1|Misin15G024500.v7.1|Misin16G178200.v7.1|Misin16G243600.v7.1|Misin17G078300.v7.1|Misin17G105900.v7.1|Misin18G051300.v7.1|Misin18G170800.v7.1|Misin18G172000.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G027100.v7.1|Misin19G057900.v7.1|Misin19G101700.v7.1|Misin19G131900.v7.1|Misin19G258500.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT318800.v7.1|MisinT351200.v7.1|MisinT437000.v7.1|MisinT477200.v7.1|MisinT477300.v7.1
GO:0030246,carbohydrate binding,713,31,9.24,4,0.00000000588079877,0.0000188047,0.000032666,Misin01G494100.v7.1|Misin02G247700.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G049500.v7.1|Misin03G287300.v7.1|Misin04G034000.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G398600.v7.1|Misin05G102400.v7.1|Misin07G140200.v7.1|Misin07G226500.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin14G010200.v7.1|Misin15G024500.v7.1|Misin15G036300.v7.1|Misin16G080200.v7.1|Misin17G105900.v7.1|Misin17G123000.v7.1|Misin19G057900.v7.1|Misin19G131900.v7.1|MisinT096100.v7.1|MisinT237700.v7.1
GO:0005506,iron ion binding,767,30,9.94,3,0.00000010664841011,0.0000001066,0.000000107,Misin01G015100.v7.1|Misin01G317900.v7.1|Misin01G488200.v7.1|Misin02G060700.v7.1|Misin02G061000.v7.1|Misin02G350700.v7.1|Misin02G481700.v7.1|Misin03G238800.v7.1|Misin05G090900.v7.1|Misin05G202900.v7.1|Misin05G203400.v7.1|Misin05G241800.v7.1|Misin06G030000.v7.1|Misin06G349000.v7.1|Misin07G230900.v7.1|Misin07G466500.v7.1|Misin10G091300.v7.1|Misin11G232600.v7.1|Misin12G093200.v7.1|Misin12G138700.v7.1|Misin16G151000.v7.1|Misin16G234800.v7.1|Misin17G203500.v7.1|Misin18G074900.v7.1|Misin19G062800.v7.1|MisinT014600.v7.1|MisinT014800.v7.1|MisinT096100.v7.1|MisinT327300.v7.1|MisinT388400.v7.1
GO:0032559,adenyl ribonucleotide binding,5584,108,72.38,56,0.00000755218087897,0.05772,0.46214,Misin01G198700.v7.1|Misin01G254400.v7.1|Misin01G333500.v7.1|Misin01G344100.v7.1|Misin01G344200.v7.1|Misin01G354600.v7.1|Misin01G399900.v7.1|Misin02G082100.v7.1|Misin02G165800.v7.1|Misin02G224200.v7.1|Misin02G317100.v7.1|Misin02G336200.v7.1|Misin02G358500.v7.1|Misin02G396200.v7.1|Misin02G409100.v7.1|Misin02G491300.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G024900.v7.1|Misin03G087400.v7.1|Misin03G135000.v7.1|Misin03G145000.v7.1|Misin03G147600.v7.1|Misin03G147700.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin05G036600.v7.1|Misin05G102400.v7.1|Misin05G131200.v7.1|Misin05G228900.v7.1|Misin05G350500.v7.1|Misin06G011700.v7.1|Misin06G014900.v7.1|Misin06G027600.v7.1|Misin06G167600.v7.1|Misin06G202400.v7.1|Misin07G019300.v7.1|Misin07G038300.v7.1|Misin07G136000.v7.1|Misin07G212900.v7.1|Misin07G226500.v7.1|Misin07G295100.v7.1|Misin07G377800.v7.1|Misin07G386000.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin08G176300.v7.1|Misin09G048200.v7.1|Misin09G111100.v7.1|Misin09G182300.v7.1|Misin09G182500.v7.1|Misin09G184300.v7.1|Misin10G076200.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G022700.v7.1|Misin11G223100.v7.1|Misin11G224600.v7.1|Misin11G264800.v7.1|Misin11G268300.v7.1|Misin12G149900.v7.1|Misin12G201100.v7.1|Misin12G221600.v7.1|Misin13G036800.v7.1|Misin13G187400.v7.1|Misin14G010200.v7.1|Misin14G047100.v7.1|Misin14G049000.v7.1|Misin14G074500.v7.1|Misin14G161200.v7.1|Misin15G020100.v7.1|Misin15G024400.v7.1|Misin15G024500.v7.1|Misin16G078900.v7.1|Misin16G080200.v7.1|Misin16G178200.v7.1|Misin16G243600.v7.1|Misin17G078300.v7.1|Misin17G105900.v7.1|Misin18G051300.v7.1|Misin18G170800.v7.1|Misin18G172000.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G025600.v7.1|Misin19G027100.v7.1|Misin19G042900.v7.1|Misin19G057900.v7.1|Misin19G101700.v7.1|Misin19G101900.v7.1|Misin19G131900.v7.1|Misin19G179600.v7.1|Misin19G258500.v7.1|MisinT142900.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT318800.v7.1|MisinT351200.v7.1|MisinT437000.v7.1|MisinT477200.v7.1
GO:0004497,monooxygenase activity,754,25,9.77,15,0.00002143218631949,0.00549,0.00549,Misin01G015100.v7.1|Misin01G345300.v7.1|Misin01G488200.v7.1|Misin02G060700.v7.1|Misin02G061000.v7.1|Misin02G350700.v7.1|Misin02G481700.v7.1|Misin03G042800.v7.1|Misin03G238800.v7.1|Misin04G051000.v7.1|Misin04G177200.v7.1|Misin05G090900.v7.1|Misin05G202900.v7.1|Misin05G203400.v7.1|Misin05G241800.v7.1|Misin06G030000.v7.1|Misin07G466500.v7.1|Misin10G091300.v7.1|Misin12G138700.v7.1|Misin16G151000.v7.1|Misin17G203500.v7.1|MisinT014600.v7.1|MisinT014800.v7.1|MisinT327300.v7.1|MisinT388400.v7.1
GO:0016705,"oxidoreductase activity, acting on paire...",817,26,10.59,16,0.00002941699284448,0.00700,0.00700,Misin01G015100.v7.1|Misin01G345300.v7.1|Misin01G488200.v7.1|Misin02G060700.v7.1|Misin02G061000.v7.1|Misin02G350700.v7.1|Misin02G481700.v7.1|Misin03G042800.v7.1|Misin03G238800.v7.1|Misin04G051000.v7.1|Misin04G177200.v7.1|Misin05G090900.v7.1|Misin05G202900.v7.1|Misin05G203400.v7.1|Misin05G241800.v7.1|Misin06G030000.v7.1|Misin07G466500.v7.1|Misin10G091300.v7.1|Misin12G138700.v7.1|Misin16G151000.v7.1|Misin17G203500.v7.1|MisinT014600.v7.1|MisinT014800.v7.1|MisinT096100.v7.1|MisinT327300.v7.1|MisinT388400.v7.1
GO:0008144,drug binding,5364,102,69.52,203,0.00003236019818219,0.32759,1.00000,Misin01G198700.v7.1|Misin01G333500.v7.1|Misin01G344100.v7.1|Misin01G344200.v7.1|Misin01G354600.v7.1|Misin01G399900.v7.1|Misin02G082100.v7.1|Misin02G165800.v7.1|Misin02G224200.v7.1|Misin02G317100.v7.1|Misin02G336200.v7.1|Misin02G358500.v7.1|Misin02G396200.v7.1|Misin02G409100.v7.1|Misin02G491300.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G053400.v7.1|Misin03G087400.v7.1|Misin03G145000.v7.1|Misin03G147600.v7.1|Misin03G147700.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin05G036600.v7.1|Misin05G102400.v7.1|Misin05G131200.v7.1|Misin05G228900.v7.1|Misin05G350500.v7.1|Misin06G011700.v7.1|Misin06G014900.v7.1|Misin06G027600.v7.1|Misin06G167600.v7.1|Misin06G202400.v7.1|Misin07G019300.v7.1|Misin07G038300.v7.1|Misin07G136000.v7.1|Misin07G212900.v7.1|Misin07G226500.v7.1|Misin07G295100.v7.1|Misin07G377800.v7.1|Misin07G386000.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin08G176300.v7.1|Misin09G048200.v7.1|Misin09G085800.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin10G064900.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G022700.v7.1|Misin11G223100.v7.1|Misin11G224600.v7.1|Misin11G264800.v7.1|Misin11G268300.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin13G036800.v7.1|Misin13G187400.v7.1|Misin14G010200.v7.1|Misin14G074500.v7.1|Misin14G161200.v7.1|Misin15G024400.v7.1|Misin15G024500.v7.1|Misin16G078900.v7.1|Misin16G080200.v7.1|Misin16G178200.v7.1|Misin16G243600.v7.1|Misin17G078300.v7.1|Misin17G105900.v7.1|Misin18G051300.v7.1|Misin18G170800.v7.1|Misin18G172000.v7.1|Misin18G197900.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G025600.v7.1|Misin19G027100.v7.1|Misin19G042900.v7.1|Misin19G057900.v7.1|Misin19G101700.v7.1|Misin19G101900.v7.1|Misin19G131900.v7.1|Misin19G179600.v7.1|Misin19G258500.v7.1|MisinT157700.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT318800.v7.1|MisinT351200.v7.1|MisinT437000.v7.1|MisinT477200.v7.1
GO:0010427,abscisic acid binding,30,4,0.39,8,0.00058,0.00058,0.00058,Misin01G386500.v7.1|Misin02G377100.v7.1|Misin08G108800.v7.1|Misin09G143200.v7.1
GO:0004864,protein phosphatase inhibitor activity,36,4,0.47,10,0.00118,0.00118,0.00118,Misin01G386500.v7.1|Misin02G377100.v7.1|Misin08G108800.v7.1|Misin09G143200.v7.1
GO:0051213,dioxygenase activity,341,14,4.42,7,0.00132,0.00017,0.00062,Misin01G000700.v7.1|Misin01G317900.v7.1|Misin06G349000.v7.1|Misin07G230900.v7.1|Misin07G459000.v7.1|Misin08G254900.v7.1|Misin11G232600.v7.1|Misin12G246600.v7.1|Misin16G033100.v7.1|Misin16G033200.v7.1|Misin17G047800.v7.1|Misin18G074900.v7.1|Misin19G062800.v7.1|MisinT445000.v7.1
