GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0005982,starch metabolic process,758,29,7.53,1,0.00000000075,0.00000000075,0.0000000218,Misin01G020200.v7.1|Misin01G063200.v7.1|Misin01G206300.v7.1|Misin01G358800.v7.1|Misin01G486600.v7.1|Misin02G190600.v7.1|Misin02G205400.v7.1|Misin02G483200.v7.1|Misin02G500700.v7.1|Misin03G201800.v7.1|Misin03G236400.v7.1|Misin04G185900.v7.1|Misin04G312400.v7.1|Misin05G265800.v7.1|Misin06G263100.v7.1|Misin07G215000.v7.1|Misin10G043000.v7.1|Misin12G163600.v7.1|Misin15G034600.v7.1|Misin16G125400.v7.1|Misin16G229500.v7.1|Misin18G152900.v7.1|Misin18G276400.v7.1|Misin19G002300.v7.1|MisinT018600.v7.1|MisinT282800.v7.1|MisinT393000.v7.1|MisinT481700.v7.1|MisinT552400.v7.1
GO:0005985,sucrose metabolic process,689,27,6.84,2,0.00000000178,0.00000000178,0.0000000175,Misin01G020200.v7.1|Misin01G206300.v7.1|Misin01G358800.v7.1|Misin01G486600.v7.1|Misin02G190600.v7.1|Misin02G205400.v7.1|Misin02G483200.v7.1|Misin02G500700.v7.1|Misin03G201800.v7.1|Misin03G236400.v7.1|Misin04G185900.v7.1|Misin04G312400.v7.1|Misin05G265800.v7.1|Misin06G263100.v7.1|Misin07G215000.v7.1|Misin10G043000.v7.1|Misin12G163600.v7.1|Misin15G034600.v7.1|Misin16G125400.v7.1|Misin16G229500.v7.1|Misin18G276400.v7.1|Misin19G002300.v7.1|MisinT018600.v7.1|MisinT282800.v7.1|MisinT393000.v7.1|MisinT481700.v7.1|MisinT552400.v7.1
GO:0052837,thiazole biosynthetic process,4,4,0.04,3,0.00000000954,0.00000000954,0.0000000095,Misin04G366400.v7.1|Misin05G173500.v7.1|Misin06G165200.v7.1|MisinT322000.v7.1
GO:0009228,thiamine biosynthetic process,26,6,0.26,4,0.00000017811,0.00000017811,0.0000001781,Misin01G126400.v7.1|Misin02G129500.v7.1|Misin04G366400.v7.1|Misin05G173500.v7.1|Misin06G165200.v7.1|MisinT322000.v7.1
GO:0055114,oxidation-reduction process,3524,64,35,5,0.00001524674,0.00000418856,0.0000015141,Misin01G063200.v7.1|Misin01G078200.v7.1|Misin01G135300.v7.1|Misin01G340300.v7.1|Misin01G403300.v7.1|Misin01G487900.v7.1|Misin02G333100.v7.1|Misin02G333600.v7.1|Misin02G411700.v7.1|Misin03G091900.v7.1|Misin03G092000.v7.1|Misin04G149100.v7.1|Misin04G205100.v7.1|Misin04G287200.v7.1|Misin04G352100.v7.1|Misin04G366400.v7.1|Misin05G014500.v7.1|Misin05G157900.v7.1|Misin05G173500.v7.1|Misin05G300400.v7.1|Misin05G338300.v7.1|Misin05G342000.v7.1|Misin06G149100.v7.1|Misin06G165200.v7.1|Misin06G203600.v7.1|Misin06G253000.v7.1|Misin06G289700.v7.1|Misin06G319500.v7.1|Misin07G052900.v7.1|Misin07G061500.v7.1|Misin07G068300.v7.1|Misin07G200800.v7.1|Misin07G215000.v7.1|Misin07G271900.v7.1|Misin07G346800.v7.1|Misin07G485600.v7.1|Misin07G516400.v7.1|Misin08G001700.v7.1|Misin08G053500.v7.1|Misin08G068100.v7.1|Misin09G018700.v7.1|Misin10G053600.v7.1|Misin11G205000.v7.1|Misin11G253600.v7.1|Misin11G256500.v7.1|Misin11G257800.v7.1|Misin11G258000.v7.1|Misin11G270000.v7.1|Misin12G134500.v7.1|Misin13G145500.v7.1|Misin13G199000.v7.1|Misin16G155900.v7.1|Misin16G162800.v7.1|Misin17G165200.v7.1|Misin17G166600.v7.1|Misin17G177900.v7.1|Misin18G109800.v7.1|Misin18G276400.v7.1|Misin19G196400.v7.1|MisinT061900.v7.1|MisinT167900.v7.1|MisinT290600.v7.1|MisinT322000.v7.1|MisinT471700.v7.1
GO:0045492,xylan biosynthetic process,61,6,0.61,6,0.00003208263,0.00003208263,0.0000320826,Misin01G206300.v7.1|Misin01G436000.v7.1|Misin02G190600.v7.1|Misin04G185900.v7.1|Misin05G265800.v7.1|Misin06G263100.v7.1
GO:0071486,cellular response to high light intensit...,2,2,0.02,7,0.00009830770,0.00009830770,0.0000983077,Misin07G271900.v7.1|Misin13G145500.v7.1
GO:0010116,positive regulation of abscisic acid bio...,2,2,0.02,8,0.00009830770,0.00009830770,0.0000983077,Misin05G265800.v7.1|Misin06G263100.v7.1
GO:0009415,response to water,112,7,1.11,31,0.00013,0.00497,0.00497,Misin01G063200.v7.1|Misin05G015300.v7.1|Misin05G265800.v7.1|Misin06G263100.v7.1|Misin07G438800.v7.1|Misin07G485600.v7.1|Misin08G235000.v7.1
GO:0009250,glucan biosynthetic process,309,11,3.07,44,0.00029,0.01012,1.00000,Misin01G063200.v7.1|Misin01G206300.v7.1|Misin02G190600.v7.1|Misin02G500700.v7.1|Misin04G185900.v7.1|Misin05G265800.v7.1|Misin06G263100.v7.1|Misin07G215000.v7.1|Misin18G276400.v7.1|Misin19G002300.v7.1|MisinT018600.v7.1
