GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016310,phosphorylation,4559,156,74.59,6,0.0000000000000000000049,0.00043,0.0000817557065778743678,Misin01G100800.v7.1|Misin01G146700.v7.1|Misin01G190000.v7.1|Misin01G202900.v7.1|Misin01G265800.v7.1|Misin01G292300.v7.1|Misin01G319600.v7.1|Misin01G344100.v7.1|Misin01G349100.v7.1|Misin01G412200.v7.1|Misin01G494400.v7.1|Misin01G499100.v7.1|Misin02G208300.v7.1|Misin02G324500.v7.1|Misin02G336200.v7.1|Misin02G352500.v7.1|Misin02G396200.v7.1|Misin02G408000.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G021500.v7.1|Misin03G022200.v7.1|Misin03G022700.v7.1|Misin03G078500.v7.1|Misin03G078600.v7.1|Misin03G284800.v7.1|Misin04G033400.v7.1|Misin04G033500.v7.1|Misin04G034000.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G201300.v7.1|Misin04G372600.v7.1|Misin04G393700.v7.1|Misin05G006200.v7.1|Misin05G027400.v7.1|Misin05G036600.v7.1|Misin05G080800.v7.1|Misin05G082000.v7.1|Misin05G102400.v7.1|Misin05G209300.v7.1|Misin05G230400.v7.1|Misin05G292900.v7.1|Misin06G011700.v7.1|Misin06G077800.v7.1|Misin06G078000.v7.1|Misin06G171500.v7.1|Misin06G190900.v7.1|Misin06G203200.v7.1|Misin06G221000.v7.1|Misin06G226800.v7.1|Misin06G285700.v7.1|Misin06G344800.v7.1|Misin06G359200.v7.1|Misin07G031800.v7.1|Misin07G094600.v7.1|Misin07G109200.v7.1|Misin07G136000.v7.1|Misin07G225300.v7.1|Misin07G225400.v7.1|Misin07G225600.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G402000.v7.1|Misin07G409500.v7.1|Misin07G415200.v7.1|Misin07G495100.v7.1|Misin08G050700.v7.1|Misin08G176300.v7.1|Misin08G196000.v7.1|Misin08G200400.v7.1|Misin08G200600.v7.1|Misin08G203100.v7.1|Misin08G210300.v7.1|Misin09G032200.v7.1|Misin09G095500.v7.1|Misin09G098100.v7.1|Misin09G100100.v7.1|Misin09G100400.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin09G188000.v7.1|Misin10G028200.v7.1|Misin10G041800.v7.1|Misin10G078700.v7.1|Misin10G104600.v7.1|Misin10G154000.v7.1|Misin10G162700.v7.1|Misin10G170000.v7.1|Misin10G189200.v7.1|Misin11G155800.v7.1|Misin11G184100.v7.1|Misin11G211600.v7.1|Misin11G222800.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin12G161400.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin12G226300.v7.1|Misin12G280400.v7.1|Misin13G084400.v7.1|Misin13G187400.v7.1|Misin14G007400.v7.1|Misin14G007500.v7.1|Misin14G074500.v7.1|Misin14G121800.v7.1|Misin14G138900.v7.1|Misin15G027700.v7.1|Misin15G091200.v7.1|Misin16G168900.v7.1|Misin16G207700.v7.1|Misin16G222700.v7.1|Misin17G003000.v7.1|Misin17G017200.v7.1|Misin17G055400.v7.1|Misin17G155800.v7.1|Misin17G167900.v7.1|Misin18G028200.v7.1|Misin18G051300.v7.1|Misin18G105500.v7.1|Misin18G171800.v7.1|Misin18G207400.v7.1|Misin18G215900.v7.1|Misin19G040600.v7.1|Misin19G051900.v7.1|Misin19G138600.v7.1|Misin19G165000.v7.1|Misin19G200700.v7.1|Misin19G204400.v7.1|Misin19G210900.v7.1|Misin19G249000.v7.1|MisinT113700.v7.1|MisinT151400.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT318800.v7.1|MisinT364600.v7.1|MisinT371800.v7.1|MisinT402800.v7.1|MisinT453600.v7.1|MisinT477200.v7.1|MisinT477300.v7.1|MisinT513500.v7.1|MisinT543700.v7.1|MisinT560400.v7.1|MisinT580600.v7.1|MisinT584600.v7.1|MisinT585300.v7.1
GO:0009069,serine family amino acid metabolic proce...,2441,101,39.94,2,0.0000000000000000009929,0.0000000000000000033,0.0000000000000000000035,Misin01G146700.v7.1|Misin01G202900.v7.1|Misin01G265800.v7.1|Misin01G344100.v7.1|Misin01G499100.v7.1|Misin02G076500.v7.1|Misin02G208300.v7.1|Misin02G336200.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G021500.v7.1|Misin03G022200.v7.1|Misin03G022700.v7.1|Misin03G078600.v7.1|Misin03G284800.v7.1|Misin04G033400.v7.1|Misin04G033500.v7.1|Misin04G034000.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G393700.v7.1|Misin05G006200.v7.1|Misin05G027400.v7.1|Misin05G080800.v7.1|Misin05G082000.v7.1|Misin05G102400.v7.1|Misin05G209300.v7.1|Misin05G292900.v7.1|Misin06G078000.v7.1|Misin06G221000.v7.1|Misin06G226800.v7.1|Misin06G344800.v7.1|Misin06G359200.v7.1|Misin07G031800.v7.1|Misin07G094600.v7.1|Misin07G136000.v7.1|Misin07G225300.v7.1|Misin07G225400.v7.1|Misin07G225600.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G415200.v7.1|Misin08G050700.v7.1|Misin08G176300.v7.1|Misin08G196000.v7.1|Misin08G210300.v7.1|Misin09G032200.v7.1|Misin09G095500.v7.1|Misin09G098100.v7.1|Misin09G100100.v7.1|Misin09G100400.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin09G188000.v7.1|Misin10G028200.v7.1|Misin10G078700.v7.1|Misin10G104600.v7.1|Misin10G154000.v7.1|Misin10G189200.v7.1|Misin11G184100.v7.1|Misin11G211600.v7.1|Misin11G222800.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin14G074500.v7.1|Misin14G121800.v7.1|Misin14G138900.v7.1|Misin15G091200.v7.1|Misin16G222700.v7.1|Misin17G003000.v7.1|Misin17G055400.v7.1|Misin17G167900.v7.1|Misin18G028200.v7.1|Misin18G051300.v7.1|Misin18G171800.v7.1|Misin18G207400.v7.1|Misin19G040600.v7.1|Misin19G051900.v7.1|Misin19G138600.v7.1|Misin19G165000.v7.1|Misin19G200700.v7.1|Misin19G204400.v7.1|Misin19G210900.v7.1|Misin19G249000.v7.1|MisinT151400.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT364600.v7.1|MisinT402800.v7.1|MisinT453600.v7.1|MisinT477200.v7.1|MisinT513500.v7.1|MisinT543700.v7.1|MisinT560400.v7.1
GO:0007166,cell surface receptor signaling pathway,363,27,5.94,3,0.0000000003712516667815,0.0000000000842174207,0.0000000000919131593823,Misin01G146700.v7.1|Misin01G265800.v7.1|Misin02G437700.v7.1|Misin03G022700.v7.1|Misin03G078600.v7.1|Misin03G172500.v7.1|Misin04G034000.v7.1|Misin04G304300.v7.1|Misin05G080800.v7.1|Misin05G292900.v7.1|Misin07G031800.v7.1|Misin07G225300.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G415200.v7.1|Misin08G196000.v7.1|Misin09G111100.v7.1|Misin10G028200.v7.1|Misin10G104600.v7.1|Misin12G221600.v7.1|Misin16G222700.v7.1|Misin19G051900.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT364600.v7.1|MisinT560400.v7.1
GO:0015691,cadmium ion transport,20,5,0.33,4,0.0000145548755513488142,0.0000145548755513488,0.0000145548755513488142,Misin01G131200.v7.1|Misin02G122600.v7.1|Misin04G085300.v7.1|MisinT261600.v7.1|MisinT556700.v7.1
GO:0006826,iron ion transport,59,7,0.97,5,0.0000493006206720690305,0.0000493006206720690,0.0000493006206720690305,Misin01G131200.v7.1|Misin01G257500.v7.1|Misin02G122600.v7.1|Misin03G002600.v7.1|Misin03G002900.v7.1|MisinT157700.v7.1|MisinT261600.v7.1
GO:0006829,zinc ion transport,66,7,1.08,14,0.00010,0.00878,0.00878,Misin01G131200.v7.1|Misin01G321200.v7.1|Misin02G122600.v7.1|Misin04G085300.v7.1|Misin05G344400.v7.1|MisinT261600.v7.1|MisinT556700.v7.1
GO:0043666,regulation of phosphoprotein phosphatase...,46,5,0.75,7,0.00091,0.00091,0.21795,Misin02G377100.v7.1|Misin05G003600.v7.1|Misin08G108800.v7.1|Misin09G143200.v7.1|Misin11G217000.v7.1
GO:0048544,recognition of pollen,138,8,2.26,8,0.00202,0.00202,0.00202,Misin06G221000.v7.1|Misin11G222800.v7.1|Misin11G224600.v7.1|Misin18G171800.v7.1|Misin18G207400.v7.1|Misin19G165000.v7.1|Misin19G200700.v7.1|MisinT151400.v7.1
GO:0055072,iron ion homeostasis,61,5,1,10,0.00322,0.00322,0.00322,Misin01G131200.v7.1|Misin01G442700.v7.1|Misin02G122600.v7.1|Misin07G429000.v7.1|Misin08G222500.v7.1
GO:2000904,regulation of starch metabolic process,6,2,0.1,11,0.00384,0.00384,0.00384,Misin01G494100.v7.1|Misin02G506000.v7.1
