GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0004672,protein kinase activity,3116,141,53.17,2,0.0000000000000000000000000038,0.0000000043,0.00000001,Misin01G146700.v7.1|Misin01G190000.v7.1|Misin01G202900.v7.1|Misin01G265800.v7.1|Misin01G344100.v7.1|Misin01G349100.v7.1|Misin01G494400.v7.1|Misin01G499100.v7.1|Misin02G208300.v7.1|Misin02G324500.v7.1|Misin02G336200.v7.1|Misin02G352500.v7.1|Misin02G501300.v7.1|Misin03G021500.v7.1|Misin03G022200.v7.1|Misin03G022700.v7.1|Misin03G078500.v7.1|Misin03G078600.v7.1|Misin03G284800.v7.1|Misin04G033400.v7.1|Misin04G033500.v7.1|Misin04G034000.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G372600.v7.1|Misin04G393700.v7.1|Misin05G006200.v7.1|Misin05G027400.v7.1|Misin05G080800.v7.1|Misin05G082000.v7.1|Misin05G102400.v7.1|Misin05G209300.v7.1|Misin05G230400.v7.1|Misin05G292900.v7.1|Misin06G011700.v7.1|Misin06G077800.v7.1|Misin06G078000.v7.1|Misin06G171500.v7.1|Misin06G203200.v7.1|Misin06G221000.v7.1|Misin06G226800.v7.1|Misin06G285700.v7.1|Misin06G344800.v7.1|Misin06G359200.v7.1|Misin07G031800.v7.1|Misin07G094600.v7.1|Misin07G109200.v7.1|Misin07G136000.v7.1|Misin07G225300.v7.1|Misin07G225400.v7.1|Misin07G225600.v7.1|Misin07G226400.v7.1|Misin07G226500.v7.1|Misin07G226900.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G402000.v7.1|Misin07G409500.v7.1|Misin07G415200.v7.1|Misin07G415300.v7.1|Misin08G050700.v7.1|Misin08G176300.v7.1|Misin08G196000.v7.1|Misin08G200400.v7.1|Misin08G200600.v7.1|Misin08G203100.v7.1|Misin08G210300.v7.1|Misin08G210700.v7.1|Misin09G032200.v7.1|Misin09G033700.v7.1|Misin09G095500.v7.1|Misin09G098100.v7.1|Misin09G100100.v7.1|Misin09G100400.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin09G188000.v7.1|Misin10G041800.v7.1|Misin10G078700.v7.1|Misin10G104600.v7.1|Misin10G154000.v7.1|Misin10G162700.v7.1|Misin10G170000.v7.1|Misin10G189200.v7.1|Misin11G155800.v7.1|Misin11G184100.v7.1|Misin11G211600.v7.1|Misin11G222800.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin12G161400.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin12G280400.v7.1|Misin13G187400.v7.1|Misin14G007400.v7.1|Misin14G007500.v7.1|Misin14G074500.v7.1|Misin14G121800.v7.1|Misin14G138900.v7.1|Misin15G027700.v7.1|Misin15G091200.v7.1|Misin16G168900.v7.1|Misin16G207700.v7.1|Misin16G222700.v7.1|Misin17G003000.v7.1|Misin17G055400.v7.1|Misin17G167900.v7.1|Misin18G028200.v7.1|Misin18G051300.v7.1|Misin18G105500.v7.1|Misin18G171800.v7.1|Misin18G207400.v7.1|Misin18G215900.v7.1|Misin19G051900.v7.1|Misin19G138600.v7.1|Misin19G165000.v7.1|Misin19G200700.v7.1|Misin19G204400.v7.1|Misin19G210900.v7.1|Misin19G249000.v7.1|MisinT151400.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT318800.v7.1|MisinT364600.v7.1|MisinT402800.v7.1|MisinT453600.v7.1|MisinT477200.v7.1|MisinT477300.v7.1|MisinT513500.v7.1|MisinT543700.v7.1|MisinT560400.v7.1|MisinT580600.v7.1|MisinT585300.v7.1
GO:0032559,adenyl ribonucleotide binding,5584,154,95.28,413,0.0000000003042777561419311443,0.86515,1.00000,Misin01G146700.v7.1|Misin01G202900.v7.1|Misin01G265800.v7.1|Misin01G344100.v7.1|Misin01G354600.v7.1|Misin01G412200.v7.1|Misin01G417800.v7.1|Misin01G478800.v7.1|Misin01G499100.v7.1|Misin02G157700.v7.1|Misin02G208300.v7.1|Misin02G336200.v7.1|Misin02G396200.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G021500.v7.1|Misin03G022200.v7.1|Misin03G022700.v7.1|Misin03G052500.v7.1|Misin03G078600.v7.1|Misin03G272800.v7.1|Misin03G284800.v7.1|Misin04G015500.v7.1|Misin04G033400.v7.1|Misin04G033500.v7.1|Misin04G034000.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G067600.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G201300.v7.1|Misin04G295600.v7.1|Misin04G304200.v7.1|Misin04G372600.v7.1|Misin04G393700.v7.1|Misin04G406900.v7.1|Misin05G006200.v7.1|Misin05G027400.v7.1|Misin05G036600.v7.1|Misin05G080800.v7.1|Misin05G082000.v7.1|Misin05G102400.v7.1|Misin05G179000.v7.1|Misin05G209300.v7.1|Misin05G230400.v7.1|Misin05G292900.v7.1|Misin05G407800.v7.1|Misin06G011700.v7.1|Misin06G078000.v7.1|Misin06G171500.v7.1|Misin06G203200.v7.1|Misin06G221000.v7.1|Misin06G226800.v7.1|Misin06G344800.v7.1|Misin06G359200.v7.1|Misin07G031800.v7.1|Misin07G094600.v7.1|Misin07G109200.v7.1|Misin07G136000.v7.1|Misin07G152700.v7.1|Misin07G225400.v7.1|Misin07G225600.v7.1|Misin07G226500.v7.1|Misin07G269400.v7.1|Misin07G295100.v7.1|Misin07G377800.v7.1|Misin07G415200.v7.1|Misin08G050700.v7.1|Misin08G176300.v7.1|Misin08G196000.v7.1|Misin08G210300.v7.1|Misin08G268000.v7.1|Misin09G018000.v7.1|Misin09G032200.v7.1|Misin09G094000.v7.1|Misin09G098100.v7.1|Misin09G100100.v7.1|Misin09G100400.v7.1|Misin09G111100.v7.1|Misin09G170400.v7.1|Misin09G184300.v7.1|Misin09G188000.v7.1|Misin09G194600.v7.1|Misin09G212100.v7.1|Misin10G074500.v7.1|Misin10G074800.v7.1|Misin10G076200.v7.1|Misin10G078700.v7.1|Misin10G104600.v7.1|Misin10G143100.v7.1|Misin10G154000.v7.1|Misin10G189200.v7.1|Misin11G022700.v7.1|Misin11G098300.v7.1|Misin11G155800.v7.1|Misin11G184100.v7.1|Misin11G211600.v7.1|Misin11G222800.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin12G108200.v7.1|Misin12G161400.v7.1|Misin12G192600.v7.1|Misin12G201100.v7.1|Misin12G221600.v7.1|Misin12G280400.v7.1|Misin13G084400.v7.1|Misin13G187400.v7.1|Misin14G007400.v7.1|Misin14G007500.v7.1|Misin14G010400.v7.1|Misin14G047100.v7.1|Misin14G074500.v7.1|Misin14G105000.v7.1|Misin14G121800.v7.1|Misin14G138900.v7.1|Misin15G018300.v7.1|Misin15G091200.v7.1|Misin16G168900.v7.1|Misin16G207700.v7.1|Misin16G222700.v7.1|Misin17G003000.v7.1|Misin17G055400.v7.1|Misin17G167900.v7.1|Misin17G186400.v7.1|Misin18G051300.v7.1|Misin18G105500.v7.1|Misin18G171800.v7.1|Misin18G207400.v7.1|Misin18G215900.v7.1|Misin19G040600.v7.1|Misin19G138600.v7.1|Misin19G165000.v7.1|Misin19G200700.v7.1|Misin19G204400.v7.1|MisinT113700.v7.1|MisinT151400.v7.1|MisinT183900.v7.1|MisinT184100.v7.1|MisinT237700.v7.1|MisinT255700.v7.1|MisinT318800.v7.1|MisinT364600.v7.1|MisinT368300.v7.1|MisinT371800.v7.1|MisinT380300.v7.1|MisinT402800.v7.1|MisinT477200.v7.1|MisinT513500.v7.1|MisinT543700.v7.1|MisinT585300.v7.1
GO:0030246,carbohydrate binding,713,39,12.17,8,0.0000000003546468811762745801,0.0000556805,0.00001874,Misin01G146700.v7.1|Misin01G265800.v7.1|Misin01G494100.v7.1|Misin01G507300.v7.1|Misin02G208300.v7.1|Misin02G506000.v7.1|Misin03G021500.v7.1|Misin03G022200.v7.1|Misin03G022700.v7.1|Misin04G033400.v7.1|Misin04G033500.v7.1|Misin04G034000.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin05G082000.v7.1|Misin05G102400.v7.1|Misin05G179000.v7.1|Misin05G292900.v7.1|Misin05G328800.v7.1|Misin07G225400.v7.1|Misin07G225600.v7.1|Misin07G226500.v7.1|Misin07G415200.v7.1|Misin08G196000.v7.1|Misin08G210300.v7.1|Misin10G154000.v7.1|Misin11G155800.v7.1|Misin12G161400.v7.1|Misin12G221600.v7.1|Misin12G226300.v7.1|Misin15G036300.v7.1|Misin17G003000.v7.1|Misin17G123000.v7.1|Misin19G204400.v7.1|MisinT237700.v7.1|MisinT585300.v7.1
GO:0008144,drug binding,5364,142,91.52,75,0.0000001170293456507943419697,0.06014,1.00000,Misin01G146700.v7.1|Misin01G176200.v7.1|Misin01G202900.v7.1|Misin01G265800.v7.1|Misin01G344100.v7.1|Misin01G354600.v7.1|Misin01G412200.v7.1|Misin01G478800.v7.1|Misin01G499100.v7.1|Misin02G076500.v7.1|Misin02G157700.v7.1|Misin02G208300.v7.1|Misin02G336200.v7.1|Misin02G396200.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G002600.v7.1|Misin03G002900.v7.1|Misin03G021500.v7.1|Misin03G022200.v7.1|Misin03G022700.v7.1|Misin03G052500.v7.1|Misin03G078600.v7.1|Misin03G284800.v7.1|Misin04G033400.v7.1|Misin04G033500.v7.1|Misin04G034000.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G201300.v7.1|Misin04G304200.v7.1|Misin04G372600.v7.1|Misin04G393700.v7.1|Misin04G406900.v7.1|Misin05G006200.v7.1|Misin05G027400.v7.1|Misin05G036600.v7.1|Misin05G080800.v7.1|Misin05G082000.v7.1|Misin05G102400.v7.1|Misin05G179000.v7.1|Misin05G209300.v7.1|Misin05G230400.v7.1|Misin05G292900.v7.1|Misin05G403400.v7.1|Misin05G407800.v7.1|Misin06G011700.v7.1|Misin06G078000.v7.1|Misin06G171500.v7.1|Misin06G203200.v7.1|Misin06G221000.v7.1|Misin06G226800.v7.1|Misin06G344800.v7.1|Misin06G359200.v7.1|Misin07G031800.v7.1|Misin07G094600.v7.1|Misin07G109200.v7.1|Misin07G136000.v7.1|Misin07G152700.v7.1|Misin07G225400.v7.1|Misin07G225600.v7.1|Misin07G226500.v7.1|Misin07G269400.v7.1|Misin07G295100.v7.1|Misin07G377800.v7.1|Misin07G415200.v7.1|Misin07G485600.v7.1|Misin08G050700.v7.1|Misin08G176300.v7.1|Misin08G196000.v7.1|Misin08G210300.v7.1|Misin08G268000.v7.1|Misin09G032200.v7.1|Misin09G085800.v7.1|Misin09G098100.v7.1|Misin09G100100.v7.1|Misin09G100400.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin09G188000.v7.1|Misin09G194600.v7.1|Misin10G078700.v7.1|Misin10G104600.v7.1|Misin10G143100.v7.1|Misin10G154000.v7.1|Misin10G189200.v7.1|Misin11G022700.v7.1|Misin11G098300.v7.1|Misin11G155800.v7.1|Misin11G184100.v7.1|Misin11G211600.v7.1|Misin11G222800.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin12G108200.v7.1|Misin12G161400.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin12G280400.v7.1|Misin13G084400.v7.1|Misin13G187400.v7.1|Misin14G007400.v7.1|Misin14G007500.v7.1|Misin14G010400.v7.1|Misin14G074500.v7.1|Misin14G121800.v7.1|Misin14G138900.v7.1|Misin15G091200.v7.1|Misin15G152900.v7.1|Misin16G168900.v7.1|Misin16G207700.v7.1|Misin16G222700.v7.1|Misin17G003000.v7.1|Misin17G055400.v7.1|Misin17G167900.v7.1|Misin17G186400.v7.1|Misin18G051300.v7.1|Misin18G105500.v7.1|Misin18G171800.v7.1|Misin18G207400.v7.1|Misin18G215900.v7.1|Misin19G040600.v7.1|Misin19G138600.v7.1|Misin19G165000.v7.1|Misin19G200700.v7.1|Misin19G204400.v7.1|MisinT113700.v7.1|MisinT151400.v7.1|MisinT157700.v7.1|MisinT237700.v7.1|MisinT318800.v7.1|MisinT364600.v7.1|MisinT371800.v7.1|MisinT402800.v7.1|MisinT477200.v7.1|MisinT513500.v7.1|MisinT543700.v7.1|MisinT585300.v7.1
GO:0033855,nicotianamine aminotransferase activity,3,3,0.05,5,0.0000049415367305662449926647,0.0000049415,0.00000494,Misin03G002600.v7.1|Misin03G002900.v7.1|MisinT157700.v7.1
GO:0005509,calcium ion binding,618,26,10.54,7,0.0000279893349725905615993978,0.0000279893,0.00002799,Misin01G146700.v7.1|Misin01G265800.v7.1|Misin01G499100.v7.1|Misin02G341900.v7.1|Misin02G501300.v7.1|Misin03G022700.v7.1|Misin03G078600.v7.1|Misin03G366800.v7.1|Misin03G366900.v7.1|Misin04G034000.v7.1|Misin04G402100.v7.1|Misin04G402300.v7.1|Misin05G292900.v7.1|Misin07G225600.v7.1|Misin07G226500.v7.1|Misin07G415200.v7.1|Misin08G196000.v7.1|Misin08G210300.v7.1|Misin11G184100.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin16G193600.v7.1|MisinT237700.v7.1|MisinT296100.v7.1|MisinT364600.v7.1|MisinT584600.v7.1
GO:0005385,zinc ion transmembrane transporter activ...,66,7,1.13,9,0.00013,0.00013,0.00013,Misin01G131200.v7.1|Misin01G321200.v7.1|Misin02G122600.v7.1|Misin04G085300.v7.1|Misin05G344400.v7.1|MisinT261600.v7.1|MisinT556700.v7.1
GO:0016871,cycloartenol synthase activity,4,2,0.07,11,0.00170,0.00170,0.00170,Misin07G036000.v7.1|Misin08G035600.v7.1
GO:0004612,phosphoenolpyruvate carboxykinase (ATP) ...,4,2,0.07,12,0.00170,0.00170,0.00170,Misin01G412200.v7.1|Misin02G396200.v7.1
GO:0004864,protein phosphatase inhibitor activity,36,4,0.61,13,0.00320,0.00320,0.00320,Misin02G377100.v7.1|Misin05G003600.v7.1|Misin08G108800.v7.1|Misin09G143200.v7.1
