GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016310,phosphorylation,4559,99,54.76,3,0.0000000072,0.00005638,0.000078699,Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G383700.v7.1|Misin01G412200.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G145500.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin02G502200.v7.1|Misin03G011600.v7.1|Misin03G022700.v7.1|Misin03G235900.v7.1|Misin03G237100.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G293900.v7.1|Misin04G310400.v7.1|Misin04G310600.v7.1|Misin04G405400.v7.1|Misin05G042900.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin05G208400.v7.1|Misin05G272400.v7.1|Misin05G311100.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G252000.v7.1|Misin06G359200.v7.1|Misin06G371600.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G233100.v7.1|Misin07G402800.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G440500.v7.1|Misin08G048400.v7.1|Misin08G088000.v7.1|Misin08G200400.v7.1|Misin08G200600.v7.1|Misin08G203100.v7.1|Misin08G297000.v7.1|Misin09G083700.v7.1|Misin09G086000.v7.1|Misin09G097700.v7.1|Misin09G159600.v7.1|Misin09G184300.v7.1|Misin10G042000.v7.1|Misin10G076600.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G162700.v7.1|Misin11G212200.v7.1|Misin11G254500.v7.1|Misin12G025100.v7.1|Misin12G105200.v7.1|Misin12G161400.v7.1|Misin12G239200.v7.1|Misin13G013100.v7.1|Misin13G100200.v7.1|Misin13G127600.v7.1|Misin13G172900.v7.1|Misin14G074500.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin15G099600.v7.1|Misin16G186800.v7.1|Misin16G207000.v7.1|Misin16G249600.v7.1|Misin16G255400.v7.1|Misin17G065700.v7.1|Misin17G195600.v7.1|Misin17G207200.v7.1|Misin18G026500.v7.1|Misin18G033400.v7.1|Misin18G033500.v7.1|Misin18G180000.v7.1|Misin19G027000.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G084900.v7.1|Misin19G168400.v7.1|Misin19G212800.v7.1|MisinT018000.v7.1|MisinT050600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT272300.v7.1|MisinT547900.v7.1
GO:0009069,serine family amino acid metabolic proce...,2441,61,29.32,1,0.0000000353,0.00000004,0.000000025,Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G076500.v7.1|Misin02G145500.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin03G022700.v7.1|Misin03G235900.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G310600.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G359200.v7.1|Misin06G371600.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G233100.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G440500.v7.1|Misin08G048400.v7.1|Misin09G083700.v7.1|Misin09G097700.v7.1|Misin09G184300.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin11G212200.v7.1|Misin12G025100.v7.1|Misin12G239200.v7.1|Misin13G100200.v7.1|Misin14G074500.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin16G207000.v7.1|Misin16G255400.v7.1|Misin17G065700.v7.1|Misin17G207200.v7.1|Misin18G033400.v7.1|Misin18G180000.v7.1|Misin19G027000.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G168400.v7.1|MisinT018000.v7.1|MisinT050600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT547900.v7.1
GO:1902356,oxaloacetate(2-) transmembrane transport,9,3,0.11,4,0.00014,0.00014,0.00014,Misin07G200200.v7.1|Misin14G100100.v7.1|Misin15G121400.v7.1
GO:0015742,alpha-ketoglutarate transport,3,2,0.04,5,0.00043,0.00043,0.00043,Misin14G100100.v7.1|Misin15G121400.v7.1
GO:0019253,reductive pentose-phosphate cycle,32,4,0.38,7,0.00056,0.00056,0.00056,Misin03G235900.v7.1|Misin12G105200.v7.1|Misin15G015000.v7.1|Misin16G186800.v7.1
GO:0007166,cell surface receptor signaling pathway,363,13,4.36,6,0.00080,0.00050,0.00065,Misin03G022700.v7.1|Misin04G194800.v7.1|Misin07G225300.v7.1|Misin07G233100.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin10G132600.v7.1|Misin18G033400.v7.1|Misin19G058200.v7.1|MisinT237600.v7.1|MisinT237700.v7.1
GO:0006875,cellular metal ion homeostasis,247,10,2.97,41,0.00265,0.02764,0.09072,Misin03G067000.v7.1|Misin07G386000.v7.1|Misin07G543400.v7.1|Misin08G181500.v7.1|Misin12G111700.v7.1|Misin12G112000.v7.1|Misin12G112200.v7.1|Misin12G112700.v7.1|Misin17G044200.v7.1|Misin19G209500.v7.1
GO:0071423,malate transmembrane transport,25,3,0.3,9,0.00325,0.00325,0.00325,Misin07G200200.v7.1|Misin14G100100.v7.1|Misin15G121400.v7.1
GO:0009611,response to wounding,130,6,1.56,10,0.00495,0.00495,0.00495,Misin02G184600.v7.1|Misin04G199400.v7.1|Misin07G230900.v7.1|Misin18G061400.v7.1|Misin19G027000.v7.1|MisinT436300.v7.1
GO:0009407,toxin catabolic process,103,5,1.24,15,0.00817,0.00817,0.00817,Misin01G300300.v7.1|Misin02G286300.v7.1|Misin02G292400.v7.1|Misin05G392300.v7.1|MisinT258000.v7.1
