GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0004674,protein serine/threonine kinase activity,2057,56,25.43,1,0.000000026,0.000000026,0.000000091,Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G145500.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin03G022700.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G310600.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G359200.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G233100.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G440500.v7.1|Misin08G048400.v7.1|Misin09G083700.v7.1|Misin09G097700.v7.1|Misin09G184300.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin11G212200.v7.1|Misin12G025100.v7.1|Misin12G239200.v7.1|Misin13G100200.v7.1|Misin14G074500.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin16G207000.v7.1|Misin16G255400.v7.1|Misin17G207200.v7.1|Misin18G033400.v7.1|Misin18G180000.v7.1|Misin19G027000.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G168400.v7.1|MisinT050600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT547900.v7.1
GO:0030247,polysaccharide binding,309,17,3.82,2,0.000000380,0.000000380,0.000003014,Misin01G383700.v7.1|Misin01G424300.v7.1|Misin01G494100.v7.1|Misin03G022700.v7.1|Misin04G000400.v7.1|Misin04G310300.v7.1|Misin05G328800.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G406000.v7.1|Misin07G032600.v7.1|Misin07G226500.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin19G058200.v7.1|MisinT237700.v7.1
GO:0008144,drug binding,5364,98,66.31,228,0.000029031,0.29252,1.00000,Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G344200.v7.1|Misin01G383700.v7.1|Misin01G399900.v7.1|Misin01G412200.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G076500.v7.1|Misin02G145500.v7.1|Misin02G184600.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin03G011600.v7.1|Misin03G022700.v7.1|Misin03G237100.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G225400.v7.1|Misin04G237000.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin05G208400.v7.1|Misin05G227800.v7.1|Misin05G272400.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G200400.v7.1|Misin06G221100.v7.1|Misin06G252000.v7.1|Misin06G359200.v7.1|Misin07G087100.v7.1|Misin07G089400.v7.1|Misin07G159000.v7.1|Misin07G226500.v7.1|Misin07G242100.v7.1|Misin07G295100.v7.1|Misin07G386000.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G453100.v7.1|Misin07G510900.v7.1|Misin08G048400.v7.1|Misin09G083700.v7.1|Misin09G097700.v7.1|Misin09G159600.v7.1|Misin09G184300.v7.1|Misin10G076900.v7.1|Misin10G125800.v7.1|Misin10G132600.v7.1|Misin10G142800.v7.1|Misin11G022700.v7.1|Misin11G157900.v7.1|Misin11G212200.v7.1|Misin12G025100.v7.1|Misin12G061400.v7.1|Misin12G161400.v7.1|Misin12G239200.v7.1|Misin13G100200.v7.1|Misin13G127600.v7.1|Misin13G172900.v7.1|Misin14G074500.v7.1|Misin14G103700.v7.1|Misin14G106700.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin15G099600.v7.1|Misin15G171100.v7.1|Misin15G196200.v7.1|Misin16G174200.v7.1|Misin16G186800.v7.1|Misin16G207000.v7.1|Misin16G249600.v7.1|Misin16G255400.v7.1|Misin17G159400.v7.1|Misin17G195600.v7.1|Misin17G207200.v7.1|Misin18G180000.v7.1|Misin18G247100.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G084900.v7.1|Misin19G168400.v7.1|Misin19G212800.v7.1|MisinT011200.v7.1|MisinT018000.v7.1|MisinT050600.v7.1|MisinT113100.v7.1|MisinT133600.v7.1|MisinT223100.v7.1|MisinT237700.v7.1|MisinT547900.v7.1
GO:0032559,adenyl ribonucleotide binding,5584,101,69.03,204,0.000034371,0.26531,0.67307,Misin01G014500.v7.1|Misin01G015900.v7.1|Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G344200.v7.1|Misin01G383700.v7.1|Misin01G399900.v7.1|Misin01G412200.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G145500.v7.1|Misin02G184600.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin03G011600.v7.1|Misin03G022700.v7.1|Misin03G237100.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G225400.v7.1|Misin04G285600.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin05G208400.v7.1|Misin05G272400.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G252000.v7.1|Misin06G284000.v7.1|Misin06G359200.v7.1|Misin07G087100.v7.1|Misin07G089400.v7.1|Misin07G159000.v7.1|Misin07G226500.v7.1|Misin07G242100.v7.1|Misin07G295100.v7.1|Misin07G386000.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G453100.v7.1|Misin07G510900.v7.1|Misin08G048400.v7.1|Misin09G083700.v7.1|Misin09G097700.v7.1|Misin09G159600.v7.1|Misin09G184300.v7.1|Misin10G073200.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G142800.v7.1|Misin11G022700.v7.1|Misin11G157900.v7.1|Misin11G212200.v7.1|Misin12G025100.v7.1|Misin12G061400.v7.1|Misin12G161400.v7.1|Misin12G239200.v7.1|Misin13G013100.v7.1|Misin13G100200.v7.1|Misin13G127600.v7.1|Misin13G172900.v7.1|Misin14G074500.v7.1|Misin14G103700.v7.1|Misin14G106700.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin15G099600.v7.1|Misin15G171100.v7.1|Misin15G196200.v7.1|Misin16G174200.v7.1|Misin16G186800.v7.1|Misin16G207000.v7.1|Misin16G249600.v7.1|Misin16G255400.v7.1|Misin17G159400.v7.1|Misin17G195600.v7.1|Misin17G207200.v7.1|Misin18G180000.v7.1|Misin18G247100.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G084900.v7.1|Misin19G168400.v7.1|Misin19G212800.v7.1|Misin19G248600.v7.1|MisinT011200.v7.1|MisinT018000.v7.1|MisinT050600.v7.1|MisinT113100.v7.1|MisinT133600.v7.1|MisinT183900.v7.1|MisinT223100.v7.1|MisinT237700.v7.1|MisinT547900.v7.1
GO:0015131,oxaloacetate transmembrane transporter a...,11,3,0.14,4,0.00029,0.00029,0.00029,Misin07G200200.v7.1|Misin14G100100.v7.1|Misin15G121400.v7.1
GO:0015139,alpha-ketoglutarate transmembrane transp...,3,2,0.04,5,0.00045,0.00045,0.00045,Misin14G100100.v7.1|Misin15G121400.v7.1
GO:0016166,phytoene dehydrogenase activity,6,2,0.07,7,0.00221,0.00221,0.00221,Misin07G230900.v7.1|MisinT436300.v7.1
GO:0016301,kinase activity,4163,95,51.47,6,0.00341,0.00196,0.27075,Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G383700.v7.1|Misin01G412200.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G145500.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin03G011600.v7.1|Misin03G022700.v7.1|Misin03G237100.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G293900.v7.1|Misin04G310400.v7.1|Misin04G310600.v7.1|Misin04G405400.v7.1|Misin05G042900.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin05G208400.v7.1|Misin05G272400.v7.1|Misin06G085800.v7.1|Misin06G088600.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G252000.v7.1|Misin06G359200.v7.1|Misin06G371600.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G226700.v7.1|Misin07G233100.v7.1|Misin07G402800.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G440500.v7.1|Misin08G048400.v7.1|Misin08G088000.v7.1|Misin08G200400.v7.1|Misin08G200600.v7.1|Misin08G203100.v7.1|Misin09G083700.v7.1|Misin09G086000.v7.1|Misin09G097700.v7.1|Misin09G159600.v7.1|Misin09G184300.v7.1|Misin10G042000.v7.1|Misin10G076600.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G162700.v7.1|Misin11G212200.v7.1|Misin11G254500.v7.1|Misin12G025100.v7.1|Misin12G161400.v7.1|Misin12G239200.v7.1|Misin13G013100.v7.1|Misin13G100200.v7.1|Misin13G127600.v7.1|Misin13G172900.v7.1|Misin14G074500.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin15G099600.v7.1|Misin16G186800.v7.1|Misin16G207000.v7.1|Misin16G249600.v7.1|Misin16G255400.v7.1|Misin17G195600.v7.1|Misin17G207200.v7.1|Misin18G033400.v7.1|Misin18G033500.v7.1|Misin18G164700.v7.1|Misin18G180000.v7.1|Misin19G027000.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G084900.v7.1|Misin19G168400.v7.1|Misin19G212800.v7.1|MisinT018000.v7.1|MisinT050600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT428400.v7.1|MisinT547900.v7.1
GO:0005509,calcium ion binding,618,16,7.64,8,0.00475,0.00475,0.00475,Misin01G499100.v7.1|Misin02G237900.v7.1|Misin02G501300.v7.1|Misin03G022700.v7.1|Misin03G067000.v7.1|Misin05G205600.v7.1|Misin07G226500.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin08G076400.v7.1|Misin13G118900.v7.1|Misin16G193600.v7.1|Misin16G211500.v7.1|Misin19G058200.v7.1|MisinT237700.v7.1
GO:0050661,NADP binding,127,6,1.57,63,0.00508,0.05403,0.05403,Misin01G285800.v7.1|Misin01G416600.v7.1|Misin02G502200.v7.1|Misin06G053100.v7.1|Misin07G391600.v7.1|Misin12G105200.v7.1
