GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0004722,protein serine/threonine phosphatase act...,181,5,0.48,1,0.00013,0.00013,0.00013,Misin02G413800.v7.1|Misin03G141800.v7.1|Misin14G045600.v7.1|Misin17G216700.v7.1|Misin18G206400.v7.1
GO:0047134,protein-disulfide reductase activity,9,2,0.02,2,0.00025,0.00025,0.00025,Misin05G300400.v7.1|Misin06G289700.v7.1
GO:0000774,adenyl-nucleotide exchange factor activi...,13,2,0.03,3,0.00054,0.00054,0.00054,Misin07G405500.v7.1|Misin08G197500.v7.1
GO:0043021,ribonucleoprotein complex binding,96,3,0.26,4,0.00218,0.00218,1.00000,Misin03G211800.v7.1|Misin08G325000.v7.1|Misin16G231000.v7.1
GO:0016782,"transferase activity, transferring sulfu...",97,3,0.26,5,0.00225,0.00225,1.00000,Misin15G158500.v7.1|Misin16G239400.v7.1|Misin17G127100.v7.1
GO:0042802,identical protein binding,237,4,0.63,94,0.00376,0.26726,0.26726,Misin07G405500.v7.1|Misin07G506800.v7.1|Misin08G197500.v7.1|Misin14G007100.v7.1
GO:0061598,molybdopterin adenylyltransferase activi...,2,1,0.01,7,0.00532,0.00532,0.00532,Misin11G262800.v7.1
GO:0061599,molybdopterin molybdotransferase activit...,2,1,0.01,8,0.00532,0.00532,0.00532,Misin11G262800.v7.1
GO:0008830,"dTDP-4-dehydrorhamnose 3,5-epimerase act...",2,1,0.01,9,0.00532,0.00532,0.00532,Misin08G239900.v7.1
GO:0004357,glutamate-cysteine ligase activity,2,1,0.01,10,0.00532,0.00532,0.00532,Misin16G041700.v7.1
GO:0010490,UDP-4-keto-rhamnose-4-keto-reductase act...,2,1,0.01,11,0.00532,0.00532,0.00532,Misin08G239900.v7.1
GO:0045504,dynein heavy chain binding,2,1,0.01,12,0.00532,0.00532,0.00532,Misin01G432100.v7.1
GO:0008466,glycogenin glucosyltransferase activity,2,1,0.01,13,0.00532,0.00532,0.00532,Misin01G285400.v7.1
GO:0010489,"UDP-4-keto-6-deoxy-glucose-3,5-epimerase...",2,1,0.01,14,0.00532,0.00532,0.00532,Misin08G239900.v7.1
GO:0004147,dihydrolipoamide branched chain acyltran...,2,1,0.01,15,0.00532,0.00532,0.00532,Misin06G130100.v7.1
GO:0008568,microtubule-severing ATPase activity,41,2,0.11,16,0.00538,0.00538,0.00538,Misin05G014900.v7.1|Misin06G004500.v7.1
GO:0004350,glutamate-5-semialdehyde dehydrogenase a...,3,1,0.01,17,0.00797,0.00797,0.00797,Misin05G338300.v7.1
