GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016310,phosphorylation,4559,244,119.58,23,0.00000000000000000000000039,0.00043,0.00010,Misin01G198700.v7.1|Misin01G213600.v7.1|Misin01G218800.v7.1|Misin01G230000.v7.1|Misin01G245000.v7.1|Misin01G311600.v7.1|Misin01G344100.v7.1|Misin01G365700.v7.1|Misin01G412200.v7.1|Misin01G494400.v7.1|Misin01G498000.v7.1|Misin01G499100.v7.1|Misin02G101100.v7.1|Misin02G133400.v7.1|Misin02G176000.v7.1|Misin02G200400.v7.1|Misin02G224200.v7.1|Misin02G260000.v7.1|Misin02G316300.v7.1|Misin02G324500.v7.1|Misin02G336200.v7.1|Misin02G391500.v7.1|Misin02G396200.v7.1|Misin02G408000.v7.1|Misin02G412300.v7.1|Misin02G419100.v7.1|Misin02G437700.v7.1|Misin02G491300.v7.1|Misin02G501300.v7.1|Misin02G502200.v7.1|Misin03G020300.v7.1|Misin03G021500.v7.1|Misin03G022100.v7.1|Misin03G022700.v7.1|Misin03G025100.v7.1|Misin03G029300.v7.1|Misin03G140600.v7.1|Misin03G175300.v7.1|Misin03G235900.v7.1|Misin03G284800.v7.1|Misin03G286100.v7.1|Misin03G287200.v7.1|Misin03G340200.v7.1|Misin03G340700.v7.1|Misin03G344400.v7.1|Misin04G033300.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G230800.v7.1|Misin04G307100.v7.1|Misin04G309100.v7.1|Misin04G344700.v7.1|Misin04G371800.v7.1|Misin04G372600.v7.1|Misin05G006200.v7.1|Misin05G029800.v7.1|Misin05G080200.v7.1|Misin05G080800.v7.1|Misin05G092400.v7.1|Misin05G102400.v7.1|Misin05G172100.v7.1|Misin05G172400.v7.1|Misin05G189500.v7.1|Misin05G205600.v7.1|Misin05G272200.v7.1|Misin05G272400.v7.1|Misin05G292900.v7.1|Misin05G295100.v7.1|Misin05G311100.v7.1|Misin06G059100.v7.1|Misin06G085700.v7.1|Misin06G085800.v7.1|Misin06G166900.v7.1|Misin06G167600.v7.1|Misin06G195400.v7.1|Misin06G198900.v7.1|Misin06G226800.v7.1|Misin06G252000.v7.1|Misin06G306900.v7.1|Misin06G344800.v7.1|Misin07G094600.v7.1|Misin07G136000.v7.1|Misin07G148400.v7.1|Misin07G175500.v7.1|Misin07G175600.v7.1|Misin07G225300.v7.1|Misin07G225400.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G264600.v7.1|Misin07G377800.v7.1|Misin07G401200.v7.1|Misin07G402000.v7.1|Misin07G402800.v7.1|Misin07G409500.v7.1|Misin07G415200.v7.1|Misin07G416100.v7.1|Misin07G454200.v7.1|Misin07G532900.v7.1|Misin07G545000.v7.1|Misin08G010500.v7.1|Misin08G103100.v7.1|Misin08G176300.v7.1|Misin08G200400.v7.1|Misin08G200600.v7.1|Misin08G210500.v7.1|Misin08G211000.v7.1|Misin09G030000.v7.1|Misin09G048300.v7.1|Misin09G097700.v7.1|Misin09G111100.v7.1|Misin09G165900.v7.1|Misin09G171200.v7.1|Misin09G184300.v7.1|Misin10G046900.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin10G162700.v7.1|Misin10G162900.v7.1|Misin11G007400.v7.1|Misin11G010100.v7.1|Misin11G053800.v7.1|Misin11G094900.v7.1|Misin11G120800.v7.1|Misin11G153100.v7.1|Misin11G155800.v7.1|Misin11G176200.v7.1|Misin11G184100.v7.1|Misin11G204700.v7.1|Misin11G223300.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin11G253400.v7.1|Misin11G254500.v7.1|Misin12G009400.v7.1|Misin12G016500.v7.1|Misin12G020900.v7.1|Misin12G025100.v7.1|Misin12G025900.v7.1|Misin12G042800.v7.1|Misin12G105200.v7.1|Misin12G140400.v7.1|Misin12G161400.v7.1|Misin12G161700.v7.1|Misin12G192600.v7.1|Misin12G211300.v7.1|Misin12G211900.v7.1|Misin12G221600.v7.1|Misin12G238700.v7.1|Misin12G254100.v7.1|Misin12G260200.v7.1|Misin12G270800.v7.1|Misin13G002700.v7.1|Misin13G069000.v7.1|Misin13G167500.v7.1|Misin13G187400.v7.1|Misin14G007400.v7.1|Misin14G010200.v7.1|Misin14G062100.v7.1|Misin14G074500.v7.1|Misin14G113600.v7.1|Misin14G138900.v7.1|Misin14G143200.v7.1|Misin14G152900.v7.1|Misin14G161200.v7.1|Misin15G001400.v7.1|Misin15G006900.v7.1|Misin15G024500.v7.1|Misin15G027700.v7.1|Misin15G038600.v7.1|Misin15G058500.v7.1|Misin15G091200.v7.1|Misin16G135700.v7.1|Misin16G178200.v7.1|Misin16G186800.v7.1|Misin16G194600.v7.1|Misin17G003000.v7.1|Misin17G039800.v7.1|Misin17G053100.v7.1|Misin17G100600.v7.1|Misin17G136200.v7.1|Misin17G184200.v7.1|Misin17G187200.v7.1|Misin17G195600.v7.1|Misin17G208300.v7.1|Misin17G243300.v7.1|Misin17G262800.v7.1|Misin18G026500.v7.1|Misin18G028200.v7.1|Misin18G033400.v7.1|Misin18G033500.v7.1|Misin18G051300.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin18G134900.v7.1|Misin18G170800.v7.1|Misin18G180000.v7.1|Misin18G188600.v7.1|Misin18G277200.v7.1|Misin19G025000.v7.1|Misin19G027000.v7.1|Misin19G027100.v7.1|Misin19G051900.v7.1|Misin19G057100.v7.1|Misin19G057800.v7.1|Misin19G084900.v7.1|Misin19G102700.v7.1|Misin19G122000.v7.1|Misin19G131900.v7.1|Misin19G138600.v7.1|Misin19G159600.v7.1|Misin19G174100.v7.1|Misin19G248200.v7.1|Misin19G249000.v7.1|Misin19G258500.v7.1|MisinT026700.v7.1|MisinT064800.v7.1|MisinT073500.v7.1|MisinT107600.v7.1|MisinT135500.v7.1|MisinT156000.v7.1|MisinT227600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT272300.v7.1|MisinT291000.v7.1|MisinT348000.v7.1|MisinT351200.v7.1|MisinT371800.v7.1|MisinT378900.v7.1|MisinT403300.v7.1|MisinT437000.v7.1|MisinT476400.v7.1|MisinT477200.v7.1|MisinT477300.v7.1|MisinT513500.v7.1|MisinT580600.v7.1
GO:0009069,serine family amino acid metabolic proce...,2441,159,64.03,1,0.00000000000000000000000169,0.000000000000000000000001,0.00000000000000000000000000084,Misin01G198700.v7.1|Misin01G218800.v7.1|Misin01G230000.v7.1|Misin01G344100.v7.1|Misin01G365700.v7.1|Misin01G499100.v7.1|Misin02G101100.v7.1|Misin02G133400.v7.1|Misin02G176000.v7.1|Misin02G224200.v7.1|Misin02G260000.v7.1|Misin02G336200.v7.1|Misin02G419100.v7.1|Misin02G437700.v7.1|Misin02G491300.v7.1|Misin02G501300.v7.1|Misin03G014600.v7.1|Misin03G021500.v7.1|Misin03G022100.v7.1|Misin03G022700.v7.1|Misin03G029300.v7.1|Misin03G140600.v7.1|Misin03G235900.v7.1|Misin03G284800.v7.1|Misin03G286100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin03G344400.v7.1|Misin04G033300.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G230800.v7.1|Misin04G307100.v7.1|Misin04G309100.v7.1|Misin04G371800.v7.1|Misin05G006200.v7.1|Misin05G080200.v7.1|Misin05G080800.v7.1|Misin05G090500.v7.1|Misin05G092400.v7.1|Misin05G102400.v7.1|Misin05G172100.v7.1|Misin05G172400.v7.1|Misin05G205600.v7.1|Misin05G206700.v7.1|Misin05G292900.v7.1|Misin05G295100.v7.1|Misin06G085800.v7.1|Misin06G166900.v7.1|Misin06G167600.v7.1|Misin06G195400.v7.1|Misin06G226800.v7.1|Misin06G344800.v7.1|Misin07G094600.v7.1|Misin07G136000.v7.1|Misin07G148400.v7.1|Misin07G175500.v7.1|Misin07G175600.v7.1|Misin07G225300.v7.1|Misin07G225400.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G415200.v7.1|Misin07G416100.v7.1|Misin07G454200.v7.1|Misin07G495600.v7.1|Misin08G103100.v7.1|Misin08G176300.v7.1|Misin08G210500.v7.1|Misin08G211000.v7.1|Misin09G030000.v7.1|Misin09G087500.v7.1|Misin09G097700.v7.1|Misin09G111100.v7.1|Misin09G165900.v7.1|Misin09G171200.v7.1|Misin09G184300.v7.1|Misin10G046900.v7.1|Misin10G067400.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G053800.v7.1|Misin11G072400.v7.1|Misin11G153100.v7.1|Misin11G176200.v7.1|Misin11G184100.v7.1|Misin11G204700.v7.1|Misin11G223300.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin11G253400.v7.1|Misin12G009400.v7.1|Misin12G025100.v7.1|Misin12G042800.v7.1|Misin12G072400.v7.1|Misin12G140400.v7.1|Misin12G180400.v7.1|Misin12G192600.v7.1|Misin12G211300.v7.1|Misin12G221600.v7.1|Misin12G238700.v7.1|Misin12G270800.v7.1|Misin13G069000.v7.1|Misin14G010200.v7.1|Misin14G074500.v7.1|Misin14G113600.v7.1|Misin14G138900.v7.1|Misin14G143200.v7.1|Misin14G152900.v7.1|Misin14G161200.v7.1|Misin15G001400.v7.1|Misin15G006900.v7.1|Misin15G024500.v7.1|Misin15G091200.v7.1|Misin16G178200.v7.1|Misin17G003000.v7.1|Misin17G039800.v7.1|Misin17G053100.v7.1|Misin17G184200.v7.1|Misin17G208300.v7.1|Misin17G243300.v7.1|Misin17G262800.v7.1|Misin18G028200.v7.1|Misin18G033400.v7.1|Misin18G051300.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin18G134900.v7.1|Misin18G170800.v7.1|Misin18G180000.v7.1|Misin18G277200.v7.1|Misin19G027000.v7.1|Misin19G027100.v7.1|Misin19G051900.v7.1|Misin19G057100.v7.1|Misin19G057800.v7.1|Misin19G102700.v7.1|Misin19G131900.v7.1|Misin19G138600.v7.1|Misin19G174100.v7.1|Misin19G249000.v7.1|Misin19G258500.v7.1|MisinT026700.v7.1|MisinT073500.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT291000.v7.1|MisinT348000.v7.1|MisinT351200.v7.1|MisinT403300.v7.1|MisinT437000.v7.1|MisinT477200.v7.1|MisinT513500.v7.1
GO:0019253,reductive pentose-phosphate cycle,32,13,0.84,3,0.00000000000055599117400047,0.000000000000555991174000,0.00000000000055599117400047119,Misin02G391500.v7.1|Misin02G412300.v7.1|Misin03G235900.v7.1|Misin07G454200.v7.1|Misin09G040400.v7.1|Misin10G028000.v7.1|Misin11G094900.v7.1|Misin12G105200.v7.1|Misin15G015000.v7.1|Misin16G186800.v7.1|Misin17G187200.v7.1|Misin18G024300.v7.1|Misin19G022700.v7.1
GO:0007166,cell surface receptor signaling pathway,363,33,9.52,4,0.00000000021472456928371820,0.000000000760079916501596,0.00000000001416817346612302340,Misin02G437700.v7.1|Misin02G491300.v7.1|Misin03G022700.v7.1|Misin03G034600.v7.1|Misin03G140600.v7.1|Misin04G230800.v7.1|Misin04G304300.v7.1|Misin05G080800.v7.1|Misin05G292900.v7.1|Misin07G225300.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G415200.v7.1|Misin07G416100.v7.1|Misin08G210500.v7.1|Misin08G211000.v7.1|Misin09G030000.v7.1|Misin09G111100.v7.1|Misin10G132600.v7.1|Misin11G176200.v7.1|Misin12G221600.v7.1|Misin14G143200.v7.1|Misin17G053100.v7.1|Misin17G243300.v7.1|Misin18G033400.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin19G051900.v7.1|Misin19G057800.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT348000.v7.1
GO:0006006,glucose metabolic process,387,30,10.15,89,0.00000015965037469920080014,0.03922,0.02037,Misin01G245000.v7.1|Misin01G412200.v7.1|Misin01G498000.v7.1|Misin02G391500.v7.1|Misin02G396200.v7.1|Misin02G412300.v7.1|Misin02G502200.v7.1|Misin03G235900.v7.1|Misin05G189500.v7.1|Misin05G272400.v7.1|Misin05G311100.v7.1|Misin05G355000.v7.1|Misin06G198900.v7.1|Misin07G264600.v7.1|Misin11G007400.v7.1|Misin11G094900.v7.1|Misin12G016500.v7.1|Misin12G105200.v7.1|Misin12G180400.v7.1|Misin12G254100.v7.1|Misin13G167500.v7.1|Misin14G062100.v7.1|Misin16G186800.v7.1|Misin17G187200.v7.1|Misin18G026500.v7.1|Misin18G159600.v7.1|Misin18G188600.v7.1|Misin19G025000.v7.1|Misin19G122000.v7.1|Misin19G154100.v7.1
GO:0009768,"photosynthesis, light harvesting in phot...",29,8,0.76,5,0.00000057041898449254967424,0.000000570418984492549674,0.00000057041898449254967423655,Misin01G159100.v7.1|Misin03G314300.v7.1|Misin03G326000.v7.1|Misin04G324400.v7.1|Misin04G332600.v7.1|Misin08G299900.v7.1|Misin09G087500.v7.1|Misin10G067400.v7.1
GO:0015976,carbon utilization,164,17,4.3,7,0.00000164355221544488013804,0.000001643552215444880138,0.00000164355221544488013803815,Misin01G412200.v7.1|Misin02G391500.v7.1|Misin02G396200.v7.1|Misin02G412300.v7.1|Misin03G235900.v7.1|Misin07G454200.v7.1|Misin11G094900.v7.1|Misin12G105200.v7.1|Misin14G062100.v7.1|Misin16G135700.v7.1|Misin16G186800.v7.1|Misin17G084000.v7.1|Misin17G136200.v7.1|Misin17G187200.v7.1|Misin18G024300.v7.1|Misin18G188600.v7.1|Misin19G022700.v7.1
GO:0006096,glycolytic process,328,24,8.6,8,0.00000727215071242623073904,0.000007272150712426230739,0.00000280598952896062094243415,Misin01G245000.v7.1|Misin01G498000.v7.1|Misin02G391500.v7.1|Misin02G412300.v7.1|Misin02G502200.v7.1|Misin03G235900.v7.1|Misin05G189500.v7.1|Misin05G272400.v7.1|Misin05G311100.v7.1|Misin06G198900.v7.1|Misin07G264600.v7.1|Misin11G007400.v7.1|Misin11G094900.v7.1|Misin12G009400.v7.1|Misin12G016500.v7.1|Misin12G105200.v7.1|Misin13G167500.v7.1|Misin14G062100.v7.1|Misin16G186800.v7.1|Misin17G187200.v7.1|Misin18G026500.v7.1|Misin18G188600.v7.1|Misin19G025000.v7.1|Misin19G122000.v7.1
GO:0034219,carbohydrate transmembrane transport,185,16,4.85,18,0.00003618195198205701872433,0.00031,0.00000856995311019534999658238,Misin01G262800.v7.1|Misin02G259000.v7.1|Misin03G166900.v7.1|Misin04G008100.v7.1|Misin04G334600.v7.1|Misin05G002700.v7.1|Misin05G006300.v7.1|Misin05G089900.v7.1|Misin14G085300.v7.1|Misin15G106500.v7.1|Misin15G106600.v7.1|Misin15G106700.v7.1|Misin15G106800.v7.1|Misin16G069600.v7.1|Misin16G145700.v7.1|Misin17G156100.v7.1
GO:1902479,positive regulation of defense response ...,4,3,0.1,9,0.00007051896410229419216720,0.000070518964102294192167,0.00007051896410229419216719737,Misin05G206700.v7.1|Misin05G207200.v7.1|Misin06G194900.v7.1
