GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0004672,protein kinase activity,3116,204,81.52,3,< 0.000000000000000000000000000001,0.000000001,0.0000000043,Misin01G198700.v7.1|Misin01G213600.v7.1|Misin01G218800.v7.1|Misin01G230000.v7.1|Misin01G311600.v7.1|Misin01G344100.v7.1|Misin01G365700.v7.1|Misin01G494400.v7.1|Misin01G499100.v7.1|Misin02G101100.v7.1|Misin02G133400.v7.1|Misin02G176000.v7.1|Misin02G200400.v7.1|Misin02G224200.v7.1|Misin02G260000.v7.1|Misin02G324500.v7.1|Misin02G336200.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin03G020300.v7.1|Misin03G021500.v7.1|Misin03G022100.v7.1|Misin03G022700.v7.1|Misin03G025100.v7.1|Misin03G029300.v7.1|Misin03G140600.v7.1|Misin03G284800.v7.1|Misin03G286100.v7.1|Misin03G287200.v7.1|Misin03G340200.v7.1|Misin03G340700.v7.1|Misin03G344400.v7.1|Misin04G033300.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G230800.v7.1|Misin04G307100.v7.1|Misin04G309100.v7.1|Misin04G344700.v7.1|Misin04G371800.v7.1|Misin04G372600.v7.1|Misin05G006200.v7.1|Misin05G029800.v7.1|Misin05G080200.v7.1|Misin05G080800.v7.1|Misin05G092400.v7.1|Misin05G102400.v7.1|Misin05G172100.v7.1|Misin05G172400.v7.1|Misin05G205600.v7.1|Misin05G272200.v7.1|Misin05G292900.v7.1|Misin05G295100.v7.1|Misin06G059100.v7.1|Misin06G085700.v7.1|Misin06G085800.v7.1|Misin06G166900.v7.1|Misin06G167100.v7.1|Misin06G167600.v7.1|Misin06G195400.v7.1|Misin06G226800.v7.1|Misin06G252000.v7.1|Misin06G306900.v7.1|Misin06G344800.v7.1|Misin07G094600.v7.1|Misin07G136000.v7.1|Misin07G148400.v7.1|Misin07G175500.v7.1|Misin07G175600.v7.1|Misin07G225300.v7.1|Misin07G225400.v7.1|Misin07G226400.v7.1|Misin07G226500.v7.1|Misin07G226900.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G401200.v7.1|Misin07G402000.v7.1|Misin07G402800.v7.1|Misin07G409500.v7.1|Misin07G415200.v7.1|Misin07G415300.v7.1|Misin07G416100.v7.1|Misin07G532900.v7.1|Misin07G545000.v7.1|Misin08G010500.v7.1|Misin08G103100.v7.1|Misin08G176300.v7.1|Misin08G200400.v7.1|Misin08G200600.v7.1|Misin08G210500.v7.1|Misin08G210700.v7.1|Misin08G211000.v7.1|Misin09G030000.v7.1|Misin09G048300.v7.1|Misin09G097700.v7.1|Misin09G111100.v7.1|Misin09G165900.v7.1|Misin09G171200.v7.1|Misin09G184300.v7.1|Misin10G046900.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin10G162700.v7.1|Misin10G162900.v7.1|Misin11G053800.v7.1|Misin11G120800.v7.1|Misin11G153100.v7.1|Misin11G155800.v7.1|Misin11G176200.v7.1|Misin11G184100.v7.1|Misin11G204700.v7.1|Misin11G223300.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin11G253400.v7.1|Misin12G025100.v7.1|Misin12G025900.v7.1|Misin12G042800.v7.1|Misin12G140400.v7.1|Misin12G161400.v7.1|Misin12G192600.v7.1|Misin12G211300.v7.1|Misin12G221600.v7.1|Misin12G238700.v7.1|Misin12G270800.v7.1|Misin13G069000.v7.1|Misin13G187400.v7.1|Misin14G007400.v7.1|Misin14G010200.v7.1|Misin14G074500.v7.1|Misin14G113600.v7.1|Misin14G138900.v7.1|Misin14G143200.v7.1|Misin14G152900.v7.1|Misin14G161200.v7.1|Misin15G001400.v7.1|Misin15G006900.v7.1|Misin15G024500.v7.1|Misin15G027700.v7.1|Misin15G038600.v7.1|Misin15G091200.v7.1|Misin16G135700.v7.1|Misin16G178200.v7.1|Misin17G003000.v7.1|Misin17G039800.v7.1|Misin17G053100.v7.1|Misin17G100600.v7.1|Misin17G136200.v7.1|Misin17G184200.v7.1|Misin17G208300.v7.1|Misin17G243300.v7.1|Misin17G262800.v7.1|Misin18G028200.v7.1|Misin18G033400.v7.1|Misin18G033500.v7.1|Misin18G051300.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin18G134900.v7.1|Misin18G170800.v7.1|Misin18G180000.v7.1|Misin18G243500.v7.1|Misin18G277200.v7.1|Misin19G027000.v7.1|Misin19G027100.v7.1|Misin19G051900.v7.1|Misin19G057100.v7.1|Misin19G057800.v7.1|Misin19G084900.v7.1|Misin19G102700.v7.1|Misin19G131900.v7.1|Misin19G138600.v7.1|Misin19G159600.v7.1|Misin19G174100.v7.1|Misin19G248200.v7.1|Misin19G249000.v7.1|Misin19G258500.v7.1|MisinT026700.v7.1|MisinT064800.v7.1|MisinT073500.v7.1|MisinT107600.v7.1|MisinT135500.v7.1|MisinT156000.v7.1|MisinT227600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT291000.v7.1|MisinT348000.v7.1|MisinT351200.v7.1|MisinT403300.v7.1|MisinT437000.v7.1|MisinT476400.v7.1|MisinT477200.v7.1|MisinT477300.v7.1|MisinT513500.v7.1|MisinT580600.v7.1
GO:0030246,carbohydrate binding,713,56,18.65,8,0.00000000000053,0.000006571,0.0000008445,Misin01G412500.v7.1|Misin01G494100.v7.1|Misin02G133400.v7.1|Misin02G260000.v7.1|Misin03G021500.v7.1|Misin03G022100.v7.1|Misin03G022700.v7.1|Misin03G140600.v7.1|Misin04G033300.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G230800.v7.1|Misin04G332600.v7.1|Misin05G080200.v7.1|Misin05G102400.v7.1|Misin05G177900.v7.1|Misin05G272400.v7.1|Misin05G292900.v7.1|Misin05G396300.v7.1|Misin06G085800.v7.1|Misin06G406000.v7.1|Misin07G175500.v7.1|Misin07G175600.v7.1|Misin07G225400.v7.1|Misin07G226500.v7.1|Misin07G415200.v7.1|Misin08G210500.v7.1|Misin08G211000.v7.1|Misin09G030000.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G155800.v7.1|Misin11G176200.v7.1|Misin12G025100.v7.1|Misin12G042800.v7.1|Misin12G161400.v7.1|Misin12G221600.v7.1|Misin14G010200.v7.1|Misin14G113600.v7.1|Misin14G143200.v7.1|Misin15G001400.v7.1|Misin15G024500.v7.1|Misin16G118900.v7.1|Misin17G003000.v7.1|Misin17G123000.v7.1|Misin17G157700.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin18G180000.v7.1|Misin19G057800.v7.1|Misin19G131900.v7.1|Misin19G174100.v7.1|MisinT227600.v7.1|MisinT237700.v7.1
GO:0008144,drug binding,5364,220,140.33,39,0.00000000000469,0.00928,1.00000,Misin01G101100.v7.1|Misin01G198700.v7.1|Misin01G213600.v7.1|Misin01G218800.v7.1|Misin01G230000.v7.1|Misin01G344100.v7.1|Misin01G344200.v7.1|Misin01G365700.v7.1|Misin01G399900.v7.1|Misin01G412200.v7.1|Misin01G478800.v7.1|Misin01G499100.v7.1|Misin02G101100.v7.1|Misin02G133400.v7.1|Misin02G176000.v7.1|Misin02G200400.v7.1|Misin02G224200.v7.1|Misin02G260000.v7.1|Misin02G316300.v7.1|Misin02G336200.v7.1|Misin02G336800.v7.1|Misin02G396200.v7.1|Misin02G409100.v7.1|Misin02G419100.v7.1|Misin02G437700.v7.1|Misin02G491300.v7.1|Misin02G501300.v7.1|Misin03G002600.v7.1|Misin03G002900.v7.1|Misin03G020300.v7.1|Misin03G021500.v7.1|Misin03G022100.v7.1|Misin03G022700.v7.1|Misin03G029300.v7.1|Misin03G140600.v7.1|Misin03G284800.v7.1|Misin03G286100.v7.1|Misin03G287200.v7.1|Misin03G340200.v7.1|Misin03G340700.v7.1|Misin03G344400.v7.1|Misin04G033300.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G146300.v7.1|Misin04G230800.v7.1|Misin04G304200.v7.1|Misin04G307100.v7.1|Misin04G309100.v7.1|Misin04G371800.v7.1|Misin04G372600.v7.1|Misin05G006200.v7.1|Misin05G029800.v7.1|Misin05G080200.v7.1|Misin05G080800.v7.1|Misin05G090500.v7.1|Misin05G092400.v7.1|Misin05G102400.v7.1|Misin05G149100.v7.1|Misin05G157500.v7.1|Misin05G172100.v7.1|Misin05G172400.v7.1|Misin05G205600.v7.1|Misin05G228900.v7.1|Misin05G272200.v7.1|Misin05G272400.v7.1|Misin05G292900.v7.1|Misin06G085800.v7.1|Misin06G114000.v7.1|Misin06G166900.v7.1|Misin06G167600.v7.1|Misin06G195400.v7.1|Misin06G200400.v7.1|Misin06G226800.v7.1|Misin06G252000.v7.1|Misin06G325900.v7.1|Misin06G344800.v7.1|Misin06G370900.v7.1|Misin07G019300.v7.1|Misin07G094600.v7.1|Misin07G136000.v7.1|Misin07G148400.v7.1|Misin07G175500.v7.1|Misin07G175600.v7.1|Misin07G225400.v7.1|Misin07G226500.v7.1|Misin07G377800.v7.1|Misin07G415200.v7.1|Misin07G454200.v7.1|Misin07G532900.v7.1|Misin07G545000.v7.1|Misin08G010500.v7.1|Misin08G071100.v7.1|Misin08G103100.v7.1|Misin08G176300.v7.1|Misin08G210500.v7.1|Misin08G211000.v7.1|Misin09G016600.v7.1|Misin09G030000.v7.1|Misin09G031800.v7.1|Misin09G048300.v7.1|Misin09G085800.v7.1|Misin09G092800.v7.1|Misin09G097700.v7.1|Misin09G111100.v7.1|Misin09G171200.v7.1|Misin09G184300.v7.1|Misin10G014400.v7.1|Misin10G046900.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G022700.v7.1|Misin11G053800.v7.1|Misin11G120800.v7.1|Misin11G153100.v7.1|Misin11G155800.v7.1|Misin11G176200.v7.1|Misin11G180100.v7.1|Misin11G184100.v7.1|Misin11G204700.v7.1|Misin11G223300.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin11G253400.v7.1|Misin12G009400.v7.1|Misin12G025100.v7.1|Misin12G042800.v7.1|Misin12G140400.v7.1|Misin12G154700.v7.1|Misin12G161400.v7.1|Misin12G180400.v7.1|Misin12G192600.v7.1|Misin12G211300.v7.1|Misin12G211900.v7.1|Misin12G221600.v7.1|Misin12G238700.v7.1|Misin12G270800.v7.1|Misin13G002700.v7.1|Misin13G036800.v7.1|Misin13G069000.v7.1|Misin13G187400.v7.1|Misin13G189000.v7.1|Misin14G007400.v7.1|Misin14G010200.v7.1|Misin14G010400.v7.1|Misin14G074500.v7.1|Misin14G113600.v7.1|Misin14G138900.v7.1|Misin14G143200.v7.1|Misin14G148400.v7.1|Misin14G152900.v7.1|Misin14G161200.v7.1|Misin15G001400.v7.1|Misin15G006900.v7.1|Misin15G024500.v7.1|Misin15G027300.v7.1|Misin15G038600.v7.1|Misin15G091200.v7.1|Misin15G196300.v7.1|Misin16G016800.v7.1|Misin16G135700.v7.1|Misin16G162600.v7.1|Misin16G178200.v7.1|Misin16G186800.v7.1|Misin16G194600.v7.1|Misin17G003000.v7.1|Misin17G003600.v7.1|Misin17G039800.v7.1|Misin17G053100.v7.1|Misin17G100600.v7.1|Misin17G133400.v7.1|Misin17G136200.v7.1|Misin17G184200.v7.1|Misin17G187200.v7.1|Misin17G195600.v7.1|Misin17G208300.v7.1|Misin17G243300.v7.1|Misin17G262800.v7.1|Misin18G051300.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin18G134900.v7.1|Misin18G159400.v7.1|Misin18G170800.v7.1|Misin18G180000.v7.1|Misin18G277200.v7.1|Misin19G027100.v7.1|Misin19G057100.v7.1|Misin19G057800.v7.1|Misin19G084900.v7.1|Misin19G122000.v7.1|Misin19G131900.v7.1|Misin19G138600.v7.1|Misin19G159600.v7.1|Misin19G172200.v7.1|Misin19G174100.v7.1|Misin19G256600.v7.1|Misin19G258500.v7.1|MisinT026700.v7.1|MisinT073500.v7.1|MisinT078100.v7.1|MisinT157700.v7.1|MisinT227600.v7.1|MisinT237700.v7.1|MisinT291000.v7.1|MisinT304600.v7.1|MisinT351200.v7.1|MisinT371800.v7.1|MisinT378900.v7.1|MisinT403300.v7.1|MisinT437000.v7.1|MisinT476400.v7.1|MisinT477200.v7.1|MisinT513500.v7.1|MisinT545200.v7.1
GO:0032559,adenyl ribonucleotide binding,5584,224,146.09,99,0.00000000000879,0.05511,0.90364,Misin01G170100.v7.1|Misin01G198700.v7.1|Misin01G213600.v7.1|Misin01G218800.v7.1|Misin01G230000.v7.1|Misin01G344100.v7.1|Misin01G344200.v7.1|Misin01G365700.v7.1|Misin01G399900.v7.1|Misin01G412200.v7.1|Misin01G478800.v7.1|Misin01G499100.v7.1|Misin02G101100.v7.1|Misin02G133400.v7.1|Misin02G176000.v7.1|Misin02G200400.v7.1|Misin02G224200.v7.1|Misin02G260000.v7.1|Misin02G316300.v7.1|Misin02G336200.v7.1|Misin02G336800.v7.1|Misin02G396200.v7.1|Misin02G409100.v7.1|Misin02G419100.v7.1|Misin02G437700.v7.1|Misin02G491300.v7.1|Misin02G501300.v7.1|Misin03G020300.v7.1|Misin03G021500.v7.1|Misin03G022100.v7.1|Misin03G022700.v7.1|Misin03G029300.v7.1|Misin03G140600.v7.1|Misin03G284800.v7.1|Misin03G286100.v7.1|Misin03G287200.v7.1|Misin03G340200.v7.1|Misin03G340700.v7.1|Misin03G344400.v7.1|Misin04G033300.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G146300.v7.1|Misin04G230800.v7.1|Misin04G304200.v7.1|Misin04G307100.v7.1|Misin04G309100.v7.1|Misin04G371800.v7.1|Misin04G372600.v7.1|Misin05G006200.v7.1|Misin05G029800.v7.1|Misin05G034800.v7.1|Misin05G080200.v7.1|Misin05G080800.v7.1|Misin05G092400.v7.1|Misin05G102400.v7.1|Misin05G149100.v7.1|Misin05G157500.v7.1|Misin05G172100.v7.1|Misin05G172400.v7.1|Misin05G205600.v7.1|Misin05G228900.v7.1|Misin05G272200.v7.1|Misin05G272400.v7.1|Misin05G292900.v7.1|Misin06G085800.v7.1|Misin06G114000.v7.1|Misin06G166900.v7.1|Misin06G167600.v7.1|Misin06G195400.v7.1|Misin06G226800.v7.1|Misin06G252000.v7.1|Misin06G284000.v7.1|Misin06G344800.v7.1|Misin07G019300.v7.1|Misin07G094600.v7.1|Misin07G136000.v7.1|Misin07G148400.v7.1|Misin07G175500.v7.1|Misin07G175600.v7.1|Misin07G225400.v7.1|Misin07G226500.v7.1|Misin07G377800.v7.1|Misin07G415200.v7.1|Misin07G454200.v7.1|Misin07G532900.v7.1|Misin07G545000.v7.1|Misin08G010500.v7.1|Misin08G071100.v7.1|Misin08G103100.v7.1|Misin08G176300.v7.1|Misin08G210500.v7.1|Misin08G211000.v7.1|Misin09G016600.v7.1|Misin09G030000.v7.1|Misin09G031800.v7.1|Misin09G048300.v7.1|Misin09G082800.v7.1|Misin09G091000.v7.1|Misin09G092800.v7.1|Misin09G097200.v7.1|Misin09G097700.v7.1|Misin09G099700.v7.1|Misin09G111100.v7.1|Misin09G129900.v7.1|Misin09G171200.v7.1|Misin09G182500.v7.1|Misin09G184300.v7.1|Misin10G014400.v7.1|Misin10G046900.v7.1|Misin10G074500.v7.1|Misin10G076200.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G022700.v7.1|Misin11G053800.v7.1|Misin11G120800.v7.1|Misin11G153100.v7.1|Misin11G155800.v7.1|Misin11G176200.v7.1|Misin11G180100.v7.1|Misin11G184100.v7.1|Misin11G204700.v7.1|Misin11G223300.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin11G253400.v7.1|Misin12G025100.v7.1|Misin12G042800.v7.1|Misin12G140400.v7.1|Misin12G154700.v7.1|Misin12G161400.v7.1|Misin12G180400.v7.1|Misin12G192600.v7.1|Misin12G211300.v7.1|Misin12G211900.v7.1|Misin12G221600.v7.1|Misin12G238700.v7.1|Misin12G270800.v7.1|Misin13G002700.v7.1|Misin13G036800.v7.1|Misin13G069000.v7.1|Misin13G187400.v7.1|Misin13G189000.v7.1|Misin14G007400.v7.1|Misin14G010200.v7.1|Misin14G010400.v7.1|Misin14G074500.v7.1|Misin14G113600.v7.1|Misin14G138900.v7.1|Misin14G143200.v7.1|Misin14G148400.v7.1|Misin14G152900.v7.1|Misin14G161200.v7.1|Misin15G001400.v7.1|Misin15G006900.v7.1|Misin15G019500.v7.1|Misin15G019700.v7.1|Misin15G019800.v7.1|Misin15G020100.v7.1|Misin15G024500.v7.1|Misin15G027300.v7.1|Misin15G038600.v7.1|Misin15G091200.v7.1|Misin15G159000.v7.1|Misin15G196300.v7.1|Misin16G016800.v7.1|Misin16G135700.v7.1|Misin16G140800.v7.1|Misin16G178200.v7.1|Misin16G186800.v7.1|Misin16G194600.v7.1|Misin17G003000.v7.1|Misin17G039800.v7.1|Misin17G053100.v7.1|Misin17G100600.v7.1|Misin17G136200.v7.1|Misin17G184200.v7.1|Misin17G187200.v7.1|Misin17G195600.v7.1|Misin17G208300.v7.1|Misin17G243300.v7.1|Misin17G262800.v7.1|Misin18G051300.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin18G134900.v7.1|Misin18G159400.v7.1|Misin18G170800.v7.1|Misin18G180000.v7.1|Misin18G250200.v7.1|Misin18G277200.v7.1|Misin19G027100.v7.1|Misin19G057100.v7.1|Misin19G057800.v7.1|Misin19G084900.v7.1|Misin19G122000.v7.1|Misin19G131900.v7.1|Misin19G138600.v7.1|Misin19G159600.v7.1|Misin19G174100.v7.1|Misin19G258500.v7.1|MisinT026700.v7.1|MisinT073500.v7.1|MisinT078100.v7.1|MisinT227600.v7.1|MisinT237700.v7.1|MisinT291000.v7.1|MisinT304600.v7.1|MisinT351200.v7.1|MisinT371800.v7.1|MisinT378900.v7.1|MisinT403300.v7.1|MisinT437000.v7.1|MisinT476400.v7.1|MisinT477200.v7.1|MisinT485500.v7.1|MisinT513500.v7.1|MisinT545200.v7.1
GO:0016168,chlorophyll binding,47,11,1.23,5,0.00000002721718,0.000000027,0.0000000272,Misin01G159100.v7.1|Misin03G014600.v7.1|Misin03G314300.v7.1|Misin03G326000.v7.1|Misin04G027400.v7.1|Misin04G223900.v7.1|Misin04G324400.v7.1|Misin04G332600.v7.1|Misin08G299900.v7.1|Misin09G087500.v7.1|Misin10G067400.v7.1
GO:0005509,calcium ion binding,618,41,16.17,6,0.00000006853935,0.000000069,0.0000000685,Misin01G245000.v7.1|Misin01G499100.v7.1|Misin02G260000.v7.1|Misin02G341900.v7.1|Misin02G501300.v7.1|Misin03G022700.v7.1|Misin03G366800.v7.1|Misin04G171500.v7.1|Misin04G177400.v7.1|Misin04G230800.v7.1|Misin04G356900.v7.1|Misin04G357000.v7.1|Misin04G397500.v7.1|Misin04G402100.v7.1|Misin05G205600.v7.1|Misin05G292900.v7.1|Misin05G358900.v7.1|Misin06G195400.v7.1|Misin07G226500.v7.1|Misin07G415200.v7.1|Misin08G210500.v7.1|Misin09G030000.v7.1|Misin09G166300.v7.1|Misin11G153100.v7.1|Misin11G176200.v7.1|Misin11G184100.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin14G143200.v7.1|Misin14G145000.v7.1|Misin16G193600.v7.1|Misin17G194800.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin18G112700.v7.1|Misin19G059600.v7.1|Misin19G112400.v7.1|MisinT237700.v7.1|MisinT327500.v7.1|MisinT454000.v7.1|MisinT517700.v7.1
GO:0031409,pigment binding,29,8,0.76,7,0.00000056028340,0.000000560,0.0000005603,Misin01G159100.v7.1|Misin03G314300.v7.1|Misin03G326000.v7.1|Misin04G324400.v7.1|Misin04G332600.v7.1|Misin08G299900.v7.1|Misin09G087500.v7.1|Misin10G067400.v7.1
GO:0043891,glyceraldehyde-3-phosphate dehydrogenase...,12,5,0.31,649,0.00000823638460,1.00000,1.00000,Misin01G245000.v7.1|Misin01G498000.v7.1|Misin02G502200.v7.1|Misin11G094900.v7.1|Misin12G105200.v7.1
GO:0033855,nicotianamine aminotransferase activity,3,3,0.08,9,0.00001784714415,0.000017847,0.0000178471,Misin03G002600.v7.1|Misin03G002900.v7.1|MisinT157700.v7.1
GO:0004568,chitinase activity,74,9,1.94,10,0.00013,0.00013,0.00013,Misin01G494400.v7.1|Misin02G215500.v7.1|Misin02G215600.v7.1|Misin02G505200.v7.1|Misin06G200400.v7.1|Misin06G325900.v7.1|Misin09G085800.v7.1|Misin17G133400.v7.1|Misin19G256600.v7.1
