GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0006090,pyruvate metabolic process,546,35,10.65,38,0.00000000029,0.00118,0.00219,Misin01G246200.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G406200.v7.1|Misin01G503400.v7.1|Misin02G341300.v7.1|Misin02G351600.v7.1|Misin02G360800.v7.1|Misin02G363800.v7.1|Misin02G497500.v7.1|Misin03G037900.v7.1|Misin03G278600.v7.1|Misin03G345600.v7.1|Misin04G200300.v7.1|Misin04G275200.v7.1|Misin05G273100.v7.1|Misin06G169200.v7.1|Misin06G185100.v7.1|Misin06G200500.v7.1|Misin06G208600.v7.1|Misin06G234900.v7.1|Misin06G253000.v7.1|Misin06G407300.v7.1|Misin07G033100.v7.1|Misin07G056700.v7.1|Misin07G499000.v7.1|Misin10G053600.v7.1|Misin12G113600.v7.1|Misin15G101000.v7.1|Misin16G053600.v7.1|Misin18G109800.v7.1|Misin18G220800.v7.1|Misin18G234200.v7.1|Misin19G268100.v7.1|MisinT548100.v7.1
GO:0009408,response to heat,177,16,3.45,20,0.00000044376,0.00019,0.00019,Misin01G316300.v7.1|Misin01G404800.v7.1|Misin01G434000.v7.1|Misin02G133000.v7.1|Misin02G433500.v7.1|Misin05G079800.v7.1|Misin05G196900.v7.1|Misin06G182100.v7.1|Misin07G056700.v7.1|Misin07G064300.v7.1|Misin07G404400.v7.1|Misin07G513900.v7.1|Misin08G198300.v7.1|Misin14G086000.v7.1|Misin18G233500.v7.1|Misin19G268800.v7.1
GO:0010027,thylakoid membrane organization,136,14,2.65,2,0.00000048046,0.00000048,0.000000480,Misin01G053900.v7.1|Misin01G373700.v7.1|Misin02G162100.v7.1|Misin02G278200.v7.1|Misin02G335300.v7.1|Misin02G363800.v7.1|Misin06G208600.v7.1|Misin07G112200.v7.1|Misin07G499000.v7.1|Misin15G074500.v7.1|Misin18G102100.v7.1|Misin18G222300.v7.1|Misin19G100700.v7.1|MisinT548100.v7.1
GO:0009658,chloroplast organization,253,19,4.94,10,0.00000067957,0.00001672,0.000017835,Misin01G053900.v7.1|Misin01G076900.v7.1|Misin01G316300.v7.1|Misin01G373700.v7.1|Misin02G278200.v7.1|Misin02G363800.v7.1|Misin03G280600.v7.1|Misin03G352700.v7.1|Misin04G388500.v7.1|Misin06G208600.v7.1|Misin07G112200.v7.1|Misin07G499000.v7.1|Misin12G117800.v7.1|Misin16G001700.v7.1|Misin16G053600.v7.1|Misin16G103700.v7.1|Misin17G131100.v7.1|Misin17G250900.v7.1|MisinT548100.v7.1
GO:0015793,glycerol transport,71,10,1.39,3,0.00000118040,0.00000118,0.000001180,Misin01G219200.v7.1|Misin03G107200.v7.1|Misin07G413400.v7.1|Misin07G437200.v7.1|Misin07G481100.v7.1|Misin07G548500.v7.1|Misin08G232800.v7.1|Misin08G270100.v7.1|Misin12G174400.v7.1|MisinT569700.v7.1
GO:0009644,response to high light intensity,58,9,1.13,86,0.00000175958,0.01382,0.01382,Misin05G196900.v7.1|Misin06G182100.v7.1|Misin07G064300.v7.1|Misin07G271900.v7.1|Misin13G145500.v7.1|Misin18G102100.v7.1|Misin18G222300.v7.1|Misin18G233500.v7.1|Misin19G100700.v7.1
GO:0006833,water transport,93,11,1.81,4,0.00000205184,0.00000205,0.000009374,Misin01G219200.v7.1|Misin03G107200.v7.1|Misin07G413400.v7.1|Misin07G437200.v7.1|Misin07G481100.v7.1|Misin07G548500.v7.1|Misin08G232800.v7.1|Misin08G270100.v7.1|Misin12G174400.v7.1|Misin18G085200.v7.1|MisinT569700.v7.1
GO:0009992,cellular water homeostasis,76,10,1.48,5,0.00000223612,0.00000224,0.000002236,Misin01G219200.v7.1|Misin03G107200.v7.1|Misin07G413400.v7.1|Misin07G437200.v7.1|Misin07G481100.v7.1|Misin07G548500.v7.1|Misin08G232800.v7.1|Misin08G270100.v7.1|Misin12G174400.v7.1|MisinT569700.v7.1
GO:0042026,protein refolding,22,6,0.43,6,0.00000308184,0.00000308,0.000003082,Misin02G207000.v7.1|Misin07G338000.v7.1|Misin16G001700.v7.1|Misin16G103700.v7.1|Misin17G112500.v7.1|Misin19G012700.v7.1
GO:0005982,starch metabolic process,758,34,14.79,8,0.00000756279,0.00000756,0.00030,Misin01G063200.v7.1|Misin01G206300.v7.1|Misin01G229200.v7.1|Misin01G358800.v7.1|Misin01G486600.v7.1|Misin01G499800.v7.1|Misin02G190600.v7.1|Misin02G205400.v7.1|Misin02G324200.v7.1|Misin02G483200.v7.1|Misin02G500700.v7.1|Misin03G174800.v7.1|Misin03G201800.v7.1|Misin03G236400.v7.1|Misin04G012800.v7.1|Misin04G185900.v7.1|Misin04G215400.v7.1|Misin06G263100.v7.1|Misin07G006200.v7.1|Misin07G215000.v7.1|Misin07G499000.v7.1|Misin08G306300.v7.1|Misin15G034600.v7.1|Misin15G074500.v7.1|Misin16G229500.v7.1|Misin17G242300.v7.1|Misin18G152900.v7.1|Misin19G002300.v7.1|Misin19G146800.v7.1|MisinT282800.v7.1|MisinT327000.v7.1|MisinT433500.v7.1|MisinT548100.v7.1|MisinT552400.v7.1
GO:0009228,thiamine biosynthetic process,26,6,0.51,9,0.00000889826,0.00000890,0.000008898,Misin01G126400.v7.1|Misin02G129500.v7.1|Misin04G366400.v7.1|Misin06G165200.v7.1|Misin16G137400.v7.1|MisinT322000.v7.1
GO:0044210,'de novo' CTP biosynthetic process,9,4,0.18,11,0.00001674013,0.00001674,0.000016740,Misin05G230900.v7.1|Misin06G203900.v7.1|Misin16G241600.v7.1|Misin17G249200.v7.1
GO:0052837,thiazole biosynthetic process,4,3,0.08,12,0.00002915367,0.00002915,0.000029154,Misin04G366400.v7.1|Misin06G165200.v7.1|MisinT322000.v7.1
GO:0055114,oxidation-reduction process,3524,111,68.77,7,0.00006090462,0.00000375,0.000003844,Misin01G063200.v7.1|Misin01G070100.v7.1|Misin01G135300.v7.1|Misin01G185300.v7.1|Misin01G230400.v7.1|Misin01G331800.v7.1|Misin01G340300.v7.1|Misin01G367300.v7.1|Misin01G373700.v7.1|Misin01G403300.v7.1|Misin01G452900.v7.1|Misin01G487900.v7.1|Misin01G507700.v7.1|Misin02G107000.v7.1|Misin02G133000.v7.1|Misin02G156200.v7.1|Misin02G333100.v7.1|Misin02G333600.v7.1|Misin02G358800.v7.1|Misin02G363800.v7.1|Misin02G411700.v7.1|Misin02G470800.v7.1|Misin02G489800.v7.1|Misin03G139300.v7.1|Misin03G345600.v7.1|Misin04G012800.v7.1|Misin04G076500.v7.1|Misin04G105800.v7.1|Misin04G165000.v7.1|Misin04G200300.v7.1|Misin04G215400.v7.1|Misin04G231700.v7.1|Misin04G275200.v7.1|Misin04G287200.v7.1|Misin04G366400.v7.1|Misin05G014500.v7.1|Misin05G181900.v7.1|Misin05G245000.v7.1|Misin05G273100.v7.1|Misin05G300400.v7.1|Misin05G338300.v7.1|Misin05G338900.v7.1|Misin06G165200.v7.1|Misin06G169200.v7.1|Misin06G185100.v7.1|Misin06G204700.v7.1|Misin06G208600.v7.1|Misin06G222500.v7.1|Misin06G234900.v7.1|Misin06G253000.v7.1|Misin06G289700.v7.1|Misin06G390700.v7.1|Misin07G052900.v7.1|Misin07G056700.v7.1|Misin07G061500.v7.1|Misin07G068200.v7.1|Misin07G068300.v7.1|Misin07G215000.v7.1|Misin07G271900.v7.1|Misin07G272600.v7.1|Misin07G346800.v7.1|Misin07G485600.v7.1|Misin07G506600.v7.1|Misin07G516400.v7.1|Misin08G053500.v7.1|Misin08G068100.v7.1|Misin08G239900.v7.1|Misin08G277400.v7.1|Misin08G295000.v7.1|Misin08G330200.v7.1|Misin10G053600.v7.1|Misin11G035100.v7.1|Misin11G037800.v7.1|Misin11G256700.v7.1|Misin11G270000.v7.1|Misin12G027900.v7.1|Misin12G134500.v7.1|Misin12G267100.v7.1|Misin12G281500.v7.1|Misin13G145500.v7.1|Misin13G147500.v7.1|Misin13G159000.v7.1|Misin13G180300.v7.1|Misin14G007300.v7.1|Misin14G145300.v7.1|Misin15G196400.v7.1|Misin15G199200.v7.1|Misin16G038700.v7.1|Misin16G102400.v7.1|Misin16G155200.v7.1|Misin16G168700.v7.1|Misin16G191200.v7.1|Misin17G016800.v7.1|Misin17G037100.v7.1|Misin17G165200.v7.1|Misin18G011500.v7.1|Misin18G079100.v7.1|Misin18G102100.v7.1|Misin18G109800.v7.1|Misin18G222300.v7.1|Misin19G014200.v7.1|Misin19G032100.v7.1|Misin19G057200.v7.1|Misin19G100700.v7.1|Misin19G196400.v7.1|MisinT047100.v7.1|MisinT102700.v7.1|MisinT182000.v7.1|MisinT316400.v7.1|MisinT322000.v7.1|MisinT480700.v7.1
GO:0005984,disaccharide metabolic process,747,33,14.58,201,0.00007316075,0.04265,1.00000,Misin01G206300.v7.1|Misin01G229200.v7.1|Misin01G358800.v7.1|Misin01G430400.v7.1|Misin01G486600.v7.1|Misin01G499800.v7.1|Misin02G190600.v7.1|Misin02G205400.v7.1|Misin02G324200.v7.1|Misin02G437100.v7.1|Misin02G483200.v7.1|Misin02G500700.v7.1|Misin03G174800.v7.1|Misin03G201800.v7.1|Misin03G236400.v7.1|Misin04G012800.v7.1|Misin04G185900.v7.1|Misin06G263100.v7.1|Misin07G006200.v7.1|Misin07G215000.v7.1|Misin07G499000.v7.1|Misin08G306300.v7.1|Misin15G034600.v7.1|Misin15G074500.v7.1|Misin16G229500.v7.1|Misin17G242300.v7.1|Misin19G002300.v7.1|Misin19G146800.v7.1|MisinT282800.v7.1|MisinT327000.v7.1|MisinT433500.v7.1|MisinT548100.v7.1|MisinT552400.v7.1
GO:0010304,PSII associated light-harvesting complex...,25,5,0.49,13,0.00011,0.00011,0.00011,Misin05G014500.v7.1|Misin18G102100.v7.1|Misin18G222300.v7.1|Misin19G100700.v7.1|MisinT480700.v7.1
GO:0044571,[2Fe-2S] cluster assembly,6,3,0.12,15,0.00014,0.00014,0.00014,Misin15G207800.v7.1|Misin16G239400.v7.1|Misin17G245600.v7.1
GO:0006572,tyrosine catabolic process,6,3,0.12,16,0.00014,0.00014,0.00014,Misin07G052900.v7.1|Misin08G053500.v7.1|MisinT047100.v7.1
GO:1901671,positive regulation of superoxide dismut...,6,3,0.12,17,0.00014,0.00014,0.00014,Misin04G199100.v7.1|Misin18G063100.v7.1|Misin19G078200.v7.1
GO:0009834,plant-type secondary cell wall biogenesi...,61,7,1.19,18,0.00018,0.00018,0.00018,Misin01G206300.v7.1|Misin02G190600.v7.1|Misin02G382600.v7.1|Misin03G174800.v7.1|Misin04G185900.v7.1|Misin06G263100.v7.1|Misin16G037300.v7.1
GO:0045492,xylan biosynthetic process,61,7,1.19,19,0.00018,0.00018,0.00115,Misin01G206300.v7.1|Misin02G190600.v7.1|Misin02G382600.v7.1|Misin03G174800.v7.1|Misin04G185900.v7.1|Misin06G263100.v7.1|Misin16G037300.v7.1
GO:0019430,removal of superoxide radicals,35,8,0.68,21,0.00022,0.00022,0.00022,Misin04G199100.v7.1|Misin07G271900.v7.1|Misin13G145500.v7.1|Misin16G102400.v7.1|Misin18G063100.v7.1|Misin19G014200.v7.1|Misin19G032100.v7.1|Misin19G078200.v7.1
GO:0009657,plastid organization,339,30,6.62,257,0.00023,0.05867,0.05867,Misin01G053900.v7.1|Misin01G076900.v7.1|Misin01G316300.v7.1|Misin01G373700.v7.1|Misin02G162100.v7.1|Misin02G278200.v7.1|Misin02G335300.v7.1|Misin02G363800.v7.1|Misin03G280600.v7.1|Misin03G352700.v7.1|Misin04G388500.v7.1|Misin06G208600.v7.1|Misin07G112200.v7.1|Misin07G499000.v7.1|Misin11G256700.v7.1|Misin11G267500.v7.1|Misin12G117800.v7.1|Misin12G267100.v7.1|Misin15G074500.v7.1|Misin16G001700.v7.1|Misin16G053600.v7.1|Misin16G103700.v7.1|Misin17G131100.v7.1|Misin17G250900.v7.1|Misin18G102100.v7.1|Misin18G222300.v7.1|Misin18G234200.v7.1|Misin19G100700.v7.1|Misin19G268100.v7.1|MisinT548100.v7.1
GO:0005980,glycogen catabolic process,7,3,0.14,22,0.00024,0.00024,0.00024,Misin01G063200.v7.1|Misin04G215400.v7.1|Misin07G485600.v7.1
GO:0009064,glutamine family amino acid metabolic pr...,299,19,5.83,570,0.00034,0.19871,1.00000,Misin01G082000.v7.1|Misin02G034300.v7.1|Misin02G092200.v7.1|Misin02G114500.v7.1|Misin02G133000.v7.1|Misin03G183100.v7.1|Misin04G200300.v7.1|Misin05G230900.v7.1|Misin05G338300.v7.1|Misin06G185100.v7.1|Misin06G203900.v7.1|Misin07G056700.v7.1|Misin07G286700.v7.1|Misin07G459800.v7.1|Misin10G053600.v7.1|Misin14G007100.v7.1|Misin16G241600.v7.1|Misin17G249200.v7.1|MisinT473800.v7.1
GO:0010400,rhamnogalacturonan I side chain metaboli...,2,2,0.04,24,0.00038,0.00038,0.00038,Misin03G174800.v7.1|Misin04G185900.v7.1
GO:0009440,cyanate catabolic process,2,2,0.04,25,0.00038,0.00038,0.00038,Misin01G204900.v7.1|Misin02G192100.v7.1
GO:0006747,FAD biosynthetic process,2,2,0.04,26,0.00038,0.00038,0.00038,Misin01G046000.v7.1|Misin02G030000.v7.1
GO:0051085,chaperone cofactor-dependent protein ref...,19,4,0.37,29,0.00044,0.00044,0.00044,Misin01G276400.v7.1|Misin04G199100.v7.1|Misin18G063100.v7.1|Misin19G078200.v7.1
GO:0015995,chlorophyll biosynthetic process,92,8,1.8,30,0.00044,0.00044,0.00044,Misin01G373700.v7.1|Misin02G360800.v7.1|Misin02G363800.v7.1|Misin03G037900.v7.1|Misin06G208600.v7.1|Misin07G033100.v7.1|Misin08G054300.v7.1|Misin17G184000.v7.1
GO:0006108,malate metabolic process,52,6,1.01,32,0.00051,0.00051,0.00051,Misin01G185300.v7.1|Misin03G345600.v7.1|Misin04G275200.v7.1|Misin05G273100.v7.1|Misin06G234900.v7.1|Misin06G253000.v7.1
GO:0010206,photosystem II repair,21,4,0.41,34,0.00066,0.00066,0.00066,Misin16G053600.v7.1|Misin18G102100.v7.1|Misin18G222300.v7.1|Misin19G100700.v7.1
GO:1900865,chloroplast RNA modification,10,3,0.2,35,0.00080,0.00080,0.00746,Misin15G074500.v7.1|MisinT212100.v7.1|MisinT288600.v7.1
GO:0000272,polysaccharide catabolic process,262,16,5.11,41,0.00104,0.00157,0.000000022,Misin01G063200.v7.1|Misin01G229200.v7.1|Misin01G486600.v7.1|Misin02G205400.v7.1|Misin02G483200.v7.1|Misin03G201800.v7.1|Misin03G236400.v7.1|Misin04G215400.v7.1|Misin07G485600.v7.1|Misin08G306300.v7.1|Misin15G034600.v7.1|Misin18G152900.v7.1|Misin19G146800.v7.1|MisinT327000.v7.1|MisinT433500.v7.1|MisinT552400.v7.1
GO:0098755,maintenance of seed dormancy by absisic ...,3,2,0.06,36,0.00113,0.00113,0.00113,Misin14G086000.v7.1|Misin15G107600.v7.1
GO:0043447,alkane biosynthetic process,3,2,0.06,37,0.00113,0.00113,0.00113,Misin07G061500.v7.1|Misin19G196400.v7.1
GO:0046496,nicotinamide nucleotide metabolic proces...,446,19,8.7,39,0.00138,0.00138,1.00000,Misin01G014900.v7.1|Misin02G341300.v7.1|Misin03G278600.v7.1|Misin04G200300.v7.1|Misin06G169200.v7.1|Misin06G185100.v7.1|Misin06G200500.v7.1|Misin07G056700.v7.1|Misin10G053600.v7.1|Misin10G101000.v7.1|Misin11G031500.v7.1|Misin12G038700.v7.1|Misin12G113600.v7.1|Misin15G101000.v7.1|Misin16G127800.v7.1|Misin17G073700.v7.1|Misin18G105400.v7.1|Misin18G109800.v7.1|Misin18G220800.v7.1
GO:0009415,response to water,112,8,2.19,42,0.00162,0.00162,0.01838,Misin01G063200.v7.1|Misin02G133000.v7.1|Misin05G015300.v7.1|Misin06G263100.v7.1|Misin07G438800.v7.1|Misin07G485600.v7.1|Misin08G235000.v7.1|Misin16G012300.v7.1
GO:0010207,photosystem II assembly,88,7,1.72,43,0.00169,0.00169,0.00169,Misin01G053900.v7.1|Misin01G353300.v7.1|Misin02G351600.v7.1|Misin04G112900.v7.1|Misin04G287200.v7.1|Misin06G208600.v7.1|Misin07G033100.v7.1
GO:0006457,protein folding,512,29,9.99,44,0.00215,0.00215,0.00366,Misin01G070100.v7.1|Misin01G276400.v7.1|Misin01G367300.v7.1|Misin01G406200.v7.1|Misin01G434000.v7.1|Misin02G107000.v7.1|Misin02G180400.v7.1|Misin02G207000.v7.1|Misin02G358800.v7.1|Misin02G433500.v7.1|Misin02G470800.v7.1|Misin03G193600.v7.1|Misin04G199100.v7.1|Misin04G287200.v7.1|Misin05G196900.v7.1|Misin06G182100.v7.1|Misin07G064300.v7.1|Misin07G338000.v7.1|Misin07G405500.v7.1|Misin08G102600.v7.1|Misin11G045800.v7.1|Misin16G001700.v7.1|Misin16G103700.v7.1|Misin17G001900.v7.1|Misin17G112500.v7.1|Misin18G063100.v7.1|Misin18G233500.v7.1|Misin19G012700.v7.1|Misin19G078200.v7.1
GO:0015708,silicic acid import across plasma membra...,4,2,0.08,45,0.00222,0.00222,0.00222,Misin07G481100.v7.1|Misin08G270100.v7.1
GO:0000373,Group II intron splicing,29,4,0.57,47,0.00232,0.00232,0.00232,Misin01G057700.v7.1|Misin11G099600.v7.1|Misin12G117800.v7.1|Misin13G172600.v7.1
GO:0034637,cellular carbohydrate biosynthetic proce...,467,23,9.11,865,0.00288,0.42825,1.00000,Misin01G063200.v7.1|Misin01G206300.v7.1|Misin01G430400.v7.1|Misin01G455400.v7.1|Misin01G499800.v7.1|Misin02G190600.v7.1|Misin02G324200.v7.1|Misin02G382600.v7.1|Misin02G437100.v7.1|Misin02G447000.v7.1|Misin02G500700.v7.1|Misin03G174800.v7.1|Misin04G185900.v7.1|Misin06G263100.v7.1|Misin07G215000.v7.1|Misin07G474500.v7.1|Misin07G499000.v7.1|Misin15G074500.v7.1|Misin16G037300.v7.1|Misin16G229500.v7.1|Misin17G242300.v7.1|Misin19G002300.v7.1|MisinT548100.v7.1
GO:0006551,leucine metabolic process,152,9,2.97,472,0.00309,0.14522,1.00000,Misin04G200300.v7.1|Misin06G185100.v7.1|Misin06G204700.v7.1|Misin07G056700.v7.1|Misin08G290000.v7.1|Misin10G053600.v7.1|Misin13G105300.v7.1|Misin16G038700.v7.1|Misin18G109800.v7.1
GO:0000455,enzyme-directed rRNA pseudouridine synth...,5,2,0.1,48,0.00366,0.00366,0.00366,Misin02G471700.v7.1|Misin04G384500.v7.1
GO:0048255,mRNA stabilization,5,2,0.1,49,0.00366,0.00366,0.00366,Misin18G214100.v7.1|Misin19G192800.v7.1
GO:0009225,nucleotide-sugar metabolic process,167,11,3.26,31,0.00391,0.00047,0.00290,Misin01G206300.v7.1|Misin01G398300.v7.1|Misin02G190600.v7.1|Misin02G347800.v7.1|Misin03G174800.v7.1|Misin04G012800.v7.1|Misin04G185900.v7.1|Misin06G263100.v7.1|Misin08G239900.v7.1|Misin17G267700.v7.1|MisinT394200.v7.1
GO:0010075,regulation of meristem growth,54,5,1.05,50,0.00401,0.00401,0.00401,Misin01G019700.v7.1|Misin01G073200.v7.1|Misin02G002400.v7.1|Misin05G030000.v7.1|Misin16G053600.v7.1
GO:0006529,asparagine biosynthetic process,18,3,0.35,52,0.00485,0.00485,0.00485,Misin01G082000.v7.1|Misin02G034300.v7.1|Misin14G007100.v7.1
GO:0015976,carbon utilization,164,9,3.2,53,0.00508,0.00508,0.00508,Misin05G273100.v7.1|Misin06G200500.v7.1|Misin06G234900.v7.1|Misin06G253000.v7.1|Misin11G005800.v7.1|Misin11G031500.v7.1|Misin12G038700.v7.1|Misin17G073700.v7.1|Misin18G220800.v7.1
