GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016161,beta-amylase activity,25,9,0.49,1,0.0000000006,0.0000000006,0.0000000006,Misin01G486600.v7.1|Misin02G205400.v7.1|Misin02G483200.v7.1|Misin03G201800.v7.1|Misin15G034600.v7.1|Misin19G146800.v7.1|MisinT327000.v7.1|MisinT433500.v7.1|MisinT552400.v7.1
GO:0015250,water channel activity,76,10,1.48,2,0.0000022447,0.0000022447,0.0000022447,Misin01G219200.v7.1|Misin03G107200.v7.1|Misin07G413400.v7.1|Misin07G437200.v7.1|Misin07G481100.v7.1|Misin07G548500.v7.1|Misin08G232800.v7.1|Misin08G270100.v7.1|Misin12G174400.v7.1|MisinT569700.v7.1
GO:0015254,glycerol channel activity,76,10,1.48,3,0.0000022447,0.0000022447,0.0000022447,Misin01G219200.v7.1|Misin03G107200.v7.1|Misin07G413400.v7.1|Misin07G437200.v7.1|Misin07G481100.v7.1|Misin07G548500.v7.1|Misin08G232800.v7.1|Misin08G270100.v7.1|Misin12G174400.v7.1|MisinT569700.v7.1
GO:0003883,CTP synthase activity,9,4,0.18,4,0.0000167558,0.0000167558,0.0000167558,Misin05G230900.v7.1|Misin06G203900.v7.1|Misin16G241600.v7.1|Misin17G249200.v7.1
GO:0003723,RNA binding,1836,63,35.83,8,0.0000216604,0.00023,0.00017,Misin01G019700.v7.1|Misin01G020900.v7.1|Misin01G057700.v7.1|Misin01G145000.v7.1|Misin01G172600.v7.1|Misin01G206300.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G406200.v7.1|Misin01G503400.v7.1|Misin01G505300.v7.1|Misin02G001600.v7.1|Misin02G002400.v7.1|Misin02G111700.v7.1|Misin02G115400.v7.1|Misin02G163800.v7.1|Misin02G190600.v7.1|Misin02G351600.v7.1|Misin02G363800.v7.1|Misin02G471700.v7.1|Misin02G497500.v7.1|Misin03G037900.v7.1|Misin03G054900.v7.1|Misin04G031800.v7.1|Misin04G384500.v7.1|Misin05G091800.v7.1|Misin05G266700.v7.1|Misin06G025600.v7.1|Misin06G031200.v7.1|Misin06G153500.v7.1|Misin06G215500.v7.1|Misin06G407300.v7.1|Misin07G012000.v7.1|Misin07G068200.v7.1|Misin07G068300.v7.1|Misin07G112200.v7.1|Misin07G229800.v7.1|Misin07G240100.v7.1|Misin08G008900.v7.1|Misin08G068100.v7.1|Misin08G225200.v7.1|Misin08G324500.v7.1|Misin09G165700.v7.1|Misin11G099600.v7.1|Misin11G267500.v7.1|Misin13G172600.v7.1|Misin14G043800.v7.1|Misin14G126900.v7.1|Misin15G074500.v7.1|Misin15G111100.v7.1|Misin15G161500.v7.1|Misin16G127700.v7.1|Misin17G122200.v7.1|Misin17G127600.v7.1|Misin18G035800.v7.1|Misin18G036500.v7.1|Misin18G214100.v7.1|Misin19G033400.v7.1|Misin19G192800.v7.1|MisinT195800.v7.1|MisinT243400.v7.1|MisinT355700.v7.1|MisinT404900.v7.1
GO:0004784,superoxide dismutase activity,22,5,0.43,5,0.0000557585,0.0000557585,0.0000557585,Misin07G271900.v7.1|Misin13G145500.v7.1|Misin16G102400.v7.1|Misin19G014200.v7.1|Misin19G032100.v7.1
GO:0004722,protein serine/threonine phosphatase act...,181,13,3.53,6,0.0000614442,0.0000614442,0.0000614442,Misin02G413800.v7.1|Misin03G141800.v7.1|Misin05G176900.v7.1|Misin05G340800.v7.1|Misin06G120800.v7.1|Misin06G174200.v7.1|Misin11G206700.v7.1|Misin14G045600.v7.1|Misin16G215000.v7.1|Misin17G036900.v7.1|Misin18G206400.v7.1|Misin19G145700.v7.1|Misin19G206600.v7.1
GO:0042802,identical protein binding,237,15,4.63,7,0.0000734895,0.0000734895,0.00012,Misin01G082000.v7.1|Misin01G204900.v7.1|Misin01G365000.v7.1|Misin02G034300.v7.1|Misin02G133000.v7.1|Misin02G192100.v7.1|Misin02G210700.v7.1|Misin02G341800.v7.1|Misin06G204700.v7.1|Misin07G405500.v7.1|Misin07G506800.v7.1|Misin14G007100.v7.1|Misin17G184000.v7.1|Misin18G214100.v7.1|Misin19G192800.v7.1
GO:0016615,malate dehydrogenase activity,46,6,0.9,37,0.00026,0.01363,1.00000,Misin01G185300.v7.1|Misin03G345600.v7.1|Misin04G275200.v7.1|Misin05G273100.v7.1|Misin06G234900.v7.1|Misin06G253000.v7.1
GO:0003868,4-hydroxyphenylpyruvate dioxygenase acti...,2,2,0.04,9,0.00038,0.00038,0.00038,Misin07G052900.v7.1|Misin08G053500.v7.1
