GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0006520,cellular amino acid metabolic process,3516,74,40.13,1,0.00000011,0.00000011,0.00000011,Misin01G198700.v7.1|Misin01G344100.v7.1|Misin02G224200.v7.1|Misin02G278100.v7.1|Misin02G336200.v7.1|Misin02G491300.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G147600.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G310600.v7.1|Misin05G102400.v7.1|Misin05G350500.v7.1|Misin06G014900.v7.1|Misin06G167600.v7.1|Misin07G136000.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin08G176300.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G007400.v7.1|Misin11G223100.v7.1|Misin11G224100.v7.1|Misin11G224600.v7.1|Misin11G268300.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin12G237400.v7.1|Misin12G252300.v7.1|Misin14G010200.v7.1|Misin14G041100.v7.1|Misin14G074500.v7.1|Misin14G161200.v7.1|Misin15G024500.v7.1|Misin15G041400.v7.1|Misin16G178200.v7.1|Misin16G234800.v7.1|Misin17G105900.v7.1|Misin18G026500.v7.1|Misin18G051300.v7.1|Misin18G170800.v7.1|Misin18G197900.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G027100.v7.1|Misin19G042900.v7.1|Misin19G057900.v7.1|Misin19G084300.v7.1|Misin19G101900.v7.1|Misin19G131900.v7.1|Misin19G258500.v7.1|MisinT157700.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT351200.v7.1|MisinT437000.v7.1|MisinT477200.v7.1
GO:0006464,cellular protein modification process,5525,92,63.06,2,0.00006037,0.00006037,0.00006037,Misin01G055900.v7.1|Misin01G198700.v7.1|Misin01G333500.v7.1|Misin01G344100.v7.1|Misin01G386500.v7.1|Misin02G224200.v7.1|Misin02G247700.v7.1|Misin02G317100.v7.1|Misin02G336200.v7.1|Misin02G377100.v7.1|Misin02G491300.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G053400.v7.1|Misin03G087400.v7.1|Misin03G147600.v7.1|Misin03G147700.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G310600.v7.1|Misin05G102400.v7.1|Misin05G122100.v7.1|Misin05G228900.v7.1|Misin05G320300.v7.1|Misin05G350500.v7.1|Misin06G011700.v7.1|Misin06G014900.v7.1|Misin06G167600.v7.1|Misin06G189800.v7.1|Misin06G202400.v7.1|Misin07G019300.v7.1|Misin07G136000.v7.1|Misin07G226500.v7.1|Misin07G362500.v7.1|Misin07G377800.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G545400.v7.1|Misin08G108800.v7.1|Misin08G176300.v7.1|Misin09G048200.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin09G184300.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G202100.v7.1|Misin11G223100.v7.1|Misin11G224100.v7.1|Misin11G224600.v7.1|Misin11G268300.v7.1|Misin12G098400.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin12G237400.v7.1|Misin13G187400.v7.1|Misin14G010200.v7.1|Misin14G074500.v7.1|Misin14G161200.v7.1|Misin15G024400.v7.1|Misin15G024500.v7.1|Misin15G036300.v7.1|Misin15G124400.v7.1|Misin16G178200.v7.1|Misin16G243600.v7.1|Misin17G078300.v7.1|Misin17G105900.v7.1|Misin18G051300.v7.1|Misin18G170800.v7.1|Misin18G172000.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G027100.v7.1|Misin19G057900.v7.1|Misin19G084300.v7.1|Misin19G101700.v7.1|Misin19G131900.v7.1|Misin19G258500.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT318800.v7.1|MisinT351200.v7.1|MisinT437000.v7.1|MisinT477200.v7.1
GO:0019748,secondary metabolic process,824,21,9.4,3,0.00057,0.00057,0.00057,Misin01G299800.v7.1|Misin01G299900.v7.1|Misin01G345300.v7.1|Misin02G060700.v7.1|Misin02G061000.v7.1|Misin02G286200.v7.1|Misin02G350700.v7.1|Misin03G238800.v7.1|Misin04G177200.v7.1|Misin04G213300.v7.1|Misin05G241800.v7.1|Misin05G313100.v7.1|Misin06G334400.v7.1|Misin07G295100.v7.1|Misin10G091300.v7.1|Misin11G057300.v7.1|Misin12G138700.v7.1|Misin17G203500.v7.1|MisinT014600.v7.1|MisinT014800.v7.1|MisinT388400.v7.1
GO:0005975,carbohydrate metabolic process,2721,48,31.06,4,0.00161,0.00161,0.00161,Misin01G062000.v7.1|Misin01G494100.v7.1|Misin01G494400.v7.1|Misin02G247700.v7.1|Misin02G298500.v7.1|Misin02G298600.v7.1|Misin02G348100.v7.1|Misin02G396200.v7.1|Misin03G049500.v7.1|Misin03G144900.v7.1|Misin03G153200.v7.1|Misin03G287300.v7.1|Misin04G053000.v7.1|Misin04G171600.v7.1|Misin05G036600.v7.1|Misin05G063800.v7.1|Misin05G304400.v7.1|Misin06G027600.v7.1|Misin06G200300.v7.1|Misin06G294700.v7.1|Misin06G362400.v7.1|Misin07G025300.v7.1|Misin07G140200.v7.1|Misin07G212900.v7.1|Misin07G251100.v7.1|Misin07G350100.v7.1|Misin09G085800.v7.1|Misin10G064900.v7.1|Misin11G007400.v7.1|Misin11G046300.v7.1|Misin11G110100.v7.1|Misin12G077600.v7.1|Misin12G115000.v7.1|Misin13G006000.v7.1|Misin13G097200.v7.1|Misin13G187400.v7.1|Misin15G036300.v7.1|Misin16G078900.v7.1|Misin16G080200.v7.1|Misin16G190100.v7.1|Misin17G123000.v7.1|Misin18G026500.v7.1|Misin18G238700.v7.1|Misin18G277200.v7.1|Misin19G042900.v7.1|Misin19G223200.v7.1|Misin19G258500.v7.1|MisinT394000.v7.1
GO:0007165,signal transduction,2063,35,23.55,5,0.01234,0.01234,0.01234,Misin01G048800.v7.1|Misin01G114600.v7.1|Misin01G329600.v7.1|Misin01G386500.v7.1|Misin02G118600.v7.1|Misin02G377100.v7.1|Misin02G491300.v7.1|Misin03G022700.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G304300.v7.1|Misin06G014900.v7.1|Misin06G361700.v7.1|Misin07G225300.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin08G108800.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin10G104600.v7.1|Misin11G268300.v7.1|Misin12G101000.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin12G278600.v7.1|Misin19G057900.v7.1|Misin19G101900.v7.1|Misin19G127500.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT420400.v7.1
GO:0030705,cytoskeleton-dependent intracellular tra...,5,1,0.06,12,0.05578,0.05578,0.05578,Misin19G025600.v7.1
GO:0044281,small molecule metabolic process,6695,114,76.41,13,0.07974,0.07697,0.07697,Misin01G042500.v7.1|Misin01G062000.v7.1|Misin01G198700.v7.1|Misin01G344100.v7.1|Misin02G060700.v7.1|Misin02G061000.v7.1|Misin02G224200.v7.1|Misin02G247700.v7.1|Misin02G278100.v7.1|Misin02G298500.v7.1|Misin02G298600.v7.1|Misin02G317100.v7.1|Misin02G336200.v7.1|Misin02G396200.v7.1|Misin02G491300.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G049500.v7.1|Misin03G144900.v7.1|Misin03G147600.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin03G364300.v7.1|Misin04G034000.v7.1|Misin04G053000.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G310600.v7.1|Misin04G402200.v7.1|Misin05G036600.v7.1|Misin05G063800.v7.1|Misin05G102400.v7.1|Misin05G304400.v7.1|Misin05G313100.v7.1|Misin05G350500.v7.1|Misin06G014900.v7.1|Misin06G027600.v7.1|Misin06G076600.v7.1|Misin06G167600.v7.1|Misin06G294700.v7.1|Misin06G362400.v7.1|Misin07G136000.v7.1|Misin07G212900.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G230900.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G351100.v7.1|Misin07G377800.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G459000.v7.1|Misin08G176300.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G007400.v7.1|Misin11G046300.v7.1|Misin11G110100.v7.1|Misin11G223100.v7.1|Misin11G224100.v7.1|Misin11G224600.v7.1|Misin11G254500.v7.1|Misin11G264800.v7.1|Misin11G268300.v7.1|Misin12G077600.v7.1|Misin12G115000.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin12G237400.v7.1|Misin12G252300.v7.1|Misin13G047000.v7.1|Misin13G187400.v7.1|Misin14G010200.v7.1|Misin14G041100.v7.1|Misin14G074500.v7.1|Misin14G102700.v7.1|Misin14G161200.v7.1|Misin15G024500.v7.1|Misin15G036300.v7.1|Misin15G041400.v7.1|Misin16G078900.v7.1|Misin16G080200.v7.1|Misin16G178200.v7.1|Misin16G190100.v7.1|Misin16G234800.v7.1|Misin17G105900.v7.1|Misin18G026500.v7.1|Misin18G051300.v7.1|Misin18G170800.v7.1|Misin18G197900.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G027100.v7.1|Misin19G042900.v7.1|Misin19G057900.v7.1|Misin19G084300.v7.1|Misin19G101900.v7.1|Misin19G131900.v7.1|Misin19G223200.v7.1|Misin19G258500.v7.1|MisinT157700.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT351200.v7.1|MisinT437000.v7.1|MisinT477200.v7.1
GO:0007154,cell communication,2074,35,23.67,9,0.22360,0.01329,1.00000,Misin01G048800.v7.1|Misin01G114600.v7.1|Misin01G329600.v7.1|Misin01G386500.v7.1|Misin02G118600.v7.1|Misin02G377100.v7.1|Misin02G491300.v7.1|Misin03G022700.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G304300.v7.1|Misin06G014900.v7.1|Misin06G361700.v7.1|Misin07G225300.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin08G108800.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin10G104600.v7.1|Misin11G268300.v7.1|Misin12G101000.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin12G278600.v7.1|Misin19G057900.v7.1|Misin19G101900.v7.1|Misin19G127500.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT420400.v7.1
GO:0023052,signaling,2074,35,23.67,10,0.22360,0.01329,1.00000,Misin01G048800.v7.1|Misin01G114600.v7.1|Misin01G329600.v7.1|Misin01G386500.v7.1|Misin02G118600.v7.1|Misin02G377100.v7.1|Misin02G491300.v7.1|Misin03G022700.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G304300.v7.1|Misin06G014900.v7.1|Misin06G361700.v7.1|Misin07G225300.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin08G108800.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin10G104600.v7.1|Misin11G268300.v7.1|Misin12G101000.v7.1|Misin12G149900.v7.1|Misin12G221600.v7.1|Misin12G278600.v7.1|Misin19G057900.v7.1|Misin19G101900.v7.1|Misin19G127500.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT420400.v7.1
GO:0030198,extracellular matrix organization,25,1,0.29,14,0.24956,0.24956,0.24956,Misin04G405800.v7.1
