GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016301,kinase activity,4164,114,53.86,1,0.0000000000000028,0.0000000000000028,0.0000000000000028,Misin01G053100.v7.1|Misin01G190000.v7.1|Misin01G198700.v7.1|Misin01G333500.v7.1|Misin01G344100.v7.1|Misin01G494400.v7.1|Misin02G224200.v7.1|Misin02G317100.v7.1|Misin02G336200.v7.1|Misin02G396200.v7.1|Misin02G408000.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G049400.v7.1|Misin03G087400.v7.1|Misin03G147600.v7.1|Misin03G147700.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G059700.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G308100.v7.1|Misin04G310400.v7.1|Misin04G310600.v7.1|Misin05G036600.v7.1|Misin05G102400.v7.1|Misin05G350500.v7.1|Misin06G011700.v7.1|Misin06G014900.v7.1|Misin06G027600.v7.1|Misin06G059100.v7.1|Misin06G085700.v7.1|Misin06G167600.v7.1|Misin07G012900.v7.1|Misin07G136000.v7.1|Misin07G212900.v7.1|Misin07G225300.v7.1|Misin07G226400.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G402000.v7.1|Misin07G409500.v7.1|Misin07G415300.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin08G176300.v7.1|Misin08G200600.v7.1|Misin08G203100.v7.1|Misin09G033700.v7.1|Misin09G048200.v7.1|Misin09G086000.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin10G041800.v7.1|Misin10G042200.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin10G162700.v7.1|Misin11G223100.v7.1|Misin11G224100.v7.1|Misin11G224600.v7.1|Misin11G254500.v7.1|Misin11G268300.v7.1|Misin12G149900.v7.1|Misin12G153800.v7.1|Misin12G221600.v7.1|Misin12G237400.v7.1|Misin13G187400.v7.1|Misin14G010200.v7.1|Misin14G074500.v7.1|Misin14G121300.v7.1|Misin14G161200.v7.1|Misin15G024400.v7.1|Misin15G024500.v7.1|Misin15G036900.v7.1|Misin16G078900.v7.1|Misin16G080200.v7.1|Misin16G178200.v7.1|Misin16G243600.v7.1|Misin17G078300.v7.1|Misin17G105900.v7.1|Misin18G051300.v7.1|Misin18G164700.v7.1|Misin18G170800.v7.1|Misin18G172000.v7.1|Misin18G267200.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G027100.v7.1|Misin19G042900.v7.1|Misin19G047400.v7.1|Misin19G057900.v7.1|Misin19G101700.v7.1|Misin19G131900.v7.1|Misin19G258500.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT318800.v7.1|MisinT351200.v7.1|MisinT437000.v7.1|MisinT477100.v7.1|MisinT477200.v7.1|MisinT477300.v7.1
GO:0043167,ion binding,12724,208,164.6,2,0.0000120110362817,0.0000120110362817,0.0000120110362817,Misin01G000700.v7.1|Misin01G015100.v7.1|Misin01G042500.v7.1|Misin01G055900.v7.1|Misin01G198700.v7.1|Misin01G254400.v7.1|Misin01G283800.v7.1|Misin01G317900.v7.1|Misin01G329600.v7.1|Misin01G333500.v7.1|Misin01G344100.v7.1|Misin01G344200.v7.1|Misin01G354600.v7.1|Misin01G386500.v7.1|Misin01G399900.v7.1|Misin01G488200.v7.1|Misin02G047000.v7.1|Misin02G060700.v7.1|Misin02G061000.v7.1|Misin02G082100.v7.1|Misin02G165800.v7.1|Misin02G224200.v7.1|Misin02G247700.v7.1|Misin02G317100.v7.1|Misin02G336200.v7.1|Misin02G350700.v7.1|Misin02G358500.v7.1|Misin02G377100.v7.1|Misin02G396200.v7.1|Misin02G409100.v7.1|Misin02G481700.v7.1|Misin02G491300.v7.1|Misin02G503300.v7.1|Misin03G021500.v7.1|Misin03G022700.v7.1|Misin03G024900.v7.1|Misin03G042800.v7.1|Misin03G087400.v7.1|Misin03G135000.v7.1|Misin03G145000.v7.1|Misin03G147600.v7.1|Misin03G147700.v7.1|Misin03G238800.v7.1|Misin03G287100.v7.1|Misin03G287200.v7.1|Misin03G340700.v7.1|Misin04G034000.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G051000.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G177200.v7.1|Misin04G263900.v7.1|Misin04G357000.v7.1|Misin05G036600.v7.1|Misin05G090900.v7.1|Misin05G102400.v7.1|Misin05G122100.v7.1|Misin05G131200.v7.1|Misin05G202900.v7.1|Misin05G203400.v7.1|Misin05G228900.v7.1|Misin05G241700.v7.1|Misin05G241800.v7.1|Misin05G313100.v7.1|Misin05G350500.v7.1|Misin05G362300.v7.1|Misin06G011700.v7.1|Misin06G014900.v7.1|Misin06G027600.v7.1|Misin06G030000.v7.1|Misin06G066800.v7.1|Misin06G167600.v7.1|Misin06G189800.v7.1|Misin06G202400.v7.1|Misin06G334400.v7.1|Misin06G349000.v7.1|Misin07G019300.v7.1|Misin07G038300.v7.1|Misin07G129500.v7.1|Misin07G136000.v7.1|Misin07G155200.v7.1|Misin07G212900.v7.1|Misin07G225300.v7.1|Misin07G226400.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G230900.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G289800.v7.1|Misin07G295100.v7.1|Misin07G351100.v7.1|Misin07G377800.v7.1|Misin07G386000.v7.1|Misin07G396900.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G466500.v7.1|Misin07G491600.v7.1|Misin07G545400.v7.1|Misin08G108800.v7.1|Misin08G176300.v7.1|Misin08G181300.v7.1|Misin08G243800.v7.1|Misin08G274000.v7.1|Misin08G281900.v7.1|Misin09G048200.v7.1|Misin09G105000.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin09G182300.v7.1|Misin09G182500.v7.1|Misin09G184300.v7.1|Misin10G076200.v7.1|Misin10G085200.v7.1|Misin10G091300.v7.1|Misin10G104600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G022700.v7.1|Misin11G107000.v7.1|Misin11G107200.v7.1|Misin11G158300.v7.1|Misin11G161500.v7.1|Misin11G173000.v7.1|Misin11G202100.v7.1|Misin11G223100.v7.1|Misin11G224600.v7.1|Misin11G232600.v7.1|Misin11G264800.v7.1|Misin11G268300.v7.1|Misin12G093200.v7.1|Misin12G098400.v7.1|Misin12G138700.v7.1|Misin12G149900.v7.1|Misin12G201100.v7.1|Misin12G221600.v7.1|Misin12G246600.v7.1|Misin13G036800.v7.1|Misin13G047000.v7.1|Misin13G187400.v7.1|Misin13G191100.v7.1|Misin14G010200.v7.1|Misin14G047100.v7.1|Misin14G049000.v7.1|Misin14G074500.v7.1|Misin14G102700.v7.1|Misin14G121300.v7.1|Misin14G145000.v7.1|Misin14G161200.v7.1|Misin15G020100.v7.1|Misin15G024400.v7.1|Misin15G024500.v7.1|Misin15G036300.v7.1|Misin15G157000.v7.1|Misin16G033100.v7.1|Misin16G033200.v7.1|Misin16G078900.v7.1|Misin16G080200.v7.1|Misin16G145800.v7.1|Misin16G151000.v7.1|Misin16G178200.v7.1|Misin16G234800.v7.1|Misin16G243600.v7.1|Misin17G047800.v7.1|Misin17G078300.v7.1|Misin17G105900.v7.1|Misin17G203500.v7.1|Misin18G026500.v7.1|Misin18G051300.v7.1|Misin18G074900.v7.1|Misin18G116100.v7.1|Misin18G170800.v7.1|Misin18G172000.v7.1|Misin18G197900.v7.1|Misin18G271300.v7.1|Misin18G277200.v7.1|Misin19G025600.v7.1|Misin19G027100.v7.1|Misin19G042900.v7.1|Misin19G047200.v7.1|Misin19G047400.v7.1|Misin19G057900.v7.1|Misin19G059600.v7.1|Misin19G062800.v7.1|Misin19G101700.v7.1|Misin19G101900.v7.1|Misin19G131900.v7.1|Misin19G179600.v7.1|Misin19G258500.v7.1|MisinT014600.v7.1|MisinT014800.v7.1|MisinT056300.v7.1|MisinT096100.v7.1|MisinT142900.v7.1|MisinT157700.v7.1|MisinT237700.v7.1|MisinT268700.v7.1|MisinT318800.v7.1|MisinT327300.v7.1|MisinT351200.v7.1|MisinT388400.v7.1|MisinT437000.v7.1|MisinT445000.v7.1|MisinT477200.v7.1
GO:0016491,oxidoreductase activity,3700,60,47.86,3,0.039,0.039,0.039,Misin01G000700.v7.1|Misin01G015100.v7.1|Misin01G317900.v7.1|Misin01G345300.v7.1|Misin01G488200.v7.1|Misin02G060700.v7.1|Misin02G061000.v7.1|Misin02G350700.v7.1|Misin02G481700.v7.1|Misin03G042800.v7.1|Misin03G238800.v7.1|Misin03G364300.v7.1|Misin04G051000.v7.1|Misin04G177200.v7.1|Misin04G263900.v7.1|Misin04G402200.v7.1|Misin05G090900.v7.1|Misin05G202900.v7.1|Misin05G203400.v7.1|Misin05G241800.v7.1|Misin06G030000.v7.1|Misin06G066800.v7.1|Misin06G334400.v7.1|Misin06G349000.v7.1|Misin07G198300.v7.1|Misin07G230900.v7.1|Misin07G289800.v7.1|Misin07G459000.v7.1|Misin07G466500.v7.1|Misin08G254900.v7.1|Misin09G105000.v7.1|Misin10G085200.v7.1|Misin10G091300.v7.1|Misin11G007400.v7.1|Misin11G204300.v7.1|Misin11G232600.v7.1|Misin12G093200.v7.1|Misin12G138700.v7.1|Misin12G173000.v7.1|Misin12G201100.v7.1|Misin12G211700.v7.1|Misin12G246600.v7.1|Misin15G032200.v7.1|Misin15G157000.v7.1|Misin16G033100.v7.1|Misin16G033200.v7.1|Misin16G151000.v7.1|Misin16G234800.v7.1|Misin17G047800.v7.1|Misin17G203500.v7.1|Misin18G074900.v7.1|Misin19G062800.v7.1|Misin19G223200.v7.1|MisinT014600.v7.1|MisinT014800.v7.1|MisinT019500.v7.1|MisinT096100.v7.1|MisinT327300.v7.1|MisinT388400.v7.1|MisinT445000.v7.1
GO:0003700,DNA-binding transcription factor activit...,1091,21,14.11,4,0.047,0.047,0.047,Misin02G258000.v7.1|Misin02G290000.v7.1|Misin02G418300.v7.1|Misin04G033200.v7.1|Misin04G396400.v7.1|Misin05G247500.v7.1|Misin05G314300.v7.1|Misin06G308400.v7.1|Misin06G361700.v7.1|Misin07G314200.v7.1|Misin10G081400.v7.1|Misin11G158300.v7.1|Misin11G161500.v7.1|Misin12G166200.v7.1|Misin12G181200.v7.1|Misin13G054100.v7.1|Misin14G154700.v7.1|Misin15G025800.v7.1|Misin16G214500.v7.1|Misin19G047200.v7.1|Misin19G047400.v7.1
GO:0022857,transmembrane transporter activity,2131,34,27.57,6,0.122,0.122,0.122,Misin01G321200.v7.1|Misin01G434200.v7.1|Misin01G508600.v7.1|Misin02G474000.v7.1|Misin02G474100.v7.1|Misin03G145000.v7.1|Misin04G008100.v7.1|Misin04G085300.v7.1|Misin04G158500.v7.1|Misin04G184000.v7.1|Misin04G304300.v7.1|Misin05G228900.v7.1|Misin05G344400.v7.1|Misin05G395500.v7.1|Misin06G202400.v7.1|Misin07G138000.v7.1|Misin07G186100.v7.1|Misin08G073400.v7.1|Misin11G022700.v7.1|Misin11G096300.v7.1|Misin12G102300.v7.1|Misin13G011800.v7.1|Misin13G036800.v7.1|Misin15G061100.v7.1|Misin15G096900.v7.1|Misin15G106600.v7.1|Misin15G119800.v7.1|Misin16G069600.v7.1|Misin18G101900.v7.1|Misin18G110200.v7.1|Misin19G101900.v7.1|Misin19G179600.v7.1|MisinT024100.v7.1|MisinT107000.v7.1
GO:0008289,lipid binding,432,8,5.59,8,0.199,0.199,0.199,Misin01G386500.v7.1|Misin02G377100.v7.1|Misin07G411000.v7.1|Misin08G108800.v7.1|Misin09G143200.v7.1|Misin16G145800.v7.1|Misin19G047200.v7.1|Misin19G047400.v7.1
GO:0016798,"hydrolase activity, acting on glycosyl b...",984,16,12.73,9,0.209,0.209,0.209,Misin01G494400.v7.1|Misin02G198000.v7.1|Misin02G247700.v7.1|Misin02G348100.v7.1|Misin03G049500.v7.1|Misin03G287300.v7.1|Misin06G200300.v7.1|Misin07G025300.v7.1|Misin07G140200.v7.1|Misin07G350100.v7.1|Misin09G085800.v7.1|Misin10G064900.v7.1|Misin13G006000.v7.1|Misin15G036300.v7.1|Misin17G123000.v7.1|MisinT394000.v7.1
GO:0016810,"hydrolase activity, acting on carbon-nit...",176,3,2.28,10,0.398,0.398,0.398,Misin11G264800.v7.1|Misin12G252300.v7.1|Misin19G083000.v7.1
GO:0005215,transporter activity,2131,34,27.57,7,0.442,0.122,1.000,Misin01G321200.v7.1|Misin01G434200.v7.1|Misin01G508600.v7.1|Misin02G474000.v7.1|Misin02G474100.v7.1|Misin03G145000.v7.1|Misin04G008100.v7.1|Misin04G085300.v7.1|Misin04G158500.v7.1|Misin04G184000.v7.1|Misin04G304300.v7.1|Misin05G228900.v7.1|Misin05G344400.v7.1|Misin05G395500.v7.1|Misin06G202400.v7.1|Misin07G138000.v7.1|Misin07G186100.v7.1|Misin08G073400.v7.1|Misin11G022700.v7.1|Misin11G096300.v7.1|Misin12G102300.v7.1|Misin13G011800.v7.1|Misin13G036800.v7.1|Misin15G061100.v7.1|Misin15G096900.v7.1|Misin15G106600.v7.1|Misin15G119800.v7.1|Misin16G069600.v7.1|Misin18G101900.v7.1|Misin18G110200.v7.1|Misin19G101900.v7.1|Misin19G179600.v7.1|MisinT024100.v7.1|MisinT107000.v7.1
GO:0016829,lyase activity,799,11,10.34,11,0.460,0.460,0.460,Misin01G042500.v7.1|Misin02G198000.v7.1|Misin02G396200.v7.1|Misin04G348100.v7.1|Misin05G255500.v7.1|Misin06G362400.v7.1|Misin07G351100.v7.1|Misin08G166800.v7.1|Misin13G047000.v7.1|Misin18G026500.v7.1|Misin18G197900.v7.1
