GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0005975,carbohydrate metabolic process,2721,48,26.8,1,0.000051,0.000051,0.000051,Misin01G020200.v7.1|Misin01G037000.v7.1|Misin01G063200.v7.1|Misin01G206300.v7.1|Misin01G358800.v7.1|Misin01G436000.v7.1|Misin01G455400.v7.1|Misin01G486600.v7.1|Misin02G086900.v7.1|Misin02G190600.v7.1|Misin02G205400.v7.1|Misin02G447000.v7.1|Misin02G483200.v7.1|Misin02G500700.v7.1|Misin03G095900.v7.1|Misin03G201800.v7.1|Misin03G223100.v7.1|Misin03G236400.v7.1|Misin03G300300.v7.1|Misin03G366200.v7.1|Misin04G185900.v7.1|Misin04G312400.v7.1|Misin05G265800.v7.1|Misin06G256100.v7.1|Misin06G263100.v7.1|Misin07G215000.v7.1|Misin07G485600.v7.1|Misin10G043000.v7.1|Misin10G053600.v7.1|Misin12G163600.v7.1|Misin14G066100.v7.1|Misin15G034600.v7.1|Misin16G125400.v7.1|Misin16G229500.v7.1|Misin16G231000.v7.1|Misin17G073700.v7.1|Misin18G109800.v7.1|Misin18G152900.v7.1|Misin18G276400.v7.1|Misin19G002300.v7.1|Misin19G069400.v7.1|Misin19G088300.v7.1|MisinT018600.v7.1|MisinT167900.v7.1|MisinT282800.v7.1|MisinT393000.v7.1|MisinT481700.v7.1|MisinT552400.v7.1
GO:0009058,biosynthetic process,9847,117,96.98,2,0.00043,0.0073,0.00043,Misin01G036800.v7.1|Misin01G049400.v7.1|Misin01G063200.v7.1|Misin01G108900.v7.1|Misin01G126400.v7.1|Misin01G135300.v7.1|Misin01G361900.v7.1|Misin01G390800.v7.1|Misin01G403300.v7.1|Misin01G419100.v7.1|Misin01G436000.v7.1|Misin01G438400.v7.1|Misin01G455400.v7.1|Misin02G034400.v7.1|Misin02G115400.v7.1|Misin02G129500.v7.1|Misin02G411700.v7.1|Misin02G447000.v7.1|Misin02G486600.v7.1|Misin02G500700.v7.1|Misin03G095900.v7.1|Misin03G237600.v7.1|Misin03G300300.v7.1|Misin04G001800.v7.1|Misin04G117700.v7.1|Misin04G185900.v7.1|Misin04G205100.v7.1|Misin04G254200.v7.1|Misin04G274500.v7.1|Misin04G353800.v7.1|Misin04G366400.v7.1|Misin05G030000.v7.1|Misin05G031800.v7.1|Misin05G098200.v7.1|Misin05G173500.v7.1|Misin05G184800.v7.1|Misin05G220900.v7.1|Misin05G228300.v7.1|Misin05G239800.v7.1|Misin05G261600.v7.1|Misin05G265800.v7.1|Misin05G285000.v7.1|Misin05G338300.v7.1|Misin05G342000.v7.1|Misin06G109200.v7.1|Misin06G133000.v7.1|Misin06G149100.v7.1|Misin06G165200.v7.1|Misin06G192500.v7.1|Misin06G252900.v7.1|Misin06G256100.v7.1|Misin06G257300.v7.1|Misin06G263100.v7.1|Misin06G291300.v7.1|Misin06G319500.v7.1|Misin06G377000.v7.1|Misin07G052900.v7.1|Misin07G061500.v7.1|Misin07G068300.v7.1|Misin07G106000.v7.1|Misin07G140400.v7.1|Misin07G214400.v7.1|Misin07G215000.v7.1|Misin07G346800.v7.1|Misin08G001700.v7.1|Misin08G053500.v7.1|Misin08G054300.v7.1|Misin08G068100.v7.1|Misin08G222000.v7.1|Misin09G018700.v7.1|Misin10G043000.v7.1|Misin10G053600.v7.1|Misin10G168300.v7.1|Misin11G161400.v7.1|Misin11G171200.v7.1|Misin11G205000.v7.1|Misin11G256500.v7.1|Misin12G168000.v7.1|Misin12G192100.v7.1|Misin13G066600.v7.1|Misin14G007100.v7.1|Misin14G075800.v7.1|Misin15G055600.v7.1|Misin15G171200.v7.1|Misin16G133600.v7.1|Misin16G155900.v7.1|Misin16G162800.v7.1|Misin16G203300.v7.1|Misin16G229500.v7.1|Misin16G231000.v7.1|Misin16G239400.v7.1|Misin17G031500.v7.1|Misin17G073700.v7.1|Misin17G163800.v7.1|Misin17G165200.v7.1|Misin17G166600.v7.1|Misin17G245600.v7.1|Misin17G249200.v7.1|Misin17G262000.v7.1|Misin18G026800.v7.1|Misin18G109800.v7.1|Misin18G178000.v7.1|Misin18G214200.v7.1|Misin18G228700.v7.1|Misin18G236800.v7.1|Misin18G276400.v7.1|Misin19G002300.v7.1|Misin19G069400.v7.1|Misin19G088300.v7.1|Misin19G196400.v7.1|MisinT018600.v7.1|MisinT061900.v7.1|MisinT106500.v7.1|MisinT178900.v7.1|MisinT290600.v7.1|MisinT322000.v7.1|MisinT471700.v7.1
GO:0007568,aging,45,3,0.44,3,0.00989,0.0099,0.00989,Misin04G205100.v7.1|Misin06G192500.v7.1|Misin16G079400.v7.1
GO:0050896,response to stimulus,4944,61,48.69,5,0.03207,0.0332,1.00000,Misin01G063200.v7.1|Misin01G206300.v7.1|Misin01G372100.v7.1|Misin01G390800.v7.1|Misin02G038500.v7.1|Misin02G190600.v7.1|Misin02G347100.v7.1|Misin02G380000.v7.1|Misin02G499200.v7.1|Misin03G237600.v7.1|Misin03G291000.v7.1|Misin04G366400.v7.1|Misin04G408300.v7.1|Misin05G015300.v7.1|Misin05G173500.v7.1|Misin05G265800.v7.1|Misin05G303700.v7.1|Misin05G337800.v7.1|Misin06G109200.v7.1|Misin06G133000.v7.1|Misin06G165200.v7.1|Misin06G192500.v7.1|Misin06G215700.v7.1|Misin06G257300.v7.1|Misin06G263100.v7.1|Misin06G335400.v7.1|Misin06G338800.v7.1|Misin07G135400.v7.1|Misin07G216100.v7.1|Misin07G271900.v7.1|Misin07G346800.v7.1|Misin07G438800.v7.1|Misin07G485600.v7.1|Misin08G160600.v7.1|Misin08G198300.v7.1|Misin08G235000.v7.1|Misin08G296300.v7.1|Misin08G317900.v7.1|Misin10G076700.v7.1|Misin11G073600.v7.1|Misin11G270000.v7.1|Misin12G147900.v7.1|Misin13G145500.v7.1|Misin13G196300.v7.1|Misin13G199000.v7.1|Misin14G086000.v7.1|Misin14G126900.v7.1|Misin16G079400.v7.1|Misin16G185400.v7.1|Misin17G034300.v7.1|Misin17G137800.v7.1|Misin17G210600.v7.1|Misin17G212000.v7.1|Misin18G063100.v7.1|Misin18G152900.v7.1|Misin18G214200.v7.1|MisinT145000.v7.1|MisinT167900.v7.1|MisinT176700.v7.1|MisinT292700.v7.1|MisinT322000.v7.1
GO:0019748,secondary metabolic process,824,14,8.12,6,0.03470,0.0347,0.03470,Misin01G390800.v7.1|Misin01G403300.v7.1|Misin02G411700.v7.1|Misin04G001800.v7.1|Misin05G265800.v7.1|Misin05G342000.v7.1|Misin06G263100.v7.1|Misin06G319500.v7.1|Misin07G068300.v7.1|Misin08G068100.v7.1|Misin16G162800.v7.1|Misin17G165200.v7.1|MisinT290600.v7.1|MisinT471700.v7.1
GO:0009056,catabolic process,3824,48,37.66,8,0.04681,0.0449,0.03734,Misin01G063200.v7.1|Misin01G276500.v7.1|Misin01G403300.v7.1|Misin01G486600.v7.1|Misin02G098400.v7.1|Misin02G140900.v7.1|Misin02G205400.v7.1|Misin02G347100.v7.1|Misin02G411700.v7.1|Misin02G483200.v7.1|Misin02G486600.v7.1|Misin03G091900.v7.1|Misin03G092000.v7.1|Misin03G201800.v7.1|Misin03G236400.v7.1|Misin03G237800.v7.1|Misin04G257800.v7.1|Misin04G264500.v7.1|Misin04G312400.v7.1|Misin04G352100.v7.1|Misin04G408300.v7.1|Misin05G014500.v7.1|Misin05G258100.v7.1|Misin05G342000.v7.1|Misin06G068800.v7.1|Misin06G192500.v7.1|Misin06G319500.v7.1|Misin07G052900.v7.1|Misin07G346800.v7.1|Misin07G485600.v7.1|Misin08G053500.v7.1|Misin08G265000.v7.1|Misin08G312700.v7.1|Misin09G146500.v7.1|Misin10G053600.v7.1|Misin11G161400.v7.1|Misin11G270000.v7.1|Misin12G163600.v7.1|Misin12G168000.v7.1|Misin14G007100.v7.1|Misin15G034600.v7.1|Misin15G171200.v7.1|Misin18G109800.v7.1|Misin18G152900.v7.1|Misin18G214100.v7.1|MisinT167900.v7.1|MisinT330200.v7.1|MisinT552400.v7.1
GO:0006629,lipid metabolic process,2140,29,21.08,9,0.05034,0.0503,0.05034,Misin01G135300.v7.1|Misin01G455400.v7.1|Misin02G098400.v7.1|Misin02G447000.v7.1|Misin02G486600.v7.1|Misin04G117700.v7.1|Misin04G352100.v7.1|Misin04G408300.v7.1|Misin05G239800.v7.1|Misin05G265800.v7.1|Misin05G285000.v7.1|Misin06G109200.v7.1|Misin06G149100.v7.1|Misin06G161600.v7.1|Misin06G263100.v7.1|Misin06G291300.v7.1|Misin07G061500.v7.1|Misin09G018700.v7.1|Misin09G146500.v7.1|Misin10G053600.v7.1|Misin11G161400.v7.1|Misin11G256500.v7.1|Misin12G168000.v7.1|Misin15G171200.v7.1|Misin18G178000.v7.1|Misin18G214200.v7.1|Misin18G236800.v7.1|Misin19G196400.v7.1|MisinT167900.v7.1
GO:0044281,small molecule metabolic process,6695,80,65.94,4,0.05509,0.0291,0.04566,Misin01G037000.v7.1|Misin01G049400.v7.1|Misin01G108900.v7.1|Misin01G126400.v7.1|Misin01G135300.v7.1|Misin01G206300.v7.1|Misin01G372100.v7.1|Misin01G390800.v7.1|Misin01G455400.v7.1|Misin02G129500.v7.1|Misin02G190600.v7.1|Misin02G447000.v7.1|Misin02G486600.v7.1|Misin02G499200.v7.1|Misin03G091900.v7.1|Misin03G092000.v7.1|Misin03G095900.v7.1|Misin03G291000.v7.1|Misin03G300300.v7.1|Misin03G366200.v7.1|Misin04G185900.v7.1|Misin04G352100.v7.1|Misin04G366400.v7.1|Misin05G031800.v7.1|Misin05G173500.v7.1|Misin05G258100.v7.1|Misin05G265800.v7.1|Misin05G338300.v7.1|Misin06G093100.v7.1|Misin06G109200.v7.1|Misin06G133000.v7.1|Misin06G149100.v7.1|Misin06G165200.v7.1|Misin06G203600.v7.1|Misin06G252900.v7.1|Misin06G253000.v7.1|Misin06G256100.v7.1|Misin06G263100.v7.1|Misin06G323700.v7.1|Misin06G338800.v7.1|Misin07G052900.v7.1|Misin07G061500.v7.1|Misin07G335300.v7.1|Misin08G053500.v7.1|Misin08G160600.v7.1|Misin08G296300.v7.1|Misin08G317900.v7.1|Misin10G053600.v7.1|Misin10G168300.v7.1|Misin11G161400.v7.1|Misin12G147900.v7.1|Misin12G163600.v7.1|Misin12G168000.v7.1|Misin13G066600.v7.1|Misin13G199000.v7.1|Misin14G007100.v7.1|Misin15G055600.v7.1|Misin15G171200.v7.1|Misin16G125400.v7.1|Misin16G133600.v7.1|Misin16G155900.v7.1|Misin16G203300.v7.1|Misin16G231000.v7.1|Misin17G034300.v7.1|Misin17G166600.v7.1|Misin17G210600.v7.1|Misin17G212000.v7.1|Misin17G249200.v7.1|Misin18G109800.v7.1|Misin18G178000.v7.1|Misin18G214200.v7.1|Misin19G069400.v7.1|Misin19G088300.v7.1|Misin19G196400.v7.1|MisinT106500.v7.1|MisinT145000.v7.1|MisinT167900.v7.1|MisinT322000.v7.1|MisinT494700.v7.1|MisinT494800.v7.1
GO:0021700,developmental maturation,132,3,1.3,10,0.14171,0.1417,0.14171,Misin04G205100.v7.1|Misin14G086000.v7.1|MisinT167900.v7.1
GO:0009790,embryo development,357,6,3.52,11,0.14226,0.1423,0.14226,Misin01G405400.v7.1|Misin02G402100.v7.1|Misin04G352100.v7.1|Misin07G478100.v7.1|Misin14G086000.v7.1|Misin16G103700.v7.1
