GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0006520,cellular amino acid metabolic process,3516,119,53.51,1,0.00000000000000001,0.00000000000000001,0.00000000000000001,Misin01G146700.v7.1|Misin01G176200.v7.1|Misin01G202900.v7.1|Misin01G265800.v7.1|Misin01G292300.v7.1|Misin01G344100.v7.1|Misin01G499100.v7.1|Misin02G076500.v7.1|Misin02G208300.v7.1|Misin02G267600.v7.1|Misin02G277500.v7.1|Misin02G298400.v7.1|Misin02G336200.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G002600.v7.1|Misin03G002900.v7.1|Misin03G021500.v7.1|Misin03G022200.v7.1|Misin03G022700.v7.1|Misin03G078600.v7.1|Misin03G173400.v7.1|Misin03G284800.v7.1|Misin04G033400.v7.1|Misin04G033500.v7.1|Misin04G034000.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G222700.v7.1|Misin04G393700.v7.1|Misin05G006200.v7.1|Misin05G027400.v7.1|Misin05G080800.v7.1|Misin05G082000.v7.1|Misin05G102400.v7.1|Misin05G209300.v7.1|Misin05G292900.v7.1|Misin06G078000.v7.1|Misin06G221000.v7.1|Misin06G226800.v7.1|Misin06G344800.v7.1|Misin06G359200.v7.1|Misin07G031800.v7.1|Misin07G094600.v7.1|Misin07G136000.v7.1|Misin07G225300.v7.1|Misin07G225400.v7.1|Misin07G225600.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G415200.v7.1|Misin07G495100.v7.1|Misin08G026800.v7.1|Misin08G050700.v7.1|Misin08G064900.v7.1|Misin08G067700.v7.1|Misin08G176300.v7.1|Misin08G196000.v7.1|Misin08G210300.v7.1|Misin08G268000.v7.1|Misin09G032200.v7.1|Misin09G095500.v7.1|Misin09G098100.v7.1|Misin09G100100.v7.1|Misin09G100400.v7.1|Misin09G111100.v7.1|Misin09G184300.v7.1|Misin09G188000.v7.1|Misin09G194600.v7.1|Misin10G028200.v7.1|Misin10G078700.v7.1|Misin10G104600.v7.1|Misin10G154000.v7.1|Misin10G189200.v7.1|Misin11G184100.v7.1|Misin11G211600.v7.1|Misin11G222800.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin14G041100.v7.1|Misin14G074500.v7.1|Misin14G121800.v7.1|Misin14G138900.v7.1|Misin15G091200.v7.1|Misin16G222700.v7.1|Misin17G003000.v7.1|Misin17G017200.v7.1|Misin17G055400.v7.1|Misin17G167900.v7.1|Misin18G028200.v7.1|Misin18G051300.v7.1|Misin18G171800.v7.1|Misin18G207400.v7.1|Misin19G040600.v7.1|Misin19G051900.v7.1|Misin19G138600.v7.1|Misin19G165000.v7.1|Misin19G200700.v7.1|Misin19G204400.v7.1|Misin19G210900.v7.1|Misin19G249000.v7.1|MisinT151400.v7.1|MisinT157700.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT364600.v7.1|MisinT402800.v7.1|MisinT453600.v7.1|MisinT477200.v7.1|MisinT513500.v7.1|MisinT543700.v7.1|MisinT560400.v7.1
GO:0006464,cellular protein modification process,5525,138,84.08,2,0.00000000035977291,0.00000000035977291,0.00000000035977291,Misin01G048400.v7.1|Misin01G146700.v7.1|Misin01G202900.v7.1|Misin01G225700.v7.1|Misin01G265800.v7.1|Misin01G292300.v7.1|Misin01G344100.v7.1|Misin01G349100.v7.1|Misin01G462900.v7.1|Misin01G499100.v7.1|Misin02G208300.v7.1|Misin02G336200.v7.1|Misin02G352500.v7.1|Misin02G374000.v7.1|Misin02G377100.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G021500.v7.1|Misin03G022200.v7.1|Misin03G022700.v7.1|Misin03G078600.v7.1|Misin03G284800.v7.1|Misin04G033400.v7.1|Misin04G033500.v7.1|Misin04G034000.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G277300.v7.1|Misin04G393700.v7.1|Misin04G406900.v7.1|Misin05G003600.v7.1|Misin05G006200.v7.1|Misin05G027400.v7.1|Misin05G080800.v7.1|Misin05G082000.v7.1|Misin05G102400.v7.1|Misin05G209300.v7.1|Misin05G230400.v7.1|Misin05G292900.v7.1|Misin05G331200.v7.1|Misin06G011700.v7.1|Misin06G078000.v7.1|Misin06G171500.v7.1|Misin06G173100.v7.1|Misin06G190900.v7.1|Misin06G203200.v7.1|Misin06G221000.v7.1|Misin06G226800.v7.1|Misin06G285700.v7.1|Misin06G344800.v7.1|Misin06G355200.v7.1|Misin06G359200.v7.1|Misin07G031800.v7.1|Misin07G094600.v7.1|Misin07G096200.v7.1|Misin07G109200.v7.1|Misin07G136000.v7.1|Misin07G225400.v7.1|Misin07G225600.v7.1|Misin07G226500.v7.1|Misin07G362500.v7.1|Misin07G377800.v7.1|Misin07G415200.v7.1|Misin07G545400.v7.1|Misin08G050700.v7.1|Misin08G075400.v7.1|Misin08G108800.v7.1|Misin08G168700.v7.1|Misin08G176300.v7.1|Misin08G196000.v7.1|Misin08G210300.v7.1|Misin09G032200.v7.1|Misin09G095500.v7.1|Misin09G098100.v7.1|Misin09G100100.v7.1|Misin09G100400.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin09G184300.v7.1|Misin09G188000.v7.1|Misin10G028200.v7.1|Misin10G078700.v7.1|Misin10G104600.v7.1|Misin10G154000.v7.1|Misin10G189200.v7.1|Misin11G119700.v7.1|Misin11G155800.v7.1|Misin11G184100.v7.1|Misin11G211600.v7.1|Misin11G217000.v7.1|Misin11G222800.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin12G161400.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin12G231100.v7.1|Misin12G280400.v7.1|Misin13G187400.v7.1|Misin14G007400.v7.1|Misin14G007500.v7.1|Misin14G074500.v7.1|Misin14G121800.v7.1|Misin14G138900.v7.1|Misin15G036300.v7.1|Misin15G091200.v7.1|Misin16G168900.v7.1|Misin16G222700.v7.1|Misin17G003000.v7.1|Misin17G017200.v7.1|Misin17G055400.v7.1|Misin17G167900.v7.1|Misin18G028200.v7.1|Misin18G051300.v7.1|Misin18G105500.v7.1|Misin18G171800.v7.1|Misin18G207400.v7.1|Misin18G215900.v7.1|Misin19G138600.v7.1|Misin19G165000.v7.1|Misin19G200700.v7.1|Misin19G204400.v7.1|Misin19G210900.v7.1|Misin19G249000.v7.1|MisinT151400.v7.1|MisinT237700.v7.1|MisinT318800.v7.1|MisinT364600.v7.1|MisinT402800.v7.1|MisinT453600.v7.1|MisinT477200.v7.1|MisinT513500.v7.1|MisinT543700.v7.1|MisinT585300.v7.1
GO:0007165,signal transduction,2063,57,31.39,3,0.00000922780925313,0.00000922780925313,0.00000922780925313,Misin01G048800.v7.1|Misin01G146700.v7.1|Misin01G202900.v7.1|Misin01G265800.v7.1|Misin01G349100.v7.1|Misin01G392400.v7.1|Misin01G499100.v7.1|Misin02G118600.v7.1|Misin02G352500.v7.1|Misin02G377100.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G022700.v7.1|Misin03G078600.v7.1|Misin03G172500.v7.1|Misin04G034000.v7.1|Misin04G304300.v7.1|Misin04G372600.v7.1|Misin04G393700.v7.1|Misin05G027400.v7.1|Misin05G080800.v7.1|Misin05G292900.v7.1|Misin05G302700.v7.1|Misin06G285700.v7.1|Misin07G031800.v7.1|Misin07G225300.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G415200.v7.1|Misin08G108800.v7.1|Misin08G196000.v7.1|Misin09G017600.v7.1|Misin09G032200.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin10G028200.v7.1|Misin10G104600.v7.1|Misin11G184100.v7.1|Misin11G246000.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin12G278600.v7.1|Misin14G138900.v7.1|Misin16G103100.v7.1|Misin16G207700.v7.1|Misin16G222700.v7.1|Misin17G017200.v7.1|Misin17G229400.v7.1|Misin18G028200.v7.1|Misin19G051900.v7.1|Misin19G127500.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT364600.v7.1|MisinT420400.v7.1|MisinT560400.v7.1
GO:0051179,localization,3176,46,48.33,18,0.013,0.663,1.000,Misin01G004300.v7.1|Misin01G039500.v7.1|Misin01G088400.v7.1|Misin01G122900.v7.1|Misin01G257500.v7.1|Misin01G442700.v7.1|Misin01G443300.v7.1|Misin01G488900.v7.1|Misin02G068400.v7.1|Misin02G086300.v7.1|Misin02G482300.v7.1|Misin03G002600.v7.1|Misin03G002900.v7.1|Misin03G298300.v7.1|Misin04G086200.v7.1|Misin04G305400.v7.1|Misin05G242700.v7.1|Misin05G275700.v7.1|Misin05G313500.v7.1|Misin05G367600.v7.1|Misin05G367700.v7.1|Misin05G368300.v7.1|Misin06G339600.v7.1|Misin06G339700.v7.1|Misin07G170900.v7.1|Misin07G217400.v7.1|Misin07G407300.v7.1|Misin07G429000.v7.1|Misin08G181500.v7.1|Misin08G222500.v7.1|Misin09G025200.v7.1|Misin09G189700.v7.1|Misin10G021600.v7.1|Misin11G107800.v7.1|Misin12G112000.v7.1|Misin12G112700.v7.1|Misin12G154000.v7.1|Misin12G154100.v7.1|Misin12G156400.v7.1|Misin13G027300.v7.1|Misin14G095700.v7.1|Misin17G017200.v7.1|Misin19G074800.v7.1|Misin19G166800.v7.1|MisinT157700.v7.1|MisinT420400.v7.1
GO:0019748,secondary metabolic process,824,19,12.54,4,0.049,0.049,0.049,Misin01G226100.v7.1|Misin01G299800.v7.1|Misin01G300300.v7.1|Misin02G061000.v7.1|Misin02G199800.v7.1|Misin02G292400.v7.1|Misin03G238800.v7.1|Misin05G336900.v7.1|Misin06G171500.v7.1|Misin06G334400.v7.1|Misin06G345200.v7.1|Misin07G003000.v7.1|Misin07G269400.v7.1|Misin07G295100.v7.1|Misin13G057900.v7.1|Misin14G110300.v7.1|MisinT014600.v7.1|MisinT219600.v7.1|MisinT388400.v7.1
GO:0036211,protein modification process,5525,138,84.08,119,0.205,1.000,1.000,Misin01G048400.v7.1|Misin01G146700.v7.1|Misin01G202900.v7.1|Misin01G225700.v7.1|Misin01G265800.v7.1|Misin01G292300.v7.1|Misin01G344100.v7.1|Misin01G349100.v7.1|Misin01G462900.v7.1|Misin01G499100.v7.1|Misin02G208300.v7.1|Misin02G336200.v7.1|Misin02G352500.v7.1|Misin02G374000.v7.1|Misin02G377100.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G021500.v7.1|Misin03G022200.v7.1|Misin03G022700.v7.1|Misin03G078600.v7.1|Misin03G284800.v7.1|Misin04G033400.v7.1|Misin04G033500.v7.1|Misin04G034000.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G072300.v7.1|Misin04G277300.v7.1|Misin04G393700.v7.1|Misin04G406900.v7.1|Misin05G003600.v7.1|Misin05G006200.v7.1|Misin05G027400.v7.1|Misin05G080800.v7.1|Misin05G082000.v7.1|Misin05G102400.v7.1|Misin05G209300.v7.1|Misin05G230400.v7.1|Misin05G292900.v7.1|Misin05G331200.v7.1|Misin06G011700.v7.1|Misin06G078000.v7.1|Misin06G171500.v7.1|Misin06G173100.v7.1|Misin06G190900.v7.1|Misin06G203200.v7.1|Misin06G221000.v7.1|Misin06G226800.v7.1|Misin06G285700.v7.1|Misin06G344800.v7.1|Misin06G355200.v7.1|Misin06G359200.v7.1|Misin07G031800.v7.1|Misin07G094600.v7.1|Misin07G096200.v7.1|Misin07G109200.v7.1|Misin07G136000.v7.1|Misin07G225400.v7.1|Misin07G225600.v7.1|Misin07G226500.v7.1|Misin07G362500.v7.1|Misin07G377800.v7.1|Misin07G415200.v7.1|Misin07G545400.v7.1|Misin08G050700.v7.1|Misin08G075400.v7.1|Misin08G108800.v7.1|Misin08G168700.v7.1|Misin08G176300.v7.1|Misin08G196000.v7.1|Misin08G210300.v7.1|Misin09G032200.v7.1|Misin09G095500.v7.1|Misin09G098100.v7.1|Misin09G100100.v7.1|Misin09G100400.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin09G184300.v7.1|Misin09G188000.v7.1|Misin10G028200.v7.1|Misin10G078700.v7.1|Misin10G104600.v7.1|Misin10G154000.v7.1|Misin10G189200.v7.1|Misin11G119700.v7.1|Misin11G155800.v7.1|Misin11G184100.v7.1|Misin11G211600.v7.1|Misin11G217000.v7.1|Misin11G222800.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin12G161400.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin12G231100.v7.1|Misin12G280400.v7.1|Misin13G187400.v7.1|Misin14G007400.v7.1|Misin14G007500.v7.1|Misin14G074500.v7.1|Misin14G121800.v7.1|Misin14G138900.v7.1|Misin15G036300.v7.1|Misin15G091200.v7.1|Misin16G168900.v7.1|Misin16G222700.v7.1|Misin17G003000.v7.1|Misin17G017200.v7.1|Misin17G055400.v7.1|Misin17G167900.v7.1|Misin18G028200.v7.1|Misin18G051300.v7.1|Misin18G105500.v7.1|Misin18G171800.v7.1|Misin18G207400.v7.1|Misin18G215900.v7.1|Misin19G138600.v7.1|Misin19G165000.v7.1|Misin19G200700.v7.1|Misin19G204400.v7.1|Misin19G210900.v7.1|Misin19G249000.v7.1|MisinT151400.v7.1|MisinT237700.v7.1|MisinT318800.v7.1|MisinT364600.v7.1|MisinT402800.v7.1|MisinT453600.v7.1|MisinT477200.v7.1|MisinT513500.v7.1|MisinT543700.v7.1|MisinT585300.v7.1
GO:0044403,symbiont process,58,2,0.88,6,0.221,0.221,0.221,Misin11G222100.v7.1|Misin12G201100.v7.1
GO:0006810,transport,3176,46,48.33,19,0.310,0.663,0.014,Misin01G004300.v7.1|Misin01G039500.v7.1|Misin01G088400.v7.1|Misin01G122900.v7.1|Misin01G257500.v7.1|Misin01G442700.v7.1|Misin01G443300.v7.1|Misin01G488900.v7.1|Misin02G068400.v7.1|Misin02G086300.v7.1|Misin02G482300.v7.1|Misin03G002600.v7.1|Misin03G002900.v7.1|Misin03G298300.v7.1|Misin04G086200.v7.1|Misin04G305400.v7.1|Misin05G242700.v7.1|Misin05G275700.v7.1|Misin05G313500.v7.1|Misin05G367600.v7.1|Misin05G367700.v7.1|Misin05G368300.v7.1|Misin06G339600.v7.1|Misin06G339700.v7.1|Misin07G170900.v7.1|Misin07G217400.v7.1|Misin07G407300.v7.1|Misin07G429000.v7.1|Misin08G181500.v7.1|Misin08G222500.v7.1|Misin09G025200.v7.1|Misin09G189700.v7.1|Misin10G021600.v7.1|Misin11G107800.v7.1|Misin12G112000.v7.1|Misin12G112700.v7.1|Misin12G154000.v7.1|Misin12G154100.v7.1|Misin12G156400.v7.1|Misin13G027300.v7.1|Misin14G095700.v7.1|Misin17G017200.v7.1|Misin19G074800.v7.1|Misin19G166800.v7.1|MisinT157700.v7.1|MisinT420400.v7.1
GO:0051716,cellular response to stimulus,2063,57,31.39,120,0.322,1.000,1.000,Misin01G048800.v7.1|Misin01G146700.v7.1|Misin01G202900.v7.1|Misin01G265800.v7.1|Misin01G349100.v7.1|Misin01G392400.v7.1|Misin01G499100.v7.1|Misin02G118600.v7.1|Misin02G352500.v7.1|Misin02G377100.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G022700.v7.1|Misin03G078600.v7.1|Misin03G172500.v7.1|Misin04G034000.v7.1|Misin04G304300.v7.1|Misin04G372600.v7.1|Misin04G393700.v7.1|Misin05G027400.v7.1|Misin05G080800.v7.1|Misin05G292900.v7.1|Misin05G302700.v7.1|Misin06G285700.v7.1|Misin07G031800.v7.1|Misin07G225300.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G415200.v7.1|Misin08G108800.v7.1|Misin08G196000.v7.1|Misin09G017600.v7.1|Misin09G032200.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin10G028200.v7.1|Misin10G104600.v7.1|Misin11G184100.v7.1|Misin11G246000.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin12G278600.v7.1|Misin14G138900.v7.1|Misin16G103100.v7.1|Misin16G207700.v7.1|Misin16G222700.v7.1|Misin17G017200.v7.1|Misin17G229400.v7.1|Misin18G028200.v7.1|Misin19G051900.v7.1|Misin19G127500.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT364600.v7.1|MisinT420400.v7.1|MisinT560400.v7.1
GO:0050794,regulation of cellular process,2063,57,31.39,121,0.322,1.000,1.000,Misin01G048800.v7.1|Misin01G146700.v7.1|Misin01G202900.v7.1|Misin01G265800.v7.1|Misin01G349100.v7.1|Misin01G392400.v7.1|Misin01G499100.v7.1|Misin02G118600.v7.1|Misin02G352500.v7.1|Misin02G377100.v7.1|Misin02G437700.v7.1|Misin02G501300.v7.1|Misin03G022700.v7.1|Misin03G078600.v7.1|Misin03G172500.v7.1|Misin04G034000.v7.1|Misin04G304300.v7.1|Misin04G372600.v7.1|Misin04G393700.v7.1|Misin05G027400.v7.1|Misin05G080800.v7.1|Misin05G292900.v7.1|Misin05G302700.v7.1|Misin06G285700.v7.1|Misin07G031800.v7.1|Misin07G225300.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G415200.v7.1|Misin08G108800.v7.1|Misin08G196000.v7.1|Misin09G017600.v7.1|Misin09G032200.v7.1|Misin09G111100.v7.1|Misin09G143200.v7.1|Misin10G028200.v7.1|Misin10G104600.v7.1|Misin11G184100.v7.1|Misin11G246000.v7.1|Misin12G192600.v7.1|Misin12G221600.v7.1|Misin12G278600.v7.1|Misin14G138900.v7.1|Misin16G103100.v7.1|Misin16G207700.v7.1|Misin16G222700.v7.1|Misin17G017200.v7.1|Misin17G229400.v7.1|Misin18G028200.v7.1|Misin19G051900.v7.1|Misin19G127500.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT364600.v7.1|MisinT420400.v7.1|MisinT560400.v7.1
