GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0005198,structural molecule activity,1139,38,17.52,10,0.0000082,0.15284,0.15284,Misin01G047700.v7.1|Misin01G172600.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G406200.v7.1|Misin01G486700.v7.1|Misin02G002400.v7.1|Misin02G033900.v7.1|Misin02G119200.v7.1|Misin02G341800.v7.1|Misin02G351600.v7.1|Misin02G363800.v7.1|Misin03G187700.v7.1|Misin04G348700.v7.1|Misin05G016000.v7.1|Misin05G121200.v7.1|Misin05G132000.v7.1|Misin05G252000.v7.1|Misin05G304800.v7.1|Misin07G033100.v7.1|Misin07G103800.v7.1|Misin07G244300.v7.1|Misin07G449800.v7.1|Misin07G475200.v7.1|Misin11G110900.v7.1|Misin11G267500.v7.1|Misin12G001000.v7.1|Misin13G161500.v7.1|Misin16G229700.v7.1|Misin16G229800.v7.1|Misin17G182700.v7.1|Misin17G242400.v7.1|Misin17G242600.v7.1|Misin18G080600.v7.1|Misin18G234200.v7.1|Misin19G215500.v7.1|MisinT213400.v7.1|MisinT556900.v7.1
GO:0016491,oxidoreductase activity,3700,84,56.93,2,0.00018,0.00018,0.00018,Misin01G135300.v7.1|Misin01G176300.v7.1|Misin01G185400.v7.1|Misin01G340300.v7.1|Misin01G340900.v7.1|Misin01G367300.v7.1|Misin01G391000.v7.1|Misin01G507700.v7.1|Misin02G171100.v7.1|Misin02G318600.v7.1|Misin03G061600.v7.1|Misin03G194900.v7.1|Misin04G001800.v7.1|Misin04G012800.v7.1|Misin04G051100.v7.1|Misin04G231700.v7.1|Misin04G287200.v7.1|Misin04G324900.v7.1|Misin04G366400.v7.1|Misin05G014500.v7.1|Misin05G231900.v7.1|Misin05G300400.v7.1|Misin05G338300.v7.1|Misin06G113500.v7.1|Misin06G149100.v7.1|Misin06G165200.v7.1|Misin06G203600.v7.1|Misin06G232800.v7.1|Misin06G234900.v7.1|Misin06G289700.v7.1|Misin06G319500.v7.1|Misin07G052900.v7.1|Misin07G056700.v7.1|Misin07G061500.v7.1|Misin07G066600.v7.1|Misin07G068300.v7.1|Misin07G235200.v7.1|Misin07G271900.v7.1|Misin07G322300.v7.1|Misin07G508600.v7.1|Misin08G062100.v7.1|Misin08G068100.v7.1|Misin08G068700.v7.1|Misin08G156300.v7.1|Misin08G217000.v7.1|Misin08G262800.v7.1|Misin09G018700.v7.1|Misin09G145100.v7.1|Misin09G192700.v7.1|Misin10G053600.v7.1|Misin11G025400.v7.1|Misin11G068200.v7.1|Misin11G082400.v7.1|Misin11G256700.v7.1|Misin11G270000.v7.1|Misin12G084000.v7.1|Misin12G109700.v7.1|Misin12G134500.v7.1|Misin12G183800.v7.1|Misin12G281500.v7.1|Misin13G145500.v7.1|Misin14G071700.v7.1|Misin15G032900.v7.1|Misin16G155900.v7.1|Misin16G228500.v7.1|Misin17G022500.v7.1|Misin17G166600.v7.1|Misin17G177900.v7.1|Misin17G251700.v7.1|Misin18G232500.v7.1|Misin19G083700.v7.1|Misin19G140800.v7.1|Misin19G190600.v7.1|Misin19G244300.v7.1|MisinT054800.v7.1|MisinT069100.v7.1|MisinT102700.v7.1|MisinT215000.v7.1|MisinT252300.v7.1|MisinT290600.v7.1|MisinT322000.v7.1|MisinT349600.v7.1|MisinT351000.v7.1|MisinT471700.v7.1
GO:0016791,phosphatase activity,608,18,9.35,3,0.00675,0.00675,0.00675,Misin02G324200.v7.1|Misin02G413800.v7.1|Misin04G162500.v7.1|Misin05G176900.v7.1|Misin05G340800.v7.1|Misin06G174200.v7.1|Misin06G321000.v7.1|Misin07G254800.v7.1|Misin07G335300.v7.1|Misin11G016000.v7.1|Misin13G167300.v7.1|Misin14G045600.v7.1|Misin16G042800.v7.1|Misin16G064200.v7.1|Misin16G215000.v7.1|Misin17G164800.v7.1|Misin17G216700.v7.1|MisinT234300.v7.1
GO:0016798,"hydrolase activity, acting on glycosyl b...",984,25,15.14,4,0.01065,0.01065,0.01065,Misin01G099700.v7.1|Misin01G486600.v7.1|Misin01G503500.v7.1|Misin02G086900.v7.1|Misin02G205400.v7.1|Misin02G483200.v7.1|Misin03G201800.v7.1|Misin04G113800.v7.1|Misin04G244200.v7.1|Misin04G395100.v7.1|Misin05G197100.v7.1|Misin06G299900.v7.1|Misin07G215000.v7.1|Misin12G010600.v7.1|Misin12G163600.v7.1|Misin13G061400.v7.1|Misin14G066100.v7.1|Misin15G034600.v7.1|Misin16G148100.v7.1|Misin18G276400.v7.1|Misin19G146800.v7.1|Misin19G256600.v7.1|MisinT282800.v7.1|MisinT433500.v7.1|MisinT552400.v7.1
GO:0003700,DNA-binding transcription factor activit...,1091,27,16.79,5,0.01122,0.01122,0.01122,Misin01G025400.v7.1|Misin01G050800.v7.1|Misin02G034400.v7.1|Misin03G330700.v7.1|Misin04G313500.v7.1|Misin05G228300.v7.1|Misin05G245900.v7.1|Misin05G318500.v7.1|Misin06G200900.v7.1|Misin06G253900.v7.1|Misin06G257300.v7.1|Misin06G325600.v7.1|Misin07G046400.v7.1|Misin07G068300.v7.1|Misin08G046900.v7.1|Misin08G100000.v7.1|Misin08G156300.v7.1|Misin08G222000.v7.1|Misin09G114000.v7.1|Misin10G000200.v7.1|Misin12G210400.v7.1|Misin13G081900.v7.1|Misin18G059600.v7.1|Misin18G060600.v7.1|Misin19G157300.v7.1|MisinT178900.v7.1|MisinT358700.v7.1
GO:0016853,isomerase activity,600,16,9.23,7,0.02475,0.02475,0.02475,Misin01G406200.v7.1|Misin02G447000.v7.1|Misin03G131100.v7.1|Misin03G344300.v7.1|Misin04G135100.v7.1|Misin04G287200.v7.1|Misin05G231900.v7.1|Misin05G300400.v7.1|Misin06G116700.v7.1|Misin06G289700.v7.1|Misin07G146400.v7.1|Misin09G064200.v7.1|Misin11G045800.v7.1|Misin12G111300.v7.1|Misin16G183600.v7.1|Misin17G184000.v7.1
GO:0019843,rRNA binding,225,6,3.46,9,0.13513,0.13513,0.13513,Misin01G353300.v7.1|Misin01G373700.v7.1|Misin02G002400.v7.1|Misin02G351600.v7.1|Misin07G449800.v7.1|Misin11G267500.v7.1
GO:0003924,GTPase activity,269,6,4.14,11,0.23525,0.23525,0.23525,Misin02G119200.v7.1|Misin04G388500.v7.1|Misin05G132000.v7.1|Misin05G304800.v7.1|Misin07G319900.v7.1|Misin19G215500.v7.1
GO:0016757,"transferase activity, transferring glyco...",1441,25,22.17,13,0.29685,0.29685,0.29685,Misin01G358800.v7.1|Misin02G063300.v7.1|Misin03G086800.v7.1|Misin03G095900.v7.1|Misin03G300300.v7.1|Misin04G077500.v7.1|Misin04G317100.v7.1|Misin05G197100.v7.1|Misin06G219500.v7.1|Misin06G256100.v7.1|Misin06G359800.v7.1|Misin06G363200.v7.1|Misin07G215000.v7.1|Misin07G381700.v7.1|Misin09G069900.v7.1|Misin13G061400.v7.1|Misin13G161700.v7.1|Misin15G153000.v7.1|Misin16G229500.v7.1|Misin18G276400.v7.1|Misin19G002300.v7.1|Misin19G069400.v7.1|Misin19G088300.v7.1|MisinT158700.v7.1|MisinT266700.v7.1
GO:0003723,RNA binding,1894,33,29.14,12,0.38916,0.25403,0.23760,Misin01G020900.v7.1|Misin01G047700.v7.1|Misin01G172600.v7.1|Misin01G179000.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G406200.v7.1|Misin02G001600.v7.1|Misin02G002400.v7.1|Misin02G115400.v7.1|Misin02G351600.v7.1|Misin02G363800.v7.1|Misin03G344300.v7.1|Misin04G000500.v7.1|Misin04G263800.v7.1|Misin05G032600.v7.1|Misin05G041500.v7.1|Misin05G145800.v7.1|Misin06G031200.v7.1|Misin07G068300.v7.1|Misin07G449800.v7.1|Misin08G068100.v7.1|Misin08G324500.v7.1|Misin09G165700.v7.1|Misin11G099600.v7.1|Misin11G267500.v7.1|Misin14G043800.v7.1|Misin16G237200.v7.1|Misin17G113100.v7.1|Misin17G122200.v7.1|Misin17G182700.v7.1|Misin18G036500.v7.1|Misin18G214100.v7.1
