GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0006520,cellular amino acid metabolic process,3516,73,40.25,1,0.00000026,0.00000026,0.00000026,Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G416600.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G076500.v7.1|Misin02G145500.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin03G022700.v7.1|Misin03G235900.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G310600.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G359200.v7.1|Misin06G371600.v7.1|Misin07G159000.v7.1|Misin07G200200.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G233100.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G440500.v7.1|Misin07G510900.v7.1|Misin08G048400.v7.1|Misin08G098400.v7.1|Misin09G083700.v7.1|Misin09G097700.v7.1|Misin09G184300.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin11G212200.v7.1|Misin12G025100.v7.1|Misin12G067900.v7.1|Misin12G150500.v7.1|Misin12G239200.v7.1|Misin13G100200.v7.1|Misin14G074500.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin15G121400.v7.1|Misin15G171100.v7.1|Misin16G207000.v7.1|Misin16G255400.v7.1|Misin17G065700.v7.1|Misin17G159400.v7.1|Misin17G207200.v7.1|Misin18G026500.v7.1|Misin18G033400.v7.1|Misin18G180000.v7.1|Misin19G027000.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G168400.v7.1|Misin19G239600.v7.1|MisinT018000.v7.1|MisinT050600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT547900.v7.1
GO:0006464,cellular protein modification process,5525,89,63.26,2,0.00031,0.00031,0.00031,Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G386500.v7.1|Misin01G443100.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G041900.v7.1|Misin02G145500.v7.1|Misin02G259800.v7.1|Misin02G377100.v7.1|Misin02G419100.v7.1|Misin02G447300.v7.1|Misin02G501300.v7.1|Misin03G001600.v7.1|Misin03G009500.v7.1|Misin03G011600.v7.1|Misin03G022700.v7.1|Misin03G101000.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin03G318000.v7.1|Misin04G034400.v7.1|Misin04G065100.v7.1|Misin04G072200.v7.1|Misin04G188200.v7.1|Misin04G237000.v7.1|Misin04G310600.v7.1|Misin04G405400.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin05G208400.v7.1|Misin05G289800.v7.1|Misin05G303100.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G252000.v7.1|Misin06G359200.v7.1|Misin07G226500.v7.1|Misin07G334900.v7.1|Misin07G351600.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G440500.v7.1|Misin08G048400.v7.1|Misin09G083700.v7.1|Misin09G097700.v7.1|Misin09G159600.v7.1|Misin09G184300.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin11G212200.v7.1|Misin11G259400.v7.1|Misin12G025100.v7.1|Misin12G161400.v7.1|Misin12G239200.v7.1|Misin13G100200.v7.1|Misin13G127600.v7.1|Misin13G172900.v7.1|Misin14G013800.v7.1|Misin14G074500.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin15G075300.v7.1|Misin16G174200.v7.1|Misin16G207000.v7.1|Misin16G249600.v7.1|Misin16G255400.v7.1|Misin17G159400.v7.1|Misin17G207200.v7.1|Misin18G180000.v7.1|Misin19G027000.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G084900.v7.1|Misin19G168400.v7.1|Misin19G212800.v7.1|MisinT050600.v7.1|MisinT055500.v7.1|MisinT174000.v7.1|MisinT218800.v7.1|MisinT237700.v7.1|MisinT272300.v7.1|MisinT306700.v7.1|MisinT547900.v7.1
GO:0015979,photosynthesis,416,11,4.76,3,0.00893,0.00893,0.00893,Misin02G076500.v7.1|Misin03G235900.v7.1|Misin04G002900.v7.1|Misin04G279500.v7.1|Misin07G299600.v7.1|Misin12G103300.v7.1|Misin12G105200.v7.1|Misin15G015000.v7.1|Misin16G186800.v7.1|Misin16G249600.v7.1|MisinT272300.v7.1
GO:0030198,extracellular matrix organization,25,2,0.29,5,0.03296,0.03296,0.03296,Misin04G355400.v7.1|Misin04G405800.v7.1
GO:0005975,carbohydrate metabolic process,2721,40,31.15,8,0.06053,0.06053,0.06053,Misin01G383700.v7.1|Misin01G412200.v7.1|Misin01G424300.v7.1|Misin01G494100.v7.1|Misin02G008100.v7.1|Misin02G298600.v7.1|Misin02G348100.v7.1|Misin02G502200.v7.1|Misin03G070800.v7.1|Misin03G191000.v7.1|Misin03G235900.v7.1|Misin04G000400.v7.1|Misin04G254500.v7.1|Misin04G275200.v7.1|Misin04G310300.v7.1|Misin05G056400.v7.1|Misin05G227800.v7.1|Misin05G272400.v7.1|Misin05G311100.v7.1|Misin05G328800.v7.1|Misin05G372400.v7.1|Misin06G200300.v7.1|Misin06G200400.v7.1|Misin06G380900.v7.1|Misin06G406000.v7.1|Misin11G111200.v7.1|Misin11G259400.v7.1|Misin12G100600.v7.1|Misin12G105200.v7.1|Misin13G102300.v7.1|Misin15G015000.v7.1|Misin16G186800.v7.1|Misin16G204600.v7.1|Misin17G065700.v7.1|Misin18G026500.v7.1|Misin19G066600.v7.1|Misin19G123300.v7.1|MisinT219500.v7.1|MisinT272300.v7.1|MisinT580300.v7.1
GO:0044281,small molecule metabolic process,6695,113,76.65,9,0.08796,0.08470,0.08470,Misin01G042500.v7.1|Misin01G114300.v7.1|Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G226100.v7.1|Misin01G383700.v7.1|Misin01G412200.v7.1|Misin01G416600.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G008100.v7.1|Misin02G076500.v7.1|Misin02G145500.v7.1|Misin02G298600.v7.1|Misin02G314800.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin02G502200.v7.1|Misin03G022700.v7.1|Misin03G070800.v7.1|Misin03G120800.v7.1|Misin03G191000.v7.1|Misin03G235900.v7.1|Misin03G237100.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G254500.v7.1|Misin04G275200.v7.1|Misin04G310600.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin05G272400.v7.1|Misin05G303100.v7.1|Misin05G311100.v7.1|Misin06G053100.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G359200.v7.1|Misin06G371600.v7.1|Misin07G159000.v7.1|Misin07G200200.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G230900.v7.1|Misin07G233100.v7.1|Misin07G391600.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G440500.v7.1|Misin07G510900.v7.1|Misin08G048400.v7.1|Misin08G098400.v7.1|Misin09G083700.v7.1|Misin09G097700.v7.1|Misin09G184300.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin11G111200.v7.1|Misin11G212200.v7.1|Misin11G254500.v7.1|Misin12G025100.v7.1|Misin12G067900.v7.1|Misin12G100600.v7.1|Misin12G105200.v7.1|Misin12G150500.v7.1|Misin12G239200.v7.1|Misin13G100200.v7.1|Misin13G102300.v7.1|Misin14G074500.v7.1|Misin14G102700.v7.1|Misin15G015000.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin15G099600.v7.1|Misin15G121400.v7.1|Misin15G171100.v7.1|Misin16G027000.v7.1|Misin16G078300.v7.1|Misin16G186800.v7.1|Misin16G204600.v7.1|Misin16G207000.v7.1|Misin16G255400.v7.1|Misin17G065700.v7.1|Misin17G159400.v7.1|Misin17G207200.v7.1|Misin18G026500.v7.1|Misin18G033400.v7.1|Misin18G180000.v7.1|Misin19G027000.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G066600.v7.1|Misin19G123300.v7.1|Misin19G130300.v7.1|Misin19G168400.v7.1|Misin19G239600.v7.1|MisinT018000.v7.1|MisinT050600.v7.1|MisinT219500.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT272300.v7.1|MisinT436300.v7.1|MisinT547900.v7.1|MisinT580300.v7.1
GO:0042592,homeostatic process,1038,17,11.88,10,0.08985,0.08985,0.08985,Misin03G067000.v7.1|Misin05G166800.v7.1|Misin05G272400.v7.1|Misin06G158600.v7.1|Misin07G105400.v7.1|Misin07G386000.v7.1|Misin07G543400.v7.1|Misin08G088300.v7.1|Misin08G181500.v7.1|Misin12G111700.v7.1|Misin12G112000.v7.1|Misin12G112200.v7.1|Misin12G112700.v7.1|Misin15G126800.v7.1|Misin17G044200.v7.1|Misin17G065700.v7.1|Misin19G209500.v7.1
GO:0019748,secondary metabolic process,824,14,9.43,12,0.09341,0.09341,0.09341,Misin01G226100.v7.1|Misin01G300300.v7.1|Misin02G286300.v7.1|Misin02G292400.v7.1|Misin03G120800.v7.1|Misin05G392300.v7.1|Misin06G334400.v7.1|Misin07G295100.v7.1|Misin07G453100.v7.1|Misin07G525600.v7.1|Misin12G150500.v7.1|Misin17G203400.v7.1|MisinT258000.v7.1|MisinT268100.v7.1
GO:0006091,generation of precursor metabolites and ...,1286,20,14.72,13,0.10349,0.10349,0.10349,Misin01G412200.v7.1|Misin02G076500.v7.1|Misin02G502200.v7.1|Misin03G235900.v7.1|Misin04G002900.v7.1|Misin04G275200.v7.1|Misin04G279500.v7.1|Misin05G272400.v7.1|Misin05G311100.v7.1|Misin06G030000.v7.1|Misin07G230900.v7.1|Misin07G299600.v7.1|Misin08G297000.v7.1|Misin12G103300.v7.1|Misin12G105200.v7.1|Misin16G186800.v7.1|Misin17G065700.v7.1|Misin18G026500.v7.1|MisinT272300.v7.1|MisinT436300.v7.1
GO:0006950,response to stress,3272,45,37.46,14,0.11105,0.11105,0.11105,Misin01G130100.v7.1|Misin02G076500.v7.1|Misin02G097400.v7.1|Misin02G184600.v7.1|Misin02G419100.v7.1|Misin03G069900.v7.1|Misin03G101000.v7.1|Misin03G235900.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G199400.v7.1|Misin04G225400.v7.1|Misin04G310600.v7.1|Misin05G205600.v7.1|Misin05G372400.v7.1|Misin06G292400.v7.1|Misin06G380900.v7.1|Misin07G062000.v7.1|Misin07G230900.v7.1|Misin07G334900.v7.1|Misin07G351600.v7.1|Misin09G083700.v7.1|Misin09G097700.v7.1|Misin09G159600.v7.1|Misin10G076900.v7.1|Misin10G125800.v7.1|Misin10G142800.v7.1|Misin11G130300.v7.1|Misin11G174100.v7.1|Misin12G239200.v7.1|Misin14G116200.v7.1|Misin15G130600.v7.1|Misin16G255400.v7.1|Misin17G068500.v7.1|Misin17G258000.v7.1|Misin18G061400.v7.1|Misin18G160500.v7.1|Misin19G027000.v7.1|Misin19G049500.v7.1|MisinT011200.v7.1|MisinT060900.v7.1|MisinT272300.v7.1|MisinT302500.v7.1|MisinT436300.v7.1|MisinT437700.v7.1
