GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016301,kinase activity,4164,95,51.38,1,0.0000000017,0.0000000017,0.0000000017,Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G383700.v7.1|Misin01G412200.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G145500.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin03G011600.v7.1|Misin03G022700.v7.1|Misin03G237100.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G293900.v7.1|Misin04G310400.v7.1|Misin04G310600.v7.1|Misin04G405400.v7.1|Misin05G042900.v7.1|Misin05G046900.v7.1|Misin05G205600.v7.1|Misin05G208400.v7.1|Misin05G272400.v7.1|Misin06G085800.v7.1|Misin06G088600.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G252000.v7.1|Misin06G359200.v7.1|Misin06G371600.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G226700.v7.1|Misin07G233100.v7.1|Misin07G402800.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G440500.v7.1|Misin08G048400.v7.1|Misin08G088000.v7.1|Misin08G200400.v7.1|Misin08G200600.v7.1|Misin08G203100.v7.1|Misin09G083700.v7.1|Misin09G086000.v7.1|Misin09G097700.v7.1|Misin09G159600.v7.1|Misin09G184300.v7.1|Misin10G042000.v7.1|Misin10G076600.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G162700.v7.1|Misin11G212200.v7.1|Misin11G254500.v7.1|Misin12G025100.v7.1|Misin12G161400.v7.1|Misin12G239200.v7.1|Misin13G013100.v7.1|Misin13G100200.v7.1|Misin13G127600.v7.1|Misin13G172900.v7.1|Misin14G074500.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin15G099600.v7.1|Misin16G186800.v7.1|Misin16G207000.v7.1|Misin16G249600.v7.1|Misin16G255400.v7.1|Misin17G195600.v7.1|Misin17G207200.v7.1|Misin18G033400.v7.1|Misin18G033500.v7.1|Misin18G164700.v7.1|Misin18G180000.v7.1|Misin19G027000.v7.1|Misin19G031000.v7.1|Misin19G058200.v7.1|Misin19G084900.v7.1|Misin19G168400.v7.1|Misin19G212800.v7.1|MisinT018000.v7.1|MisinT050600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT428400.v7.1|MisinT547900.v7.1
GO:0043167,ion binding,12724,185,156.99,2,0.0027,0.0027,0.0027,Misin01G014500.v7.1|Misin01G015900.v7.1|Misin01G042500.v7.1|Misin01G114300.v7.1|Misin01G130100.v7.1|Misin01G177900.v7.1|Misin01G198700.v7.1|Misin01G202900.v7.1|Misin01G226100.v7.1|Misin01G285800.v7.1|Misin01G296600.v7.1|Misin01G344200.v7.1|Misin01G383700.v7.1|Misin01G386500.v7.1|Misin01G399900.v7.1|Misin01G412200.v7.1|Misin01G416600.v7.1|Misin01G443100.v7.1|Misin01G461900.v7.1|Misin01G499100.v7.1|Misin02G076500.v7.1|Misin02G145500.v7.1|Misin02G184600.v7.1|Misin02G237900.v7.1|Misin02G259800.v7.1|Misin02G290200.v7.1|Misin02G377100.v7.1|Misin02G419100.v7.1|Misin02G438500.v7.1|Misin02G447300.v7.1|Misin02G483800.v7.1|Misin02G501300.v7.1|Misin03G001600.v7.1|Misin03G009500.v7.1|Misin03G011600.v7.1|Misin03G022700.v7.1|Misin03G067000.v7.1|Misin03G101000.v7.1|Misin03G237100.v7.1|Misin03G249800.v7.1|Misin03G285000.v7.1|Misin03G287200.v7.1|Misin04G034400.v7.1|Misin04G072200.v7.1|Misin04G188200.v7.1|Misin04G225400.v7.1|Misin04G285600.v7.1|Misin04G405400.v7.1|Misin05G046900.v7.1|Misin05G090900.v7.1|Misin05G205600.v7.1|Misin05G208400.v7.1|Misin05G272400.v7.1|Misin05G303100.v7.1|Misin05G311100.v7.1|Misin06G030000.v7.1|Misin06G053100.v7.1|Misin06G085800.v7.1|Misin06G088700.v7.1|Misin06G167400.v7.1|Misin06G221100.v7.1|Misin06G252000.v7.1|Misin06G284000.v7.1|Misin06G292400.v7.1|Misin06G334400.v7.1|Misin06G359200.v7.1|Misin06G371600.v7.1|Misin06G383600.v7.1|Misin07G087100.v7.1|Misin07G089400.v7.1|Misin07G147000.v7.1|Misin07G159000.v7.1|Misin07G225300.v7.1|Misin07G226500.v7.1|Misin07G230900.v7.1|Misin07G233100.v7.1|Misin07G242100.v7.1|Misin07G295100.v7.1|Misin07G306900.v7.1|Misin07G386000.v7.1|Misin07G391600.v7.1|Misin07G407200.v7.1|Misin07G415600.v7.1|Misin07G416000.v7.1|Misin07G416100.v7.1|Misin07G453100.v7.1|Misin07G510900.v7.1|Misin07G525600.v7.1|Misin07G543400.v7.1|Misin08G048400.v7.1|Misin08G076400.v7.1|Misin08G088300.v7.1|Misin08G181500.v7.1|Misin08G264800.v7.1|Misin08G297000.v7.1|Misin08G307800.v7.1|Misin09G083700.v7.1|Misin09G097700.v7.1|Misin09G159600.v7.1|Misin09G184300.v7.1|Misin10G029400.v7.1|Misin10G073200.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G142800.v7.1|Misin10G179600.v7.1|Misin10G180200.v7.1|Misin11G022700.v7.1|Misin11G157900.v7.1|Misin11G212200.v7.1|Misin12G025100.v7.1|Misin12G061400.v7.1|Misin12G067900.v7.1|Misin12G111700.v7.1|Misin12G112000.v7.1|Misin12G112200.v7.1|Misin12G112700.v7.1|Misin12G161400.v7.1|Misin12G239200.v7.1|Misin13G013100.v7.1|Misin13G100200.v7.1|Misin13G118900.v7.1|Misin13G127600.v7.1|Misin13G172900.v7.1|Misin14G013800.v7.1|Misin14G074500.v7.1|Misin14G102700.v7.1|Misin14G103700.v7.1|Misin14G106700.v7.1|Misin15G020800.v7.1|Misin15G028400.v7.1|Misin15G099600.v7.1|Misin15G171100.v7.1|Misin15G196200.v7.1|Misin16G027000.v7.1|Misin16G033200.v7.1|Misin16G174200.v7.1|Misin16G186800.v7.1|Misin16G193600.v7.1|Misin16G207000.v7.1|Misin16G211500.v7.1|Misin16G249600.v7.1|Misin16G255400.v7.1|Misin17G031000.v7.1|Misin17G044200.v7.1|Misin17G065700.v7.1|Misin17G068500.v7.1|Misin17G159400.v7.1|Misin17G195600.v7.1|Misin17G203400.v7.1|Misin17G207200.v7.1|Misin18G008400.v7.1|Misin18G026500.v7.1|Misin18G033500.v7.1|Misin18G072700.v7.1|Misin18G160500.v7.1|Misin18G180000.v7.1|Misin18G243900.v7.1|Misin18G247100.v7.1|Misin19G031000.v7.1|Misin19G037500.v7.1|Misin19G058200.v7.1|Misin19G084900.v7.1|Misin19G117100.v7.1|Misin19G168400.v7.1|Misin19G181700.v7.1|Misin19G212800.v7.1|Misin19G248600.v7.1|MisinT011200.v7.1|MisinT018000.v7.1|MisinT050600.v7.1|MisinT055500.v7.1|MisinT060900.v7.1|MisinT068300.v7.1|MisinT113100.v7.1|MisinT133600.v7.1|MisinT183900.v7.1|MisinT223100.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT268100.v7.1|MisinT302500.v7.1|MisinT436300.v7.1|MisinT513900.v7.1|MisinT547900.v7.1
GO:0016853,isomerase activity,600,12,7.4,3,0.0706,0.0706,0.0706,Misin01G226100.v7.1|Misin03G235900.v7.1|Misin04G237000.v7.1|Misin04G254500.v7.1|Misin05G311100.v7.1|Misin06G053100.v7.1|Misin07G140000.v7.1|Misin10G115000.v7.1|Misin10G136900.v7.1|Misin11G259400.v7.1|Misin12G103300.v7.1|MisinT174000.v7.1
GO:0022857,transmembrane transporter activity,2131,33,26.29,4,0.1066,0.1066,0.1066,Misin01G321200.v7.1|Misin01G480900.v7.1|Misin02G184600.v7.1|Misin02G439100.v7.1|Misin02G487300.v7.1|Misin03G166900.v7.1|Misin04G194800.v7.1|Misin05G166800.v7.1|Misin06G158600.v7.1|Misin07G087100.v7.1|Misin07G089400.v7.1|Misin07G105400.v7.1|Misin07G160900.v7.1|Misin07G200200.v7.1|Misin07G233900.v7.1|Misin07G242100.v7.1|Misin11G022700.v7.1|Misin12G074900.v7.1|Misin12G102400.v7.1|Misin13G057200.v7.1|Misin14G100100.v7.1|Misin15G121400.v7.1|Misin18G000600.v7.1|Misin18G004100.v7.1|Misin18G138700.v7.1|Misin18G247100.v7.1|Misin19G209500.v7.1|MisinT024100.v7.1|MisinT133600.v7.1|MisinT250900.v7.1|MisinT272300.v7.1|MisinT347400.v7.1|MisinT396600.v7.1
GO:0016798,"hydrolase activity, acting on glycosyl b...",984,16,12.14,7,0.1614,0.1614,0.1614,Misin01G424300.v7.1|Misin02G348100.v7.1|Misin03G069900.v7.1|Misin04G000400.v7.1|Misin04G310300.v7.1|Misin05G056400.v7.1|Misin05G227800.v7.1|Misin05G328800.v7.1|Misin06G200300.v7.1|Misin06G200400.v7.1|Misin06G406000.v7.1|Misin11G111200.v7.1|Misin11G259400.v7.1|Misin16G216900.v7.1|Misin17G218100.v7.1|MisinT219500.v7.1
GO:0016757,"transferase activity, transferring glyco...",1441,22,17.78,8,0.1800,0.1800,0.1800,Misin01G468200.v7.1|Misin02G008100.v7.1|Misin02G298600.v7.1|Misin03G070800.v7.1|Misin03G101000.v7.1|Misin03G191000.v7.1|Misin03G318000.v7.1|Misin04G065100.v7.1|Misin04G293300.v7.1|Misin05G372400.v7.1|Misin06G060800.v7.1|Misin06G380900.v7.1|Misin07G334900.v7.1|Misin07G351600.v7.1|Misin11G154600.v7.1|Misin12G100600.v7.1|Misin13G102300.v7.1|Misin16G204600.v7.1|Misin18G184700.v7.1|Misin19G066600.v7.1|Misin19G123300.v7.1|MisinT580300.v7.1
GO:0016765,"transferase activity, transferring alkyl...",445,8,5.49,9,0.1869,0.1869,0.1869,Misin01G300300.v7.1|Misin02G097400.v7.1|Misin02G286300.v7.1|Misin02G292400.v7.1|Misin05G392300.v7.1|Misin16G249600.v7.1|Misin17G063300.v7.1|MisinT258000.v7.1
GO:0051082,unfolded protein binding,211,4,2.6,10,0.2639,0.2639,0.2639,Misin03G067000.v7.1|Misin04G225400.v7.1|Misin12G103300.v7.1|Misin16G193600.v7.1
GO:0016874,ligase activity,814,12,10.04,11,0.3061,0.3061,0.3061,Misin03G101000.v7.1|Misin05G046900.v7.1|Misin06G383600.v7.1|Misin07G159000.v7.1|Misin07G295100.v7.1|Misin07G351600.v7.1|Misin07G453100.v7.1|Misin07G510900.v7.1|Misin14G103700.v7.1|Misin15G171100.v7.1|Misin17G159400.v7.1|Misin18G008400.v7.1
GO:0005215,transporter activity,2131,33,26.29,5,0.3687,0.1066,1.0000,Misin01G321200.v7.1|Misin01G480900.v7.1|Misin02G184600.v7.1|Misin02G439100.v7.1|Misin02G487300.v7.1|Misin03G166900.v7.1|Misin04G194800.v7.1|Misin05G166800.v7.1|Misin06G158600.v7.1|Misin07G087100.v7.1|Misin07G089400.v7.1|Misin07G105400.v7.1|Misin07G160900.v7.1|Misin07G200200.v7.1|Misin07G233900.v7.1|Misin07G242100.v7.1|Misin11G022700.v7.1|Misin12G074900.v7.1|Misin12G102400.v7.1|Misin13G057200.v7.1|Misin14G100100.v7.1|Misin15G121400.v7.1|Misin18G000600.v7.1|Misin18G004100.v7.1|Misin18G138700.v7.1|Misin18G247100.v7.1|Misin19G209500.v7.1|MisinT024100.v7.1|MisinT133600.v7.1|MisinT250900.v7.1|MisinT272300.v7.1|MisinT347400.v7.1|MisinT396600.v7.1
