GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0006950,response to stress,3272,16,9.07,2,0.016,0.016,0.016,Misin01G383300.v7.1|Misin05G334400.v7.1|Misin07G438800.v7.1|Misin07G506800.v7.1|Misin08G198300.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin11G270000.v7.1|Misin11G274000.v7.1|Misin12G016000.v7.1|Misin12G278500.v7.1|Misin16G041700.v7.1|Misin17G013100.v7.1|Misin17G015000.v7.1|Misin18G206400.v7.1|MisinT322000.v7.1
GO:0007165,signal transduction,2063,10,5.72,3,0.058,0.058,0.058,Misin05G337800.v7.1|Misin06G335400.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin11G274000.v7.1|Misin12G278500.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G108300.v7.1|Misin16G079400.v7.1
GO:0007010,cytoskeleton organization,321,3,0.89,7,0.060,0.060,0.060,Misin01G432100.v7.1|Misin05G014900.v7.1|Misin06G004500.v7.1
GO:0044267,cellular protein metabolic process,6821,24,18.92,13,0.114,0.114,1.000,Misin02G377400.v7.1|Misin02G413800.v7.1|Misin03G141800.v7.1|Misin03G211800.v7.1|Misin04G057000.v7.1|Misin04G162500.v7.1|Misin04G175900.v7.1|Misin04G201600.v7.1|Misin04G284600.v7.1|Misin07G506800.v7.1|Misin08G104200.v7.1|Misin08G217900.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin12G016000.v7.1|Misin14G045600.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G158500.v7.1|Misin17G216700.v7.1|Misin18G144500.v7.1|Misin18G206400.v7.1|Misin19G027600.v7.1|MisinT494700.v7.1
GO:0007568,aging,45,1,0.12,14,0.118,0.118,0.118,Misin16G079400.v7.1
GO:0048646,anatomical structure formation involved ...,214,2,0.59,15,0.119,0.119,0.119,Misin15G158500.v7.1|MisinT567400.v7.1
GO:0002376,immune system process,282,2,0.78,29,0.184,0.184,0.184,Misin11G262800.v7.1|Misin16G041700.v7.1
GO:0006457,protein folding,540,3,1.5,30,0.189,0.189,0.189,Misin07G405500.v7.1|Misin08G197500.v7.1|Misin08G325000.v7.1
GO:0019748,secondary metabolic process,824,4,2.29,31,0.195,0.195,0.195,Misin07G066600.v7.1|Misin07G066700.v7.1|Misin08G239900.v7.1|Misin16G041700.v7.1
GO:0006914,autophagy,99,1,0.27,34,0.241,0.241,0.241,Misin02G071100.v7.1
GO:0006790,sulfur compound metabolic process,989,4,2.74,40,0.294,0.294,0.294,Misin01G126400.v7.1|Misin16G041700.v7.1|Misin16G239400.v7.1|MisinT322000.v7.1
GO:0021700,developmental maturation,132,1,0.37,41,0.307,0.307,0.307,Misin08G325000.v7.1
GO:0019538,protein metabolic process,7000,25,19.41,11,0.313,0.093,1.000,Misin02G377400.v7.1|Misin02G413800.v7.1|Misin03G141800.v7.1|Misin03G211800.v7.1|Misin04G057000.v7.1|Misin04G162500.v7.1|Misin04G175900.v7.1|Misin04G201600.v7.1|Misin04G284600.v7.1|Misin07G506800.v7.1|Misin08G104200.v7.1|Misin08G217900.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin12G016000.v7.1|Misin14G045600.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G158500.v7.1|Misin16G239400.v7.1|Misin17G216700.v7.1|Misin18G144500.v7.1|Misin18G206400.v7.1|Misin19G027600.v7.1|MisinT494700.v7.1
GO:0042254,ribosome biogenesis,1408,5,3.9,46,0.352,0.352,0.352,Misin02G309100.v7.1|Misin02G377400.v7.1|Misin03G211800.v7.1|Misin04G284600.v7.1|Misin16G231000.v7.1
GO:0000003,reproduction,1511,5,4.19,48,0.409,0.409,0.409,Misin01G383300.v7.1|Misin07G506800.v7.1|Misin08G325000.v7.1|Misin16G041700.v7.1|MisinT567400.v7.1
GO:0023052,signaling,2074,10,5.75,8,0.413,0.060,1.000,Misin05G337800.v7.1|Misin06G335400.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin11G274000.v7.1|Misin12G278500.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G108300.v7.1|Misin16G079400.v7.1
GO:0007154,cell communication,2074,10,5.75,9,0.413,0.060,1.000,Misin05G337800.v7.1|Misin06G335400.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin11G274000.v7.1|Misin12G278500.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G108300.v7.1|Misin16G079400.v7.1
GO:0010467,gene expression,2110,8,5.85,32,0.414,0.229,1.000,Misin02G377400.v7.1|Misin03G211800.v7.1|Misin04G057000.v7.1|Misin04G284600.v7.1|Misin08G217900.v7.1|Misin12G016000.v7.1|Misin16G239400.v7.1|MisinT567400.v7.1
GO:0006399,tRNA metabolic process,534,2,1.48,51,0.438,0.438,0.438,Misin07G319900.v7.1|Misin15G158500.v7.1
GO:0055085,transmembrane transport,538,2,1.49,53,0.441,0.441,0.441,Misin12G193100.v7.1|Misin19G064200.v7.1
GO:0000902,cell morphogenesis,241,1,0.67,56,0.489,0.489,0.489,Misin01G383300.v7.1
GO:0043043,peptide biosynthetic process,1373,6,3.81,17,0.497,0.181,1.000,Misin02G377400.v7.1|Misin03G211800.v7.1|Misin04G057000.v7.1|Misin04G284600.v7.1|Misin08G217900.v7.1|Misin12G016000.v7.1
GO:0034645,cellular macromolecule biosynthetic proc...,1373,6,3.81,18,0.497,0.181,1.000,Misin02G377400.v7.1|Misin03G211800.v7.1|Misin04G057000.v7.1|Misin04G284600.v7.1|Misin08G217900.v7.1|Misin12G016000.v7.1
GO:0050896,response to stimulus,4944,22,13.71,1,0.500,0.014,1.000,Misin01G383300.v7.1|Misin05G334400.v7.1|Misin05G337800.v7.1|Misin06G335400.v7.1|Misin07G438800.v7.1|Misin07G506800.v7.1|Misin08G198300.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin11G270000.v7.1|Misin11G274000.v7.1|Misin12G016000.v7.1|Misin12G278500.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G108300.v7.1|Misin16G041700.v7.1|Misin16G079400.v7.1|Misin17G013100.v7.1|Misin17G015000.v7.1|Misin18G206400.v7.1|MisinT322000.v7.1
GO:0051716,cellular response to stimulus,2063,10,5.72,4,0.507,0.058,1.000,Misin05G337800.v7.1|Misin06G335400.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin11G274000.v7.1|Misin12G278500.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G108300.v7.1|Misin16G079400.v7.1
GO:0050794,regulation of cellular process,2063,10,5.72,5,0.507,0.058,1.000,Misin05G337800.v7.1|Misin06G335400.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin11G274000.v7.1|Misin12G278500.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G108300.v7.1|Misin16G079400.v7.1
GO:0044085,cellular component biogenesis,2559,8,7.1,49,0.525,0.416,1.000,Misin01G432100.v7.1|Misin02G071100.v7.1|Misin02G309100.v7.1|Misin02G377400.v7.1|Misin03G211800.v7.1|Misin04G284600.v7.1|Misin16G231000.v7.1|Misin16G239400.v7.1
GO:0008219,cell death,276,1,0.77,60,0.537,0.537,0.537,Misin11G262800.v7.1
GO:0006412,translation,1373,6,3.81,19,0.551,0.181,0.181,Misin02G377400.v7.1|Misin03G211800.v7.1|Misin04G057000.v7.1|Misin04G284600.v7.1|Misin08G217900.v7.1|Misin12G016000.v7.1
GO:0042592,homeostatic process,1038,3,2.88,61,0.553,0.553,0.553,Misin12G035300.v7.1|Misin16G239400.v7.1|Misin18G206400.v7.1
GO:0051186,cofactor metabolic process,1421,4,3.94,63,0.560,0.560,0.560,Misin11G262800.v7.1|Misin11G270000.v7.1|Misin16G041700.v7.1|Misin16G239400.v7.1
GO:1901564,organonitrogen compound metabolic proces...,8043,28,22.31,12,0.574,0.098,1.000,Misin02G377400.v7.1|Misin02G413800.v7.1|Misin03G141800.v7.1|Misin03G211800.v7.1|Misin04G057000.v7.1|Misin04G162500.v7.1|Misin04G175900.v7.1|Misin04G201600.v7.1|Misin04G284600.v7.1|Misin05G338300.v7.1|Misin07G506800.v7.1|Misin08G104200.v7.1|Misin08G217900.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin12G016000.v7.1|Misin14G007100.v7.1|Misin14G045600.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G158500.v7.1|Misin16G239400.v7.1|Misin17G216700.v7.1|Misin17G249200.v7.1|Misin18G144500.v7.1|Misin18G206400.v7.1|Misin19G027600.v7.1|MisinT494700.v7.1
GO:0036211,protein modification process,5525,18,15.32,36,0.587,0.261,1.000,Misin02G413800.v7.1|Misin03G141800.v7.1|Misin04G162500.v7.1|Misin04G175900.v7.1|Misin04G201600.v7.1|Misin07G506800.v7.1|Misin08G104200.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin14G045600.v7.1|Misin14G145300.v7.1|Misin14G156100.v7.1|Misin15G158500.v7.1|Misin17G216700.v7.1|Misin18G144500.v7.1|Misin18G206400.v7.1|Misin19G027600.v7.1|MisinT494700.v7.1
GO:0071554,cell wall organization or biogenesis,1121,3,3.11,65,0.606,0.606,0.606,Misin01G020200.v7.1|Misin11G270000.v7.1|Misin16G041700.v7.1
GO:0051301,cell division,356,1,0.99,66,0.630,0.630,0.630,Misin08G325000.v7.1
GO:0009790,embryo development,357,1,0.99,67,0.631,0.631,0.631,Misin08G325000.v7.1
