GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016791,phosphatase activity,608,6,1.63,1,0.006,0.006,0.006,Misin02G413800.v7.1|Misin03G141800.v7.1|Misin04G162500.v7.1|Misin14G045600.v7.1|Misin17G216700.v7.1|Misin18G206400.v7.1
GO:0016491,oxidoreductase activity,3700,15,9.95,2,0.069,0.069,0.069,Misin01G383300.v7.1|Misin01G487900.v7.1|Misin05G300400.v7.1|Misin05G338300.v7.1|Misin05G397300.v7.1|Misin06G149100.v7.1|Misin06G234900.v7.1|Misin06G289700.v7.1|Misin07G066600.v7.1|Misin07G066700.v7.1|Misin08G239900.v7.1|Misin08G295000.v7.1|Misin11G270000.v7.1|Misin14G145300.v7.1|MisinT322000.v7.1
GO:0016853,isomerase activity,600,4,1.61,3,0.079,0.079,0.079,Misin03G131100.v7.1|Misin05G300400.v7.1|Misin06G289700.v7.1|Misin08G239900.v7.1
GO:0030234,enzyme regulator activity,665,4,1.79,4,0.105,0.105,0.105,Misin07G405500.v7.1|Misin08G197500.v7.1|Misin17G013100.v7.1|Misin17G015000.v7.1
GO:0016779,nucleotidyltransferase activity,454,3,1.22,6,0.124,0.124,0.124,Misin11G262800.v7.1|Misin15G158500.v7.1|Misin16G231000.v7.1
GO:0043167,ion binding,12724,39,34.21,7,0.175,0.175,0.175,Misin01G477500.v7.1|Misin01G487900.v7.1|Misin02G413800.v7.1|Misin03G014300.v7.1|Misin03G141800.v7.1|Misin04G027900.v7.1|Misin04G162500.v7.1|Misin04G201600.v7.1|Misin05G014900.v7.1|Misin05G397300.v7.1|Misin06G004500.v7.1|Misin06G130100.v7.1|Misin06G149100.v7.1|Misin06G234900.v7.1|Misin06G317700.v7.1|Misin07G066600.v7.1|Misin07G066700.v7.1|Misin07G319900.v7.1|Misin07G405500.v7.1|Misin07G506800.v7.1|Misin08G104200.v7.1|Misin08G197500.v7.1|Misin08G295000.v7.1|Misin11G208300.v7.1|Misin11G262800.v7.1|Misin11G270000.v7.1|Misin12G035300.v7.1|Misin14G045600.v7.1|Misin14G145300.v7.1|Misin16G041700.v7.1|Misin16G079400.v7.1|Misin16G239400.v7.1|Misin17G127100.v7.1|Misin17G216700.v7.1|Misin17G249200.v7.1|Misin18G206400.v7.1|Misin19G027600.v7.1|MisinT322000.v7.1|MisinT494700.v7.1
GO:0016874,ligase activity,814,4,2.19,8,0.176,0.176,0.176,Misin04G175900.v7.1|Misin14G007100.v7.1|Misin16G041700.v7.1|Misin17G249200.v7.1
GO:0003729,mRNA binding,106,1,0.29,10,0.249,0.249,0.249,MisinT567400.v7.1
GO:0016798,"hydrolase activity, acting on glycosyl b...",984,4,2.65,11,0.273,0.273,0.273,Misin01G020200.v7.1|Misin04G395100.v7.1|Misin10G068400.v7.1|Misin12G016000.v7.1
GO:0008092,cytoskeletal protein binding,399,2,1.07,12,0.291,0.291,0.291,Misin01G432100.v7.1|MisinT413500.v7.1
GO:0016887,ATPase activity,430,2,1.16,13,0.322,0.322,0.322,Misin05G014900.v7.1|Misin06G004500.v7.1
GO:0016765,"transferase activity, transferring alkyl...",445,2,1.2,14,0.337,0.337,0.337,Misin03G114600.v7.1|Misin04G123200.v7.1
GO:0016810,"hydrolase activity, acting on carbon-nit...",176,1,0.47,16,0.378,0.378,0.378,Misin07G418600.v7.1
GO:0003924,GTPase activity,269,1,0.72,18,0.517,0.517,0.517,Misin07G319900.v7.1
GO:0016757,"transferase activity, transferring glyco...",1441,4,3.87,19,0.546,0.546,0.546,Misin01G285400.v7.1|Misin01G358800.v7.1|Misin01G506200.v7.1|Misin08G004700.v7.1
