GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016301,kinase activity,4164,236,108.72,1,< 0.000000000000000000000000000001,< 0.000000000000000000000000000001,< 0.000000000000000000000000000001,Misin01G198700.v7.1|Misin01G213600.v7.1|Misin01G218800.v7.1|Misin01G230000.v7.1|Misin01G311600.v7.1|Misin01G344100.v7.1|Misin01G365700.v7.1|Misin01G412200.v7.1|Misin01G494400.v7.1|Misin01G499100.v7.1|Misin02G101100.v7.1|Misin02G133400.v7.1|Misin02G176000.v7.1|Misin02G200400.v7.1|Misin02G224200.v7.1|Misin02G260000.v7.1|Misin02G316300.v7.1|Misin02G324500.v7.1|Misin02G336200.v7.1|Misin02G396200.v7.1|Misin02G408000.v7.1|Misin02G419100.v7.1|Misin02G501300.v7.1|Misin03G020300.v7.1|Misin03G021500.v7.1|Misin03G022100.v7.1|Misin03G022700.v7.1|Misin03G025100.v7.1|Misin03G029300.v7.1|Misin03G140600.v7.1|Misin03G175300.v7.1|Misin03G284800.v7.1|Misin03G286100.v7.1|Misin03G287200.v7.1|Misin03G340200.v7.1|Misin03G340700.v7.1|Misin03G344400.v7.1|Misin04G033300.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G072200.v7.1|Misin04G230800.v7.1|Misin04G307100.v7.1|Misin04G309100.v7.1|Misin04G344700.v7.1|Misin04G371800.v7.1|Misin04G372600.v7.1|Misin05G006200.v7.1|Misin05G029800.v7.1|Misin05G080200.v7.1|Misin05G080800.v7.1|Misin05G081700.v7.1|Misin05G092400.v7.1|Misin05G102400.v7.1|Misin05G172100.v7.1|Misin05G172400.v7.1|Misin05G205600.v7.1|Misin05G272200.v7.1|Misin05G272400.v7.1|Misin05G292900.v7.1|Misin05G295100.v7.1|Misin06G059100.v7.1|Misin06G085700.v7.1|Misin06G085800.v7.1|Misin06G166900.v7.1|Misin06G167100.v7.1|Misin06G167600.v7.1|Misin06G195400.v7.1|Misin06G226400.v7.1|Misin06G226800.v7.1|Misin06G252000.v7.1|Misin06G306900.v7.1|Misin06G344800.v7.1|Misin07G094600.v7.1|Misin07G136000.v7.1|Misin07G148400.v7.1|Misin07G175500.v7.1|Misin07G175600.v7.1|Misin07G225300.v7.1|Misin07G225400.v7.1|Misin07G226400.v7.1|Misin07G226500.v7.1|Misin07G226700.v7.1|Misin07G226900.v7.1|Misin07G227000.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G377800.v7.1|Misin07G401200.v7.1|Misin07G402000.v7.1|Misin07G402800.v7.1|Misin07G409500.v7.1|Misin07G415200.v7.1|Misin07G415300.v7.1|Misin07G416100.v7.1|Misin07G454200.v7.1|Misin07G532900.v7.1|Misin07G545000.v7.1|Misin08G010500.v7.1|Misin08G103100.v7.1|Misin08G176300.v7.1|Misin08G200400.v7.1|Misin08G200600.v7.1|Misin08G210500.v7.1|Misin08G210700.v7.1|Misin08G211000.v7.1|Misin09G030000.v7.1|Misin09G042300.v7.1|Misin09G048300.v7.1|Misin09G081100.v7.1|Misin09G097700.v7.1|Misin09G111100.v7.1|Misin09G165900.v7.1|Misin09G171200.v7.1|Misin09G184300.v7.1|Misin09G189800.v7.1|Misin10G046900.v7.1|Misin10G076900.v7.1|Misin10G132600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin10G162700.v7.1|Misin10G162900.v7.1|Misin11G010100.v7.1|Misin11G053800.v7.1|Misin11G120800.v7.1|Misin11G153100.v7.1|Misin11G155800.v7.1|Misin11G176200.v7.1|Misin11G184100.v7.1|Misin11G204700.v7.1|Misin11G223300.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin11G253400.v7.1|Misin11G254500.v7.1|Misin12G020900.v7.1|Misin12G025100.v7.1|Misin12G025900.v7.1|Misin12G042800.v7.1|Misin12G140400.v7.1|Misin12G161400.v7.1|Misin12G161700.v7.1|Misin12G192600.v7.1|Misin12G211300.v7.1|Misin12G211900.v7.1|Misin12G221600.v7.1|Misin12G238700.v7.1|Misin12G254100.v7.1|Misin12G270800.v7.1|Misin13G002700.v7.1|Misin13G069000.v7.1|Misin13G187400.v7.1|Misin14G007400.v7.1|Misin14G010200.v7.1|Misin14G074500.v7.1|Misin14G113600.v7.1|Misin14G138900.v7.1|Misin14G143200.v7.1|Misin14G152900.v7.1|Misin14G161200.v7.1|Misin15G001400.v7.1|Misin15G006900.v7.1|Misin15G024500.v7.1|Misin15G027700.v7.1|Misin15G036900.v7.1|Misin15G038600.v7.1|Misin15G058500.v7.1|Misin15G091200.v7.1|Misin16G135700.v7.1|Misin16G178200.v7.1|Misin16G186800.v7.1|Misin16G194600.v7.1|Misin17G003000.v7.1|Misin17G039800.v7.1|Misin17G053100.v7.1|Misin17G100600.v7.1|Misin17G136200.v7.1|Misin17G184200.v7.1|Misin17G187200.v7.1|Misin17G195600.v7.1|Misin17G208300.v7.1|Misin17G243300.v7.1|Misin17G262800.v7.1|Misin18G028200.v7.1|Misin18G029100.v7.1|Misin18G033400.v7.1|Misin18G033500.v7.1|Misin18G051300.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin18G134900.v7.1|Misin18G164700.v7.1|Misin18G170800.v7.1|Misin18G180000.v7.1|Misin18G243500.v7.1|Misin18G277200.v7.1|Misin19G027000.v7.1|Misin19G027100.v7.1|Misin19G051900.v7.1|Misin19G057100.v7.1|Misin19G057800.v7.1|Misin19G084900.v7.1|Misin19G102700.v7.1|Misin19G122000.v7.1|Misin19G131900.v7.1|Misin19G138600.v7.1|Misin19G159600.v7.1|Misin19G174100.v7.1|Misin19G248200.v7.1|Misin19G249000.v7.1|Misin19G258500.v7.1|MisinT026700.v7.1|MisinT064800.v7.1|MisinT073500.v7.1|MisinT107600.v7.1|MisinT135500.v7.1|MisinT156000.v7.1|MisinT227600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT291000.v7.1|MisinT348000.v7.1|MisinT351200.v7.1|MisinT371800.v7.1|MisinT378900.v7.1|MisinT403300.v7.1|MisinT437000.v7.1|MisinT476400.v7.1|MisinT477100.v7.1|MisinT477200.v7.1|MisinT477300.v7.1|MisinT513500.v7.1|MisinT580600.v7.1
GO:0043167,ion binding,12724,433,332.23,2,0.0000000000014,0.0000000000014,0.0000000000014,Misin01G042500.v7.1|Misin01G055200.v7.1|Misin01G055900.v7.1|Misin01G101100.v7.1|Misin01G114300.v7.1|Misin01G124800.v7.1|Misin01G159100.v7.1|Misin01G170100.v7.1|Misin01G198700.v7.1|Misin01G213600.v7.1|Misin01G218800.v7.1|Misin01G226100.v7.1|Misin01G230000.v7.1|Misin01G245000.v7.1|Misin01G247200.v7.1|Misin01G263500.v7.1|Misin01G320600.v7.1|Misin01G344100.v7.1|Misin01G344200.v7.1|Misin01G365700.v7.1|Misin01G374200.v7.1|Misin01G386500.v7.1|Misin01G399900.v7.1|Misin01G412200.v7.1|Misin01G455100.v7.1|Misin01G478800.v7.1|Misin01G488200.v7.1|Misin01G499100.v7.1|Misin02G061000.v7.1|Misin02G101100.v7.1|Misin02G124000.v7.1|Misin02G133400.v7.1|Misin02G176000.v7.1|Misin02G199800.v7.1|Misin02G200400.v7.1|Misin02G224200.v7.1|Misin02G259800.v7.1|Misin02G260000.v7.1|Misin02G290200.v7.1|Misin02G316300.v7.1|Misin02G336200.v7.1|Misin02G336800.v7.1|Misin02G341900.v7.1|Misin02G348700.v7.1|Misin02G350700.v7.1|Misin02G377100.v7.1|Misin02G391500.v7.1|Misin02G396200.v7.1|Misin02G409100.v7.1|Misin02G412300.v7.1|Misin02G419100.v7.1|Misin02G437700.v7.1|Misin02G447300.v7.1|Misin02G471400.v7.1|Misin02G472500.v7.1|Misin02G481700.v7.1|Misin02G491300.v7.1|Misin02G501300.v7.1|Misin03G001500.v7.1|Misin03G001600.v7.1|Misin03G002600.v7.1|Misin03G002900.v7.1|Misin03G009500.v7.1|Misin03G014600.v7.1|Misin03G020300.v7.1|Misin03G021500.v7.1|Misin03G022100.v7.1|Misin03G022700.v7.1|Misin03G029300.v7.1|Misin03G112300.v7.1|Misin03G140600.v7.1|Misin03G166300.v7.1|Misin03G168300.v7.1|Misin03G238800.v7.1|Misin03G284800.v7.1|Misin03G286100.v7.1|Misin03G287200.v7.1|Misin03G314300.v7.1|Misin03G320700.v7.1|Misin03G326000.v7.1|Misin03G340200.v7.1|Misin03G340700.v7.1|Misin03G344400.v7.1|Misin03G366800.v7.1|Misin04G027400.v7.1|Misin04G029900.v7.1|Misin04G033300.v7.1|Misin04G034400.v7.1|Misin04G034900.v7.1|Misin04G035200.v7.1|Misin04G053200.v7.1|Misin04G070400.v7.1|Misin04G072200.v7.1|Misin04G146300.v7.1|Misin04G171500.v7.1|Misin04G177400.v7.1|Misin04G223900.v7.1|Misin04G230800.v7.1|Misin04G263900.v7.1|Misin04G266200.v7.1|Misin04G296100.v7.1|Misin04G304200.v7.1|Misin04G307100.v7.1|Misin04G309100.v7.1|Misin04G324400.v7.1|Misin04G328900.v7.1|Misin04G331900.v7.1|Misin04G332600.v7.1|Misin04G338200.v7.1|Misin04G356900.v7.1|Misin04G357000.v7.1|Misin04G371800.v7.1|Misin04G372600.v7.1|Misin04G393300.v7.1|Misin04G397500.v7.1|Misin04G397600.v7.1|Misin04G402100.v7.1|Misin05G006200.v7.1|Misin05G029800.v7.1|Misin05G034800.v7.1|Misin05G080200.v7.1|Misin05G080800.v7.1|Misin05G090400.v7.1|Misin05G090500.v7.1|Misin05G090900.v7.1|Misin05G092400.v7.1|Misin05G102400.v7.1|Misin05G138600.v7.1|Misin05G149100.v7.1|Misin05G157500.v7.1|Misin05G172100.v7.1|Misin05G172400.v7.1|Misin05G189500.v7.1|Misin05G203400.v7.1|Misin05G205600.v7.1|Misin05G206700.v7.1|Misin05G207200.v7.1|Misin05G228900.v7.1|Misin05G272200.v7.1|Misin05G272400.v7.1|Misin05G292900.v7.1|Misin05G311100.v7.1|Misin05G331200.v7.1|Misin05G358900.v7.1|Misin05G378200.v7.1|Misin05G379400.v7.1|Misin06G030000.v7.1|Misin06G085800.v7.1|Misin06G102500.v7.1|Misin06G114000.v7.1|Misin06G163000.v7.1|Misin06G166900.v7.1|Misin06G167600.v7.1|Misin06G194900.v7.1|Misin06G195400.v7.1|Misin06G198900.v7.1|Misin06G226800.v7.1|Misin06G239400.v7.1|Misin06G252000.v7.1|Misin06G284000.v7.1|Misin06G308700.v7.1|Misin06G344800.v7.1|Misin06G370900.v7.1|Misin06G392100.v7.1|Misin07G012200.v7.1|Misin07G019300.v7.1|Misin07G039700.v7.1|Misin07G045000.v7.1|Misin07G062500.v7.1|Misin07G094600.v7.1|Misin07G096200.v7.1|Misin07G110500.v7.1|Misin07G136000.v7.1|Misin07G148400.v7.1|Misin07G161600.v7.1|Misin07G175500.v7.1|Misin07G175600.v7.1|Misin07G196000.v7.1|Misin07G204200.v7.1|Misin07G225300.v7.1|Misin07G225400.v7.1|Misin07G226400.v7.1|Misin07G226500.v7.1|Misin07G227000.v7.1|Misin07G230900.v7.1|Misin07G233000.v7.1|Misin07G233100.v7.1|Misin07G262300.v7.1|Misin07G288200.v7.1|Misin07G351100.v7.1|Misin07G357700.v7.1|Misin07G377800.v7.1|Misin07G396900.v7.1|Misin07G415200.v7.1|Misin07G416100.v7.1|Misin07G454200.v7.1|Misin07G454700.v7.1|Misin07G465200.v7.1|Misin07G532900.v7.1|Misin07G545000.v7.1|Misin07G545400.v7.1|Misin08G010500.v7.1|Misin08G071100.v7.1|Misin08G103100.v7.1|Misin08G108800.v7.1|Misin08G176300.v7.1|Misin08G181500.v7.1|Misin08G189600.v7.1|Misin08G193600.v7.1|Misin08G210500.v7.1|Misin08G211000.v7.1|Misin08G221600.v7.1|Misin08G298800.v7.1|Misin08G299900.v7.1|Misin09G016600.v7.1|Misin09G030000.v7.1|Misin09G031800.v7.1|Misin09G048300.v7.1|Misin09G073700.v7.1|Misin09G082800.v7.1|Misin09G087500.v7.1|Misin09G091000.v7.1|Misin09G092800.v7.1|Misin09G097200.v7.1|Misin09G097700.v7.1|Misin09G099700.v7.1|Misin09G111100.v7.1|Misin09G118400.v7.1|Misin09G120300.v7.1|Misin09G129900.v7.1|Misin09G143200.v7.1|Misin09G166300.v7.1|Misin09G171200.v7.1|Misin09G182500.v7.1|Misin09G184300.v7.1|Misin10G014400.v7.1|Misin10G029400.v7.1|Misin10G046900.v7.1|Misin10G067400.v7.1|Misin10G074500.v7.1|Misin10G076200.v7.1|Misin10G076900.v7.1|Misin10G093700.v7.1|Misin10G132600.v7.1|Misin10G153900.v7.1|Misin10G154000.v7.1|Misin11G004700.v7.1|Misin11G013900.v7.1|Misin11G022700.v7.1|Misin11G053800.v7.1|Misin11G063000.v7.1|Misin11G093200.v7.1|Misin11G107000.v7.1|Misin11G107200.v7.1|Misin11G107800.v7.1|Misin11G120800.v7.1|Misin11G153100.v7.1|Misin11G155800.v7.1|Misin11G176200.v7.1|Misin11G180100.v7.1|Misin11G184100.v7.1|Misin11G202100.v7.1|Misin11G204700.v7.1|Misin11G223300.v7.1|Misin11G224600.v7.1|Misin11G225300.v7.1|Misin11G246000.v7.1|Misin11G253400.v7.1|Misin12G009400.v7.1|Misin12G025100.v7.1|Misin12G042800.v7.1|Misin12G093200.v7.1|Misin12G098400.v7.1|Misin12G111700.v7.1|Misin12G112200.v7.1|Misin12G112700.v7.1|Misin12G138700.v7.1|Misin12G140400.v7.1|Misin12G144100.v7.1|Misin12G153100.v7.1|Misin12G154700.v7.1|Misin12G161400.v7.1|Misin12G180400.v7.1|Misin12G192600.v7.1|Misin12G211300.v7.1|Misin12G211900.v7.1|Misin12G221600.v7.1|Misin12G238700.v7.1|Misin12G254100.v7.1|Misin12G260200.v7.1|Misin12G270800.v7.1|Misin13G002700.v7.1|Misin13G036800.v7.1|Misin13G069000.v7.1|Misin13G131100.v7.1|Misin13G187400.v7.1|Misin13G189000.v7.1|Misin14G007400.v7.1|Misin14G010200.v7.1|Misin14G010400.v7.1|Misin14G074500.v7.1|Misin14G113600.v7.1|Misin14G138900.v7.1|Misin14G143200.v7.1|Misin14G145000.v7.1|Misin14G148400.v7.1|Misin14G152900.v7.1|Misin14G161200.v7.1|Misin15G001400.v7.1|Misin15G006900.v7.1|Misin15G019400.v7.1|Misin15G019500.v7.1|Misin15G019700.v7.1|Misin15G019800.v7.1|Misin15G020100.v7.1|Misin15G024500.v7.1|Misin15G027300.v7.1|Misin15G038600.v7.1|Misin15G091200.v7.1|Misin15G125700.v7.1|Misin15G136800.v7.1|Misin15G153700.v7.1|Misin15G159000.v7.1|Misin15G196300.v7.1|Misin16G016800.v7.1|Misin16G033100.v7.1|Misin16G033200.v7.1|Misin16G077200.v7.1|Misin16G101200.v7.1|Misin16G135700.v7.1|Misin16G140800.v7.1|Misin16G151000.v7.1|Misin16G178200.v7.1|Misin16G186800.v7.1|Misin16G193600.v7.1|Misin16G194600.v7.1|Misin17G003000.v7.1|Misin17G003600.v7.1|Misin17G004000.v7.1|Misin17G039800.v7.1|Misin17G044200.v7.1|Misin17G047800.v7.1|Misin17G047900.v7.1|Misin17G048000.v7.1|Misin17G053100.v7.1|Misin17G068500.v7.1|Misin17G084000.v7.1|Misin17G100600.v7.1|Misin17G136200.v7.1|Misin17G184200.v7.1|Misin17G187200.v7.1|Misin17G194800.v7.1|Misin17G195600.v7.1|Misin17G203400.v7.1|Misin17G208300.v7.1|Misin17G243300.v7.1|Misin17G262800.v7.1|Misin18G008400.v7.1|Misin18G024300.v7.1|Misin18G026500.v7.1|Misin18G033500.v7.1|Misin18G051300.v7.1|Misin18G082000.v7.1|Misin18G082100.v7.1|Misin18G112700.v7.1|Misin18G116100.v7.1|Misin18G134900.v7.1|Misin18G159400.v7.1|Misin18G160500.v7.1|Misin18G170800.v7.1|Misin18G180000.v7.1|Misin18G250200.v7.1|Misin18G262100.v7.1|Misin18G277200.v7.1|Misin19G022700.v7.1|Misin19G025000.v7.1|Misin19G027100.v7.1|Misin19G051900.v7.1|Misin19G056900.v7.1|Misin19G057100.v7.1|Misin19G057800.v7.1|Misin19G059600.v7.1|Misin19G062800.v7.1|Misin19G069700.v7.1|Misin19G084900.v7.1|Misin19G112400.v7.1|Misin19G122000.v7.1|Misin19G131900.v7.1|Misin19G138600.v7.1|Misin19G154200.v7.1|Misin19G159600.v7.1|Misin19G174100.v7.1|Misin19G204000.v7.1|Misin19G244500.v7.1|Misin19G258500.v7.1|MisinT014600.v7.1|MisinT014800.v7.1|MisinT023100.v7.1|MisinT026700.v7.1|MisinT061000.v7.1|MisinT064800.v7.1|MisinT073500.v7.1|MisinT078100.v7.1|MisinT120200.v7.1|MisinT122000.v7.1|MisinT135500.v7.1|MisinT157700.v7.1|MisinT166500.v7.1|MisinT219600.v7.1|MisinT227600.v7.1|MisinT237600.v7.1|MisinT237700.v7.1|MisinT268100.v7.1|MisinT277600.v7.1|MisinT291000.v7.1|MisinT302500.v7.1|MisinT304600.v7.1|MisinT327500.v7.1|MisinT348000.v7.1|MisinT351200.v7.1|MisinT371800.v7.1|MisinT378900.v7.1|MisinT388400.v7.1|MisinT403300.v7.1|MisinT437000.v7.1|MisinT454000.v7.1|MisinT463200.v7.1|MisinT476400.v7.1|MisinT477200.v7.1|MisinT485500.v7.1|MisinT513500.v7.1|MisinT517700.v7.1|MisinT545200.v7.1
GO:0022857,transmembrane transporter activity,2131,70,55.64,3,0.029,0.029,0.029,Misin01G000800.v7.1|Misin01G167600.v7.1|Misin01G262800.v7.1|Misin01G321200.v7.1|Misin01G449300.v7.1|Misin01G480900.v7.1|Misin02G180500.v7.1|Misin02G202800.v7.1|Misin02G259000.v7.1|Misin02G404700.v7.1|Misin02G445300.v7.1|Misin03G034600.v7.1|Misin03G166900.v7.1|Misin03G195300.v7.1|Misin04G008100.v7.1|Misin04G119500.v7.1|Misin04G215500.v7.1|Misin04G304200.v7.1|Misin04G304300.v7.1|Misin04G334600.v7.1|Misin05G089900.v7.1|Misin05G143100.v7.1|Misin05G205800.v7.1|Misin05G228900.v7.1|Misin05G254300.v7.1|Misin05G310700.v7.1|Misin05G367000.v7.1|Misin06G158600.v7.1|Misin06G158900.v7.1|Misin06G232100.v7.1|Misin06G339100.v7.1|Misin06G383800.v7.1|Misin08G071100.v7.1|Misin08G234200.v7.1|Misin09G016600.v7.1|Misin09G119200.v7.1|Misin10G014400.v7.1|Misin11G022700.v7.1|Misin11G096300.v7.1|Misin11G180100.v7.1|Misin12G047600.v7.1|Misin13G011400.v7.1|Misin13G011800.v7.1|Misin13G011900.v7.1|Misin13G036800.v7.1|Misin13G075200.v7.1|Misin13G097300.v7.1|Misin13G189000.v7.1|Misin14G010400.v7.1|Misin14G063600.v7.1|Misin14G085300.v7.1|Misin15G027300.v7.1|Misin15G096900.v7.1|Misin15G106500.v7.1|Misin15G106600.v7.1|Misin15G106700.v7.1|Misin15G106800.v7.1|Misin15G121400.v7.1|Misin15G156200.v7.1|Misin16G016800.v7.1|Misin16G069600.v7.1|Misin16G145700.v7.1|Misin16G171600.v7.1|Misin17G156100.v7.1|Misin17G192800.v7.1|Misin18G101900.v7.1|Misin18G110200.v7.1|Misin18G173600.v7.1|MisinT107000.v7.1|MisinT272300.v7.1
GO:0016829,lyase activity,799,26,20.86,5,0.149,0.149,0.149,Misin01G042500.v7.1|Misin01G101100.v7.1|Misin01G200200.v7.1|Misin01G226100.v7.1|Misin01G412200.v7.1|Misin02G396200.v7.1|Misin03G229900.v7.1|Misin05G206700.v7.1|Misin07G351100.v7.1|Misin08G166800.v7.1|Misin09G040400.v7.1|Misin10G028000.v7.1|Misin11G130000.v7.1|Misin12G009400.v7.1|Misin12G180400.v7.1|Misin14G062100.v7.1|Misin15G015000.v7.1|Misin17G084000.v7.1|Misin18G026500.v7.1|Misin18G159600.v7.1|Misin18G188600.v7.1|Misin18G262100.v7.1|Misin19G025000.v7.1|Misin19G154100.v7.1|MisinT122000.v7.1|MisinT302500.v7.1
GO:0016791,phosphatase activity,608,20,15.88,6,0.174,0.174,0.174,Misin01G247200.v7.1|Misin01G455100.v7.1|Misin02G219800.v7.1|Misin02G391500.v7.1|Misin02G412300.v7.1|Misin02G447300.v7.1|Misin03G153200.v7.1|Misin04G296100.v7.1|Misin05G081700.v7.1|Misin07G062500.v7.1|Misin07G096200.v7.1|Misin07G545400.v7.1|Misin10G029400.v7.1|Misin12G098400.v7.1|Misin13G097200.v7.1|Misin13G149900.v7.1|Misin18G089000.v7.1|Misin19G069700.v7.1|Misin19G084300.v7.1|MisinT227600.v7.1
GO:0016810,"hydrolase activity, acting on carbon-nit...",176,6,4.6,8,0.312,0.312,0.312,Misin05G281200.v7.1|Misin05G281300.v7.1|Misin05G319200.v7.1|Misin08G067700.v7.1|Misin08G213300.v7.1|Misin12G252300.v7.1
GO:0016491,oxidoreductase activity,3700,101,96.61,9,0.331,0.331,0.331,Misin01G055200.v7.1|Misin01G059400.v7.1|Misin01G114300.v7.1|Misin01G217900.v7.1|Misin01G245000.v7.1|Misin01G488200.v7.1|Misin01G498000.v7.1|Misin02G061000.v7.1|Misin02G199800.v7.1|Misin02G252900.v7.1|Misin02G259800.v7.1|Misin02G289900.v7.1|Misin02G290200.v7.1|Misin02G350700.v7.1|Misin02G391500.v7.1|Misin02G412300.v7.1|Misin02G471400.v7.1|Misin02G481700.v7.1|Misin02G502200.v7.1|Misin03G001500.v7.1|Misin03G238800.v7.1|Misin04G029900.v7.1|Misin04G263900.v7.1|Misin04G328900.v7.1|Misin04G338200.v7.1|Misin04G393300.v7.1|Misin04G397600.v7.1|Misin04G402200.v7.1|Misin05G090400.v7.1|Misin05G090900.v7.1|Misin05G203400.v7.1|Misin05G331200.v7.1|Misin05G379400.v7.1|Misin06G030000.v7.1|Misin06G102500.v7.1|Misin06G239400.v7.1|Misin06G392100.v7.1|Misin06G395900.v7.1|Misin07G012200.v7.1|Misin07G198300.v7.1|Misin07G204200.v7.1|Misin07G230900.v7.1|Misin07G264600.v7.1|Misin07G275100.v7.1|Misin07G288200.v7.1|Misin07G370200.v7.1|Misin07G459000.v7.1|Misin08G254900.v7.1|Misin08G298800.v7.1|Misin09G040400.v7.1|Misin09G073700.v7.1|Misin09G120300.v7.1|Misin10G028000.v7.1|Misin10G029400.v7.1|Misin10G093700.v7.1|Misin10G171100.v7.1|Misin11G007400.v7.1|Misin11G013900.v7.1|Misin11G093200.v7.1|Misin11G094900.v7.1|Misin11G119700.v7.1|Misin11G204300.v7.1|Misin11G229800.v7.1|Misin12G016500.v7.1|Misin12G093200.v7.1|Misin12G105200.v7.1|Misin12G136600.v7.1|Misin12G138700.v7.1|Misin12G153100.v7.1|Misin13G131100.v7.1|Misin13G167500.v7.1|Misin15G015000.v7.1|Misin15G060000.v7.1|Misin15G126600.v7.1|Misin15G153700.v7.1|Misin16G033100.v7.1|Misin16G033200.v7.1|Misin16G077200.v7.1|Misin16G151000.v7.1|Misin17G047800.v7.1|Misin17G047900.v7.1|Misin17G048000.v7.1|Misin17G068500.v7.1|Misin17G084000.v7.1|Misin17G203400.v7.1|Misin17G247000.v7.1|Misin18G039000.v7.1|Misin18G160500.v7.1|Misin19G019900.v7.1|Misin19G056900.v7.1|Misin19G057100.v7.1|Misin19G062800.v7.1|Misin19G204000.v7.1|Misin19G244500.v7.1|MisinT014600.v7.1|MisinT014800.v7.1|MisinT023100.v7.1|MisinT061000.v7.1|MisinT219600.v7.1|MisinT268100.v7.1|MisinT388400.v7.1
GO:0016798,"hydrolase activity, acting on glycosyl b...",984,28,25.69,10,0.347,0.347,0.347,Misin01G191600.v7.1|Misin01G200200.v7.1|Misin01G412500.v7.1|Misin01G494400.v7.1|Misin02G215500.v7.1|Misin02G215600.v7.1|Misin02G505200.v7.1|Misin04G171500.v7.1|Misin04G177400.v7.1|Misin04G332600.v7.1|Misin05G177900.v7.1|Misin05G396300.v7.1|Misin06G200400.v7.1|Misin06G299700.v7.1|Misin06G325900.v7.1|Misin06G406000.v7.1|Misin08G154500.v7.1|Misin09G085800.v7.1|Misin10G043200.v7.1|Misin11G111200.v7.1|Misin16G118900.v7.1|Misin16G216900.v7.1|Misin17G123000.v7.1|Misin17G133400.v7.1|Misin17G157700.v7.1|Misin18G185300.v7.1|Misin19G243000.v7.1|Misin19G256600.v7.1
GO:0005215,transporter activity,2131,70,55.64,4,0.395,0.029,1.000,Misin01G000800.v7.1|Misin01G167600.v7.1|Misin01G262800.v7.1|Misin01G321200.v7.1|Misin01G449300.v7.1|Misin01G480900.v7.1|Misin02G180500.v7.1|Misin02G202800.v7.1|Misin02G259000.v7.1|Misin02G404700.v7.1|Misin02G445300.v7.1|Misin03G034600.v7.1|Misin03G166900.v7.1|Misin03G195300.v7.1|Misin04G008100.v7.1|Misin04G119500.v7.1|Misin04G215500.v7.1|Misin04G304200.v7.1|Misin04G304300.v7.1|Misin04G334600.v7.1|Misin05G089900.v7.1|Misin05G143100.v7.1|Misin05G205800.v7.1|Misin05G228900.v7.1|Misin05G254300.v7.1|Misin05G310700.v7.1|Misin05G367000.v7.1|Misin06G158600.v7.1|Misin06G158900.v7.1|Misin06G232100.v7.1|Misin06G339100.v7.1|Misin06G383800.v7.1|Misin08G071100.v7.1|Misin08G234200.v7.1|Misin09G016600.v7.1|Misin09G119200.v7.1|Misin10G014400.v7.1|Misin11G022700.v7.1|Misin11G096300.v7.1|Misin11G180100.v7.1|Misin12G047600.v7.1|Misin13G011400.v7.1|Misin13G011800.v7.1|Misin13G011900.v7.1|Misin13G036800.v7.1|Misin13G075200.v7.1|Misin13G097300.v7.1|Misin13G189000.v7.1|Misin14G010400.v7.1|Misin14G063600.v7.1|Misin14G085300.v7.1|Misin15G027300.v7.1|Misin15G096900.v7.1|Misin15G106500.v7.1|Misin15G106600.v7.1|Misin15G106700.v7.1|Misin15G106800.v7.1|Misin15G121400.v7.1|Misin15G156200.v7.1|Misin16G016800.v7.1|Misin16G069600.v7.1|Misin16G145700.v7.1|Misin16G171600.v7.1|Misin17G156100.v7.1|Misin17G192800.v7.1|Misin18G101900.v7.1|Misin18G110200.v7.1|Misin18G173600.v7.1|MisinT107000.v7.1|MisinT272300.v7.1
GO:0008134,transcription factor binding,87,3,2.27,11,0.397,0.397,0.397,Misin01G124800.v7.1|Misin02G124000.v7.1|Misin08G221600.v7.1
