GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0006457,protein folding,540,30,10.75,1,0.00000054,0.00000054,0.00000054,Misin01G070100.v7.1|Misin01G276400.v7.1|Misin01G367300.v7.1|Misin01G406200.v7.1|Misin01G434000.v7.1|Misin02G107000.v7.1|Misin02G180400.v7.1|Misin02G207000.v7.1|Misin02G358800.v7.1|Misin02G433500.v7.1|Misin02G470800.v7.1|Misin03G193600.v7.1|Misin04G199100.v7.1|Misin04G287200.v7.1|Misin05G196900.v7.1|Misin06G182100.v7.1|Misin07G064300.v7.1|Misin07G338000.v7.1|Misin07G405500.v7.1|Misin08G102600.v7.1|Misin11G045800.v7.1|Misin16G001700.v7.1|Misin16G103700.v7.1|Misin17G001900.v7.1|Misin17G112500.v7.1|Misin17G122200.v7.1|Misin18G063100.v7.1|Misin18G233500.v7.1|Misin19G012700.v7.1|Misin19G078200.v7.1
GO:0006091,generation of precursor metabolites and ...,1286,51,25.61,2,0.00000263,0.00000263,0.00000263,Misin01G053900.v7.1|Misin01G063200.v7.1|Misin01G121900.v7.1|Misin01G185300.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G507700.v7.1|Misin02G156200.v7.1|Misin02G341300.v7.1|Misin02G351600.v7.1|Misin02G363800.v7.1|Misin03G139300.v7.1|Misin03G278600.v7.1|Misin03G345600.v7.1|Misin04G112900.v7.1|Misin04G199600.v7.1|Misin04G200300.v7.1|Misin04G215400.v7.1|Misin04G275200.v7.1|Misin04G287200.v7.1|Misin05G181900.v7.1|Misin05G273100.v7.1|Misin06G169200.v7.1|Misin06G185100.v7.1|Misin06G200500.v7.1|Misin06G201000.v7.1|Misin06G208600.v7.1|Misin06G234900.v7.1|Misin06G253000.v7.1|Misin07G033100.v7.1|Misin07G056700.v7.1|Misin07G068200.v7.1|Misin07G215000.v7.1|Misin07G485600.v7.1|Misin08G058100.v7.1|Misin08G068100.v7.1|Misin10G053600.v7.1|Misin11G031500.v7.1|Misin12G038700.v7.1|Misin12G113600.v7.1|Misin15G101000.v7.1|Misin16G053600.v7.1|Misin17G073700.v7.1|Misin18G076600.v7.1|Misin18G102100.v7.1|Misin18G105400.v7.1|Misin18G109800.v7.1|Misin18G216900.v7.1|Misin18G220800.v7.1|Misin18G222300.v7.1|Misin19G100700.v7.1
GO:0005975,carbohydrate metabolic process,2721,84,54.18,3,0.00003481,0.00003481,0.00003481,Misin01G037000.v7.1|Misin01G063200.v7.1|Misin01G099700.v7.1|Misin01G206300.v7.1|Misin01G229200.v7.1|Misin01G358800.v7.1|Misin01G430400.v7.1|Misin01G455400.v7.1|Misin01G476900.v7.1|Misin01G486600.v7.1|Misin01G499800.v7.1|Misin02G061700.v7.1|Misin02G190600.v7.1|Misin02G205400.v7.1|Misin02G324200.v7.1|Misin02G326400.v7.1|Misin02G341300.v7.1|Misin02G347800.v7.1|Misin02G382600.v7.1|Misin02G437100.v7.1|Misin02G447000.v7.1|Misin02G483200.v7.1|Misin02G489800.v7.1|Misin02G500700.v7.1|Misin03G037900.v7.1|Misin03G086800.v7.1|Misin03G131100.v7.1|Misin03G139300.v7.1|Misin03G174800.v7.1|Misin03G201800.v7.1|Misin03G236400.v7.1|Misin03G278600.v7.1|Misin03G345600.v7.1|Misin04G012800.v7.1|Misin04G107200.v7.1|Misin04G185900.v7.1|Misin04G200300.v7.1|Misin04G215400.v7.1|Misin04G275200.v7.1|Misin06G169200.v7.1|Misin06G185100.v7.1|Misin06G200500.v7.1|Misin06G255900.v7.1|Misin06G263100.v7.1|Misin06G271500.v7.1|Misin07G006200.v7.1|Misin07G056700.v7.1|Misin07G076700.v7.1|Misin07G215000.v7.1|Misin07G474500.v7.1|Misin07G485600.v7.1|Misin07G499000.v7.1|Misin08G306300.v7.1|Misin09G069900.v7.1|Misin10G053600.v7.1|Misin12G113600.v7.1|Misin13G061400.v7.1|Misin15G034600.v7.1|Misin15G065800.v7.1|Misin15G074500.v7.1|Misin15G101000.v7.1|Misin15G153000.v7.1|Misin15G199200.v7.1|Misin16G037300.v7.1|Misin16G229500.v7.1|Misin17G016800.v7.1|Misin17G073700.v7.1|Misin17G242300.v7.1|Misin17G267700.v7.1|Misin18G105400.v7.1|Misin18G109800.v7.1|Misin18G152900.v7.1|Misin18G155800.v7.1|Misin18G220800.v7.1|Misin19G002300.v7.1|Misin19G021900.v7.1|Misin19G146800.v7.1|MisinT250000.v7.1|MisinT282800.v7.1|MisinT327000.v7.1|MisinT394200.v7.1|MisinT433500.v7.1|MisinT548100.v7.1|MisinT552400.v7.1
GO:0044281,small molecule metabolic process,6695,159,133.3,9,0.00005190,0.00649,0.00002000,Misin01G014900.v7.1|Misin01G037000.v7.1|Misin01G046000.v7.1|Misin01G070100.v7.1|Misin01G082000.v7.1|Misin01G121900.v7.1|Misin01G126400.v7.1|Misin01G135300.v7.1|Misin01G185300.v7.1|Misin01G204900.v7.1|Misin01G206300.v7.1|Misin01G246200.v7.1|Misin01G328300.v7.1|Misin01G353300.v7.1|Misin01G367300.v7.1|Misin01G373700.v7.1|Misin01G398300.v7.1|Misin01G406200.v7.1|Misin01G455400.v7.1|Misin01G503400.v7.1|Misin01G507700.v7.1|Misin01G508800.v7.1|Misin02G019200.v7.1|Misin02G030000.v7.1|Misin02G034300.v7.1|Misin02G092200.v7.1|Misin02G114500.v7.1|Misin02G121600.v7.1|Misin02G129500.v7.1|Misin02G133000.v7.1|Misin02G190600.v7.1|Misin02G192100.v7.1|Misin02G232800.v7.1|Misin02G269500.v7.1|Misin02G341300.v7.1|Misin02G347800.v7.1|Misin02G351600.v7.1|Misin02G358800.v7.1|Misin02G360800.v7.1|Misin02G363800.v7.1|Misin02G434600.v7.1|Misin02G447000.v7.1|Misin02G470800.v7.1|Misin02G489800.v7.1|Misin02G497500.v7.1|Misin03G037900.v7.1|Misin03G086800.v7.1|Misin03G131100.v7.1|Misin03G139300.v7.1|Misin03G174800.v7.1|Misin03G183100.v7.1|Misin03G183200.v7.1|Misin03G278600.v7.1|Misin03G345600.v7.1|Misin04G012800.v7.1|Misin04G107200.v7.1|Misin04G112900.v7.1|Misin04G185900.v7.1|Misin04G200300.v7.1|Misin04G231700.v7.1|Misin04G275200.v7.1|Misin04G311100.v7.1|Misin04G366400.v7.1|Misin04G384500.v7.1|Misin05G029600.v7.1|Misin05G230900.v7.1|Misin05G273100.v7.1|Misin05G338300.v7.1|Misin05G361900.v7.1|Misin05G364400.v7.1|Misin06G093100.v7.1|Misin06G153500.v7.1|Misin06G165200.v7.1|Misin06G169200.v7.1|Misin06G185100.v7.1|Misin06G200500.v7.1|Misin06G203900.v7.1|Misin06G204700.v7.1|Misin06G208600.v7.1|Misin06G234900.v7.1|Misin06G253000.v7.1|Misin06G255900.v7.1|Misin06G263100.v7.1|Misin06G338800.v7.1|Misin06G388800.v7.1|Misin06G407300.v7.1|Misin07G033100.v7.1|Misin07G052900.v7.1|Misin07G056700.v7.1|Misin07G061500.v7.1|Misin07G076700.v7.1|Misin07G285400.v7.1|Misin07G286700.v7.1|Misin07G411500.v7.1|Misin07G459800.v7.1|Misin07G499000.v7.1|Misin07G533800.v7.1|Misin08G053500.v7.1|Misin08G160600.v7.1|Misin08G206600.v7.1|Misin08G239900.v7.1|Misin08G290000.v7.1|Misin08G306300.v7.1|Misin08G317900.v7.1|Misin09G069900.v7.1|Misin10G053600.v7.1|Misin10G168300.v7.1|Misin11G078500.v7.1|Misin11G144500.v7.1|Misin12G078900.v7.1|Misin12G111300.v7.1|Misin12G113600.v7.1|Misin12G147900.v7.1|Misin12G149800.v7.1|Misin13G050500.v7.1|Misin13G105300.v7.1|Misin13G161700.v7.1|Misin13G180300.v7.1|Misin14G007100.v7.1|Misin14G007300.v7.1|Misin14G145300.v7.1|Misin15G065800.v7.1|Misin15G101000.v7.1|Misin15G153000.v7.1|Misin15G196400.v7.1|Misin16G037300.v7.1|Misin16G038700.v7.1|Misin16G053600.v7.1|Misin16G088900.v7.1|Misin16G127800.v7.1|Misin16G137400.v7.1|Misin16G241600.v7.1|Misin17G016800.v7.1|Misin17G170700.v7.1|Misin17G212000.v7.1|Misin17G249200.v7.1|Misin17G267700.v7.1|Misin18G062000.v7.1|Misin18G085200.v7.1|Misin18G105400.v7.1|Misin18G109800.v7.1|Misin18G206400.v7.1|Misin18G220800.v7.1|Misin18G234200.v7.1|Misin19G021900.v7.1|Misin19G057200.v7.1|Misin19G088500.v7.1|Misin19G191900.v7.1|Misin19G196400.v7.1|Misin19G206600.v7.1|Misin19G268100.v7.1|MisinT047100.v7.1|MisinT182000.v7.1|MisinT250000.v7.1|MisinT322000.v7.1|MisinT367100.v7.1|MisinT394200.v7.1|MisinT473800.v7.1|MisinT548100.v7.1
GO:0006629,lipid metabolic process,2140,67,42.61,4,0.00016,0.00016,0.00016,Misin01G112700.v7.1|Misin01G135300.v7.1|Misin01G246200.v7.1|Misin01G316800.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G406200.v7.1|Misin01G413300.v7.1|Misin01G455400.v7.1|Misin01G503400.v7.1|Misin02G061700.v7.1|Misin02G117400.v7.1|Misin02G133000.v7.1|Misin02G351600.v7.1|Misin02G360800.v7.1|Misin02G363800.v7.1|Misin02G434600.v7.1|Misin02G447000.v7.1|Misin02G451800.v7.1|Misin02G497500.v7.1|Misin03G037900.v7.1|Misin03G312800.v7.1|Misin04G076500.v7.1|Misin04G165000.v7.1|Misin04G200300.v7.1|Misin04G231700.v7.1|Misin04G285400.v7.1|Misin04G408300.v7.1|Misin05G285000.v7.1|Misin06G161600.v7.1|Misin06G185100.v7.1|Misin06G200500.v7.1|Misin06G208600.v7.1|Misin06G263100.v7.1|Misin06G407300.v7.1|Misin07G033100.v7.1|Misin07G056700.v7.1|Misin07G061500.v7.1|Misin07G431800.v7.1|Misin07G499000.v7.1|Misin08G008900.v7.1|Misin08G059800.v7.1|Misin08G330200.v7.1|Misin10G053600.v7.1|Misin11G078500.v7.1|Misin11G256700.v7.1|Misin12G078900.v7.1|Misin12G267100.v7.1|Misin13G071100.v7.1|Misin13G095200.v7.1|Misin13G180300.v7.1|Misin14G007300.v7.1|Misin15G065800.v7.1|Misin15G196400.v7.1|Misin16G038700.v7.1|Misin16G053600.v7.1|Misin16G137400.v7.1|Misin17G127100.v7.1|Misin18G062000.v7.1|Misin18G115100.v7.1|Misin18G234200.v7.1|Misin19G196400.v7.1|Misin19G268100.v7.1|MisinT000100.v7.1|MisinT182000.v7.1|MisinT357400.v7.1|MisinT548100.v7.1
GO:0015979,photosynthesis,416,20,8.28,5,0.00029,0.00029,0.00029,Misin01G053900.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G507700.v7.1|Misin02G351600.v7.1|Misin02G363800.v7.1|Misin03G139300.v7.1|Misin04G112900.v7.1|Misin04G199600.v7.1|Misin04G287200.v7.1|Misin05G181900.v7.1|Misin06G208600.v7.1|Misin07G033100.v7.1|Misin07G068200.v7.1|Misin08G068100.v7.1|Misin16G053600.v7.1|Misin17G073700.v7.1|Misin18G102100.v7.1|Misin18G222300.v7.1|Misin19G100700.v7.1
GO:0061024,membrane organization,407,17,8.1,7,0.00357,0.00357,0.00357,Misin01G053900.v7.1|Misin01G162800.v7.1|Misin01G373700.v7.1|Misin02G162100.v7.1|Misin02G278200.v7.1|Misin02G335300.v7.1|Misin02G363800.v7.1|Misin04G112900.v7.1|Misin06G208600.v7.1|Misin07G112200.v7.1|Misin07G499000.v7.1|Misin15G074500.v7.1|Misin16G235800.v7.1|Misin18G102100.v7.1|Misin18G222300.v7.1|Misin19G100700.v7.1|MisinT548100.v7.1
GO:0006950,response to stress,3272,86,65.15,8,0.00441,0.00441,0.00441,Misin01G040200.v7.1|Misin01G053900.v7.1|Misin01G063200.v7.1|Misin01G070100.v7.1|Misin01G076900.v7.1|Misin01G157000.v7.1|Misin01G206300.v7.1|Misin01G229200.v7.1|Misin01G276400.v7.1|Misin01G316300.v7.1|Misin01G367300.v7.1|Misin01G404800.v7.1|Misin01G434000.v7.1|Misin02G121600.v7.1|Misin02G133000.v7.1|Misin02G190600.v7.1|Misin02G313200.v7.1|Misin02G358800.v7.1|Misin02G433500.v7.1|Misin02G470800.v7.1|Misin03G037900.v7.1|Misin03G193600.v7.1|Misin03G278600.v7.1|Misin03G353100.v7.1|Misin04G199100.v7.1|Misin04G311100.v7.1|Misin04G366400.v7.1|Misin04G404300.v7.1|Misin05G015300.v7.1|Misin05G079800.v7.1|Misin05G196900.v7.1|Misin05G245000.v7.1|Misin05G245900.v7.1|Misin06G106700.v7.1|Misin06G153500.v7.1|Misin06G165200.v7.1|Misin06G182100.v7.1|Misin06G215700.v7.1|Misin06G257300.v7.1|Misin06G263100.v7.1|Misin06G332600.v7.1|Misin06G390700.v7.1|Misin07G056700.v7.1|Misin07G064300.v7.1|Misin07G216100.v7.1|Misin07G271900.v7.1|Misin07G285400.v7.1|Misin07G288400.v7.1|Misin07G346800.v7.1|Misin07G404400.v7.1|Misin07G438800.v7.1|Misin07G485600.v7.1|Misin07G506800.v7.1|Misin07G513900.v7.1|Misin08G160600.v7.1|Misin08G198300.v7.1|Misin08G235000.v7.1|Misin08G255700.v7.1|Misin09G174200.v7.1|Misin11G073600.v7.1|Misin11G270000.v7.1|Misin12G016000.v7.1|Misin12G278500.v7.1|Misin12G281500.v7.1|Misin13G145500.v7.1|Misin14G086000.v7.1|Misin16G012300.v7.1|Misin16G102400.v7.1|Misin16G185400.v7.1|Misin17G013600.v7.1|Misin17G037100.v7.1|Misin18G036500.v7.1|Misin18G063100.v7.1|Misin18G085200.v7.1|Misin18G152900.v7.1|Misin18G206400.v7.1|Misin18G233500.v7.1|Misin19G014200.v7.1|Misin19G032100.v7.1|Misin19G033400.v7.1|Misin19G078200.v7.1|Misin19G206600.v7.1|Misin19G268800.v7.1|MisinT243400.v7.1|MisinT267700.v7.1|MisinT322000.v7.1
GO:0009058,biosynthetic process,9847,227,196.06,6,0.01706,0.00348,0.01706,Misin01G014900.v7.1|Misin01G019700.v7.1|Misin01G046000.v7.1|Misin01G050800.v7.1|Misin01G063200.v7.1|Misin01G076900.v7.1|Misin01G082000.v7.1|Misin01G121900.v7.1|Misin01G126400.v7.1|Misin01G135300.v7.1|Misin01G145000.v7.1|Misin01G157000.v7.1|Misin01G172600.v7.1|Misin01G246200.v7.1|Misin01G250700.v7.1|Misin01G262000.v7.1|Misin01G353300.v7.1|Misin01G367800.v7.1|Misin01G373700.v7.1|Misin01G403300.v7.1|Misin01G406200.v7.1|Misin01G430400.v7.1|Misin01G455400.v7.1|Misin01G499800.v7.1|Misin01G503400.v7.1|Misin01G505300.v7.1|Misin01G507700.v7.1|Misin02G002400.v7.1|Misin02G019200.v7.1|Misin02G022300.v7.1|Misin02G030000.v7.1|Misin02G034300.v7.1|Misin02G061700.v7.1|Misin02G092200.v7.1|Misin02G114500.v7.1|Misin02G115400.v7.1|Misin02G117400.v7.1|Misin02G129500.v7.1|Misin02G133000.v7.1|Misin02G162100.v7.1|Misin02G163800.v7.1|Misin02G210700.v7.1|Misin02G278200.v7.1|Misin02G324200.v7.1|Misin02G341300.v7.1|Misin02G341800.v7.1|Misin02G351600.v7.1|Misin02G360800.v7.1|Misin02G363800.v7.1|Misin02G364900.v7.1|Misin02G382600.v7.1|Misin02G411700.v7.1|Misin02G434500.v7.1|Misin02G434600.v7.1|Misin02G437100.v7.1|Misin02G447000.v7.1|Misin02G451800.v7.1|Misin02G465500.v7.1|Misin02G483100.v7.1|Misin02G489800.v7.1|Misin02G497500.v7.1|Misin02G500700.v7.1|Misin03G037900.v7.1|Misin03G048300.v7.1|Misin03G139300.v7.1|Misin03G174800.v7.1|Misin03G183100.v7.1|Misin03G278600.v7.1|Misin03G288500.v7.1|Misin03G312800.v7.1|Misin03G353100.v7.1|Misin04G012800.v7.1|Misin04G076500.v7.1|Misin04G105800.v7.1|Misin04G107200.v7.1|Misin04G112900.v7.1|Misin04G185900.v7.1|Misin04G200300.v7.1|Misin04G231700.v7.1|Misin04G233700.v7.1|Misin04G274500.v7.1|Misin04G366400.v7.1|Misin04G398900.v7.1|Misin04G404300.v7.1|Misin05G030000.v7.1|Misin05G091800.v7.1|Misin05G220900.v7.1|Misin05G228300.v7.1|Misin05G230900.v7.1|Misin05G245900.v7.1|Misin05G266700.v7.1|Misin05G285000.v7.1|Misin05G338300.v7.1|Misin05G364400.v7.1|Misin06G011200.v7.1|Misin06G028000.v7.1|Misin06G037800.v7.1|Misin06G153500.v7.1|Misin06G157100.v7.1|Misin06G165200.v7.1|Misin06G185100.v7.1|Misin06G200500.v7.1|Misin06G200900.v7.1|Misin06G203900.v7.1|Misin06G204700.v7.1|Misin06G208600.v7.1|Misin06G215500.v7.1|Misin06G255900.v7.1|Misin06G257300.v7.1|Misin06G263100.v7.1|Misin06G325600.v7.1|Misin06G388800.v7.1|Misin06G407300.v7.1|Misin07G012000.v7.1|Misin07G033100.v7.1|Misin07G052900.v7.1|Misin07G056700.v7.1|Misin07G061500.v7.1|Misin07G068200.v7.1|Misin07G068300.v7.1|Misin07G106000.v7.1|Misin07G112200.v7.1|Misin07G140400.v7.1|Misin07G215000.v7.1|Misin07G236400.v7.1|Misin07G285400.v7.1|Misin07G346800.v7.1|Misin07G378500.v7.1|Misin07G459800.v7.1|Misin07G474500.v7.1|Misin07G478900.v7.1|Misin07G499000.v7.1|Misin07G506600.v7.1|Misin08G008900.v7.1|Misin08G053500.v7.1|Misin08G054300.v7.1|Misin08G059800.v7.1|Misin08G068100.v7.1|Misin08G100000.v7.1|Misin08G158500.v7.1|Misin08G217900.v7.1|Misin08G239900.v7.1|Misin08G273100.v7.1|Misin08G290000.v7.1|Misin08G295000.v7.1|Misin08G303400.v7.1|Misin08G324500.v7.1|Misin08G330200.v7.1|Misin09G069900.v7.1|Misin09G114000.v7.1|Misin09G174200.v7.1|Misin10G010300.v7.1|Misin10G053600.v7.1|Misin10G168300.v7.1|Misin11G097500.v7.1|Misin11G159500.v7.1|Misin11G256700.v7.1|Misin11G267500.v7.1|Misin12G016000.v7.1|Misin12G107000.v7.1|Misin12G111300.v7.1|Misin12G113600.v7.1|Misin12G133100.v7.1|Misin12G192100.v7.1|Misin12G267100.v7.1|Misin12G282800.v7.1|Misin13G034100.v7.1|Misin13G050500.v7.1|Misin13G054900.v7.1|Misin13G159000.v7.1|Misin13G161700.v7.1|Misin13G166200.v7.1|Misin13G180300.v7.1|Misin14G007100.v7.1|Misin14G007300.v7.1|Misin14G126300.v7.1|Misin15G074500.v7.1|Misin15G101000.v7.1|Misin15G153000.v7.1|Misin15G196400.v7.1|Misin15G207800.v7.1|Misin16G037300.v7.1|Misin16G053600.v7.1|Misin16G072300.v7.1|Misin16G079200.v7.1|Misin16G127700.v7.1|Misin16G127800.v7.1|Misin16G137400.v7.1|Misin16G154800.v7.1|Misin16G191200.v7.1|Misin16G229500.v7.1|Misin16G239400.v7.1|Misin16G241600.v7.1|Misin17G073700.v7.1|Misin17G127100.v7.1|Misin17G127600.v7.1|Misin17G165200.v7.1|Misin17G184000.v7.1|Misin17G242300.v7.1|Misin17G242400.v7.1|Misin17G245600.v7.1|Misin17G249200.v7.1|Misin18G036500.v7.1|Misin18G060600.v7.1|Misin18G062000.v7.1|Misin18G109800.v7.1|Misin18G163500.v7.1|Misin18G220800.v7.1|Misin18G234200.v7.1|Misin18G264600.v7.1|Misin19G002300.v7.1|Misin19G033400.v7.1|Misin19G057200.v7.1|Misin19G191900.v7.1|Misin19G196400.v7.1|Misin19G268100.v7.1|MisinT178900.v7.1|MisinT182000.v7.1|MisinT243400.v7.1|MisinT250000.v7.1|MisinT322000.v7.1|MisinT406100.v7.1|MisinT420000.v7.1|MisinT473800.v7.1|MisinT480700.v7.1|MisinT504500.v7.1|MisinT548100.v7.1
GO:0006412,translation,1373,39,27.34,10,0.01710,0.01710,0.01710,Misin01G019700.v7.1|Misin01G172600.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G406200.v7.1|Misin01G503400.v7.1|Misin01G505300.v7.1|Misin02G002400.v7.1|Misin02G114500.v7.1|Misin02G163800.v7.1|Misin02G341800.v7.1|Misin02G351600.v7.1|Misin02G363800.v7.1|Misin02G434500.v7.1|Misin02G483100.v7.1|Misin02G497500.v7.1|Misin03G048300.v7.1|Misin04G233700.v7.1|Misin05G091800.v7.1|Misin05G266700.v7.1|Misin06G037800.v7.1|Misin06G208600.v7.1|Misin06G215500.v7.1|Misin07G033100.v7.1|Misin07G112200.v7.1|Misin08G217900.v7.1|Misin08G290000.v7.1|Misin08G303400.v7.1|Misin08G324500.v7.1|Misin11G097500.v7.1|Misin11G267500.v7.1|Misin12G016000.v7.1|Misin12G107000.v7.1|Misin16G127700.v7.1|Misin17G127600.v7.1|Misin17G242400.v7.1|Misin18G234200.v7.1|Misin19G268100.v7.1|MisinT420000.v7.1
