GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0003723,RNA binding,1894,63,37.01,1,0.000029,0.00054,0.00029,Misin01G019700.v7.1|Misin01G020900.v7.1|Misin01G057700.v7.1|Misin01G145000.v7.1|Misin01G172600.v7.1|Misin01G206300.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G406200.v7.1|Misin01G503400.v7.1|Misin01G505300.v7.1|Misin02G001600.v7.1|Misin02G002400.v7.1|Misin02G111700.v7.1|Misin02G115400.v7.1|Misin02G163800.v7.1|Misin02G190600.v7.1|Misin02G351600.v7.1|Misin02G363800.v7.1|Misin02G471700.v7.1|Misin02G497500.v7.1|Misin03G037900.v7.1|Misin03G054900.v7.1|Misin04G031800.v7.1|Misin04G384500.v7.1|Misin05G091800.v7.1|Misin05G266700.v7.1|Misin06G025600.v7.1|Misin06G031200.v7.1|Misin06G153500.v7.1|Misin06G215500.v7.1|Misin06G407300.v7.1|Misin07G012000.v7.1|Misin07G068200.v7.1|Misin07G068300.v7.1|Misin07G112200.v7.1|Misin07G229800.v7.1|Misin07G240100.v7.1|Misin08G008900.v7.1|Misin08G068100.v7.1|Misin08G225200.v7.1|Misin08G324500.v7.1|Misin09G165700.v7.1|Misin11G099600.v7.1|Misin11G267500.v7.1|Misin13G172600.v7.1|Misin14G043800.v7.1|Misin14G126900.v7.1|Misin15G074500.v7.1|Misin15G111100.v7.1|Misin15G161500.v7.1|Misin16G127700.v7.1|Misin17G122200.v7.1|Misin17G127600.v7.1|Misin18G035800.v7.1|Misin18G036500.v7.1|Misin18G214100.v7.1|Misin19G033400.v7.1|Misin19G192800.v7.1|MisinT195800.v7.1|MisinT243400.v7.1|MisinT355700.v7.1|MisinT404900.v7.1
GO:0016491,oxidoreductase activity,3700,99,72.29,2,0.00077,0.00077,0.00077,Misin01G070100.v7.1|Misin01G135300.v7.1|Misin01G185300.v7.1|Misin01G230400.v7.1|Misin01G331800.v7.1|Misin01G340300.v7.1|Misin01G367300.v7.1|Misin01G403300.v7.1|Misin01G452900.v7.1|Misin01G487900.v7.1|Misin01G507700.v7.1|Misin02G107000.v7.1|Misin02G333100.v7.1|Misin02G333600.v7.1|Misin02G358800.v7.1|Misin02G411700.v7.1|Misin02G470800.v7.1|Misin03G345600.v7.1|Misin04G012800.v7.1|Misin04G076500.v7.1|Misin04G105800.v7.1|Misin04G165000.v7.1|Misin04G200300.v7.1|Misin04G231700.v7.1|Misin04G275200.v7.1|Misin04G287200.v7.1|Misin04G366400.v7.1|Misin05G014500.v7.1|Misin05G245000.v7.1|Misin05G273100.v7.1|Misin05G300400.v7.1|Misin05G338300.v7.1|Misin05G338900.v7.1|Misin06G165200.v7.1|Misin06G169200.v7.1|Misin06G185100.v7.1|Misin06G204700.v7.1|Misin06G234900.v7.1|Misin06G253000.v7.1|Misin06G289700.v7.1|Misin06G390700.v7.1|Misin07G052900.v7.1|Misin07G056700.v7.1|Misin07G061500.v7.1|Misin07G068200.v7.1|Misin07G068300.v7.1|Misin07G271900.v7.1|Misin07G272600.v7.1|Misin07G346800.v7.1|Misin07G506600.v7.1|Misin07G508100.v7.1|Misin07G516400.v7.1|Misin08G053500.v7.1|Misin08G068100.v7.1|Misin08G239900.v7.1|Misin08G277400.v7.1|Misin08G295000.v7.1|Misin08G330200.v7.1|Misin10G053600.v7.1|Misin11G035100.v7.1|Misin11G037800.v7.1|Misin11G256700.v7.1|Misin11G270000.v7.1|Misin12G027900.v7.1|Misin12G134500.v7.1|Misin12G267100.v7.1|Misin12G281500.v7.1|Misin13G145500.v7.1|Misin13G147500.v7.1|Misin13G159000.v7.1|Misin13G180300.v7.1|Misin13G182800.v7.1|Misin14G007300.v7.1|Misin14G145300.v7.1|Misin15G196400.v7.1|Misin15G199200.v7.1|Misin16G038700.v7.1|Misin16G102400.v7.1|Misin16G155200.v7.1|Misin16G168700.v7.1|Misin16G191200.v7.1|Misin16G235000.v7.1|Misin17G016800.v7.1|Misin17G037100.v7.1|Misin17G165200.v7.1|Misin18G011500.v7.1|Misin18G079100.v7.1|Misin18G095700.v7.1|Misin18G109800.v7.1|Misin19G014200.v7.1|Misin19G032100.v7.1|Misin19G057200.v7.1|Misin19G196400.v7.1|MisinT047100.v7.1|MisinT102700.v7.1|MisinT182000.v7.1|MisinT316400.v7.1|MisinT322000.v7.1|MisinT480700.v7.1
GO:0003735,structural constituent of ribosome,949,33,18.54,3,0.00116,0.00116,0.00116,Misin01G019700.v7.1|Misin01G172600.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G406200.v7.1|Misin01G503400.v7.1|Misin01G505300.v7.1|Misin02G002400.v7.1|Misin02G163800.v7.1|Misin02G341800.v7.1|Misin02G351600.v7.1|Misin02G363800.v7.1|Misin02G434500.v7.1|Misin02G483100.v7.1|Misin02G497500.v7.1|Misin04G233700.v7.1|Misin05G091800.v7.1|Misin05G266700.v7.1|Misin06G037800.v7.1|Misin06G208600.v7.1|Misin06G215500.v7.1|Misin07G033100.v7.1|Misin07G112200.v7.1|Misin08G303400.v7.1|Misin11G097500.v7.1|Misin11G267500.v7.1|Misin12G107000.v7.1|Misin16G127700.v7.1|Misin17G127600.v7.1|Misin17G242400.v7.1|Misin18G234200.v7.1|Misin19G268100.v7.1|MisinT420000.v7.1
GO:0016853,isomerase activity,600,23,11.72,4,0.00187,0.00187,0.00187,Misin01G406200.v7.1|Misin01G455400.v7.1|Misin02G019200.v7.1|Misin02G341300.v7.1|Misin02G347800.v7.1|Misin02G447000.v7.1|Misin02G471700.v7.1|Misin03G131100.v7.1|Misin04G287200.v7.1|Misin04G384500.v7.1|Misin05G300400.v7.1|Misin06G204700.v7.1|Misin06G289700.v7.1|Misin08G239900.v7.1|Misin10G101000.v7.1|Misin11G045800.v7.1|Misin12G111300.v7.1|Misin12G123800.v7.1|Misin14G126900.v7.1|Misin17G001900.v7.1|Misin17G184000.v7.1|Misin17G267700.v7.1|MisinT394200.v7.1
GO:0017111,nucleoside-triphosphatase activity,1109,33,21.67,6,0.01180,0.01180,1.00000,Misin01G020900.v7.1|Misin01G047000.v7.1|Misin01G075800.v7.1|Misin02G001600.v7.1|Misin02G019200.v7.1|Misin02G119200.v7.1|Misin02G162100.v7.1|Misin02G465500.v7.1|Misin03G352700.v7.1|Misin04G388500.v7.1|Misin04G404300.v7.1|Misin05G014900.v7.1|Misin05G132000.v7.1|Misin05G304800.v7.1|Misin06G004500.v7.1|Misin06G031200.v7.1|Misin06G295200.v7.1|Misin06G347200.v7.1|Misin08G158500.v7.1|Misin08G278400.v7.1|Misin09G165700.v7.1|Misin09G174200.v7.1|Misin10G139100.v7.1|Misin10G139800.v7.1|Misin12G279500.v7.1|Misin13G143500.v7.1|Misin16G154800.v7.1|Misin17G250500.v7.1|Misin18G102100.v7.1|Misin18G222300.v7.1|Misin19G100700.v7.1|MisinT195800.v7.1|MisinT355700.v7.1
GO:0016791,phosphatase activity,608,19,11.88,12,0.03168,0.03168,0.03168,Misin02G324200.v7.1|Misin02G413800.v7.1|Misin03G141800.v7.1|Misin04G162500.v7.1|Misin05G176900.v7.1|Misin05G230100.v7.1|Misin05G340800.v7.1|Misin06G120800.v7.1|Misin06G174200.v7.1|Misin11G005800.v7.1|Misin11G016000.v7.1|Misin11G206700.v7.1|Misin13G095200.v7.1|Misin14G045600.v7.1|Misin16G215000.v7.1|Misin17G036900.v7.1|Misin18G206400.v7.1|Misin19G145700.v7.1|Misin19G206600.v7.1
GO:0043167,ion binding,12724,271,248.6,14,0.03793,0.03793,0.03793,Misin01G020900.v7.1|Misin01G046000.v7.1|Misin01G047000.v7.1|Misin01G063200.v7.1|Misin01G073200.v7.1|Misin01G075800.v7.1|Misin01G121900.v7.1|Misin01G135300.v7.1|Misin01G185300.v7.1|Misin01G206300.v7.1|Misin01G246200.v7.1|Misin01G276400.v7.1|Misin01G316300.v7.1|Misin01G316800.v7.1|Misin01G328300.v7.1|Misin01G340300.v7.1|Misin01G356100.v7.1|Misin01G403300.v7.1|Misin01G434000.v7.1|Misin01G452900.v7.1|Misin01G455400.v7.1|Misin01G487900.v7.1|Misin01G508800.v7.1|Misin02G001600.v7.1|Misin02G019200.v7.1|Misin02G027500.v7.1|Misin02G030000.v7.1|Misin02G092200.v7.1|Misin02G107000.v7.1|Misin02G114500.v7.1|Misin02G119200.v7.1|Misin02G133000.v7.1|Misin02G166800.v7.1|Misin02G173300.v7.1|Misin02G180400.v7.1|Misin02G190600.v7.1|Misin02G207000.v7.1|Misin02G229100.v7.1|Misin02G232800.v7.1|Misin02G269500.v7.1|Misin02G278200.v7.1|Misin02G333100.v7.1|Misin02G333600.v7.1|Misin02G341300.v7.1|Misin02G411700.v7.1|Misin02G413800.v7.1|Misin02G433500.v7.1|Misin02G439600.v7.1|Misin02G447000.v7.1|Misin02G453000.v7.1|Misin02G465500.v7.1|Misin02G489800.v7.1|Misin03G127500.v7.1|Misin03G141800.v7.1|Misin03G174800.v7.1|Misin03G181900.v7.1|Misin03G183200.v7.1|Misin03G193600.v7.1|Misin03G250400.v7.1|Misin03G340600.v7.1|Misin03G352700.v7.1|Misin04G001000.v7.1|Misin04G027900.v7.1|Misin04G105800.v7.1|Misin04G162500.v7.1|Misin04G185900.v7.1|Misin04G199100.v7.1|Misin04G199600.v7.1|Misin04G201600.v7.1|Misin04G255000.v7.1|Misin04G311100.v7.1|Misin04G366400.v7.1|Misin04G376700.v7.1|Misin04G388500.v7.1|Misin04G404300.v7.1|Misin05G014900.v7.1|Misin05G029600.v7.1|Misin05G073500.v7.1|Misin05G079200.v7.1|Misin05G132000.v7.1|Misin05G176900.v7.1|Misin05G181900.v7.1|Misin05G230100.v7.1|Misin05G230900.v7.1|Misin05G245000.v7.1|Misin05G273100.v7.1|Misin05G304800.v7.1|Misin05G340800.v7.1|Misin05G344000.v7.1|Misin05G361900.v7.1|Misin05G392800.v7.1|Misin06G004500.v7.1|Misin06G031200.v7.1|Misin06G093100.v7.1|Misin06G120800.v7.1|Misin06G157900.v7.1|Misin06G165200.v7.1|Misin06G174200.v7.1|Misin06G200500.v7.1|Misin06G203900.v7.1|Misin06G204700.v7.1|Misin06G215700.v7.1|Misin06G234900.v7.1|Misin06G253000.v7.1|Misin06G263100.v7.1|Misin06G295200.v7.1|Misin06G317700.v7.1|Misin06G338800.v7.1|Misin06G347200.v7.1|Misin06G390700.v7.1|Misin06G401600.v7.1|Misin06G407300.v7.1|Misin07G052900.v7.1|Misin07G056700.v7.1|Misin07G061500.v7.1|Misin07G064300.v7.1|Misin07G068200.v7.1|Misin07G068300.v7.1|Misin07G196800.v7.1|Misin07G215000.v7.1|Misin07G230600.v7.1|Misin07G271900.v7.1|Misin07G272600.v7.1|Misin07G286700.v7.1|Misin07G338000.v7.1|Misin07G405500.v7.1|Misin07G411500.v7.1|Misin07G431600.v7.1|Misin07G459800.v7.1|Misin07G485600.v7.1|Misin07G506600.v7.1|Misin07G506800.v7.1|Misin07G508100.v7.1|Misin07G533800.v7.1|Misin08G053500.v7.1|Misin08G058100.v7.1|Misin08G068100.v7.1|Misin08G088800.v7.1|Misin08G102600.v7.1|Misin08G105700.v7.1|Misin08G158500.v7.1|Misin08G160600.v7.1|Misin08G206600.v7.1|Misin08G266500.v7.1|Misin08G277400.v7.1|Misin08G278400.v7.1|Misin08G290000.v7.1|Misin08G295000.v7.1|Misin08G305000.v7.1|Misin08G308200.v7.1|Misin08G317900.v7.1|Misin08G330200.v7.1|Misin09G027400.v7.1|Misin09G165700.v7.1|Misin09G174200.v7.1|Misin10G101000.v7.1|Misin10G114500.v7.1|Misin10G139100.v7.1|Misin10G139800.v7.1|Misin10G168300.v7.1|Misin11G016000.v7.1|Misin11G035100.v7.1|Misin11G037800.v7.1|Misin11G078500.v7.1|Misin11G144500.v7.1|Misin11G171000.v7.1|Misin11G183500.v7.1|Misin11G206700.v7.1|Misin11G256700.v7.1|Misin11G270000.v7.1|Misin12G027900.v7.1|Misin12G035300.v7.1|Misin12G062400.v7.1|Misin12G078900.v7.1|Misin12G113600.v7.1|Misin12G147900.v7.1|Misin12G149800.v7.1|Misin12G160100.v7.1|Misin12G223700.v7.1|Misin12G231400.v7.1|Misin12G267100.v7.1|Misin12G279500.v7.1|Misin12G281500.v7.1|Misin13G071100.v7.1|Misin13G105300.v7.1|Misin13G143500.v7.1|Misin13G145500.v7.1|Misin13G147500.v7.1|Misin13G159000.v7.1|Misin13G161700.v7.1|Misin13G183000.v7.1|Misin14G032700.v7.1|Misin14G045600.v7.1|Misin14G142800.v7.1|Misin14G145300.v7.1|Misin15G101000.v7.1|Misin15G196400.v7.1|Misin15G207800.v7.1|Misin16G001700.v7.1|Misin16G038700.v7.1|Misin16G072300.v7.1|Misin16G079200.v7.1|Misin16G079400.v7.1|Misin16G088900.v7.1|Misin16G102400.v7.1|Misin16G103700.v7.1|Misin16G116000.v7.1|Misin16G127800.v7.1|Misin16G137400.v7.1|Misin16G164500.v7.1|Misin16G191200.v7.1|Misin16G215000.v7.1|Misin16G235000.v7.1|Misin16G239400.v7.1|Misin16G241600.v7.1|Misin17G036900.v7.1|Misin17G037100.v7.1|Misin17G073700.v7.1|Misin17G112500.v7.1|Misin17G127100.v7.1|Misin17G162500.v7.1|Misin17G165200.v7.1|Misin17G170700.v7.1|Misin17G184000.v7.1|Misin17G212000.v7.1|Misin17G213900.v7.1|Misin17G245600.v7.1|Misin17G249200.v7.1|Misin17G250500.v7.1|Misin17G250900.v7.1|Misin17G261600.v7.1|Misin18G011500.v7.1|Misin18G063100.v7.1|Misin18G076600.v7.1|Misin18G079100.v7.1|Misin18G085200.v7.1|Misin18G102100.v7.1|Misin18G115100.v7.1|Misin18G152900.v7.1|Misin18G175500.v7.1|Misin18G206400.v7.1|Misin18G216900.v7.1|Misin18G220800.v7.1|Misin18G222300.v7.1|Misin18G264600.v7.1|Misin19G012700.v7.1|Misin19G014200.v7.1|Misin19G032100.v7.1|Misin19G057200.v7.1|Misin19G078200.v7.1|Misin19G100700.v7.1|Misin19G112300.v7.1|Misin19G145700.v7.1|Misin19G182900.v7.1|Misin19G191900.v7.1|Misin19G196400.v7.1|Misin19G206600.v7.1|MisinT037300.v7.1|MisinT047100.v7.1|MisinT182000.v7.1|MisinT195800.v7.1|MisinT282800.v7.1|MisinT292800.v7.1|MisinT322000.v7.1|MisinT331400.v7.1|MisinT355700.v7.1|MisinT357400.v7.1|MisinT367100.v7.1|MisinT460300.v7.1|MisinT473800.v7.1|MisinT569700.v7.1
GO:0051082,unfolded protein binding,211,8,4.12,16,0.05634,0.05634,0.05634,Misin01G276400.v7.1|Misin02G107000.v7.1|Misin02G180400.v7.1|Misin03G193600.v7.1|Misin04G199100.v7.1|Misin08G102600.v7.1|Misin18G063100.v7.1|Misin19G078200.v7.1
GO:0016798,"hydrolase activity, acting on glycosyl b...",984,26,19.23,17,0.07586,0.07586,0.07586,Misin01G040200.v7.1|Misin01G099700.v7.1|Misin01G486600.v7.1|Misin02G205400.v7.1|Misin02G326400.v7.1|Misin02G483200.v7.1|Misin02G489800.v7.1|Misin03G201800.v7.1|Misin03G236400.v7.1|Misin04G215400.v7.1|Misin06G271500.v7.1|Misin07G006200.v7.1|Misin07G076700.v7.1|Misin07G215000.v7.1|Misin07G216100.v7.1|Misin08G306300.v7.1|Misin12G016000.v7.1|Misin13G061400.v7.1|Misin15G034600.v7.1|Misin15G065800.v7.1|Misin18G155800.v7.1|Misin19G146800.v7.1|MisinT282800.v7.1|MisinT327000.v7.1|MisinT433500.v7.1|MisinT552400.v7.1
GO:0030674,"protein binding, bridging",18,1,0.35,22,0.29901,0.29901,0.29901,Misin01G162800.v7.1
