GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0016161,beta-amylase activity,25,8,0.38,1,0.0000000026,0.0000000026,0.0000000026,Misin01G486600.v7.1|Misin02G205400.v7.1|Misin02G483200.v7.1|Misin03G201800.v7.1|Misin15G034600.v7.1|Misin19G146800.v7.1|MisinT433500.v7.1|MisinT552400.v7.1
GO:0004350,glutamate-5-semialdehyde dehydrogenase a...,3,3,0.05,2,0.0000036214,0.0000036214,0.0000036214,Misin05G338300.v7.1|Misin16G155900.v7.1|Misin17G166600.v7.1
GO:0004322,ferroxidase activity,8,4,0.12,3,0.0000036920,0.0000036920,0.0000036920,Misin15G032900.v7.1|MisinT054800.v7.1|MisinT215000.v7.1|MisinT252300.v7.1
GO:0005198,structural molecule activity,1133,38,17.43,161,0.0000073084,0.13910,1.00000,Misin01G047700.v7.1|Misin01G172600.v7.1|Misin01G353300.v7.1|Misin01G373700.v7.1|Misin01G406200.v7.1|Misin01G486700.v7.1|Misin02G002400.v7.1|Misin02G033900.v7.1|Misin02G119200.v7.1|Misin02G341800.v7.1|Misin02G351600.v7.1|Misin02G363800.v7.1|Misin03G187700.v7.1|Misin04G348700.v7.1|Misin05G016000.v7.1|Misin05G121200.v7.1|Misin05G132000.v7.1|Misin05G252000.v7.1|Misin05G304800.v7.1|Misin07G033100.v7.1|Misin07G103800.v7.1|Misin07G244300.v7.1|Misin07G449800.v7.1|Misin07G475200.v7.1|Misin11G110900.v7.1|Misin11G267500.v7.1|Misin12G001000.v7.1|Misin13G161500.v7.1|Misin16G229700.v7.1|Misin16G229800.v7.1|Misin17G182700.v7.1|Misin17G242400.v7.1|Misin17G242600.v7.1|Misin18G080600.v7.1|Misin18G234200.v7.1|Misin19G215500.v7.1|MisinT213400.v7.1|MisinT556900.v7.1
GO:0008199,ferric iron binding,11,4,0.17,5,0.0000167767,0.0000167767,0.0000167767,Misin15G032900.v7.1|MisinT054800.v7.1|MisinT215000.v7.1|MisinT252300.v7.1
GO:0004349,glutamate 5-kinase activity,5,3,0.08,6,0.0000353881,0.0000353881,0.0000353881,Misin05G338300.v7.1|Misin16G155900.v7.1|Misin17G166600.v7.1
GO:0042286,"glutamate-1-semialdehyde 2,1-aminomutase...",2,2,0.03,7,0.00024,0.00024,0.00024,Misin16G183600.v7.1|Misin17G184000.v7.1
GO:0003883,CTP synthase activity,9,3,0.14,8,0.00028,0.00028,0.00028,Misin05G230900.v7.1|Misin06G203900.v7.1|Misin17G249200.v7.1
GO:0047134,protein-disulfide reductase activity,9,3,0.14,9,0.00028,0.00028,0.00028,Misin05G300400.v7.1|Misin06G289700.v7.1|Misin07G322300.v7.1
GO:0004312,fatty acid synthase activity,22,4,0.34,552,0.00033,1.00000,1.00000,Misin03G217000.v7.1|Misin17G022500.v7.1|Misin18G178000.v7.1|MisinT351000.v7.1
GO:0008865,fructokinase activity,23,4,0.35,10,0.00039,0.00039,0.00039,Misin05G037300.v7.1|Misin05G336600.v7.1|Misin06G334200.v7.1|MisinT434100.v7.1
GO:0003844,"1,4-alpha-glucan branching enzyme activi...",10,3,0.15,11,0.00040,0.00040,0.00040,Misin05G197100.v7.1|Misin07G215000.v7.1|Misin18G276400.v7.1
GO:0008883,glutamyl-tRNA reductase activity,3,2,0.05,12,0.00070,0.00070,0.00070,Misin01G185400.v7.1|Misin02G171100.v7.1
GO:0015250,water channel activity,76,6,1.17,14,0.00113,0.00113,0.00113,Misin03G107200.v7.1|Misin03G326300.v7.1|Misin04G263800.v7.1|Misin07G481100.v7.1|Misin07G548500.v7.1|Misin08G270100.v7.1
GO:0015254,glycerol channel activity,76,6,1.17,15,0.00113,0.00113,0.00113,Misin03G107200.v7.1|Misin03G326300.v7.1|Misin04G263800.v7.1|Misin07G481100.v7.1|Misin07G548500.v7.1|Misin08G270100.v7.1
GO:0016688,L-ascorbate peroxidase activity,14,3,0.22,16,0.00116,0.00116,0.00116,Misin01G391000.v7.1|Misin11G082400.v7.1|Misin12G084000.v7.1
GO:0015115,silicate transmembrane transporter activ...,4,2,0.06,17,0.00139,0.00139,0.00139,Misin07G481100.v7.1|Misin08G270100.v7.1
