GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0015994,chlorophyll metabolic process,183,17,2.92,18,0.0000000073,0.00059,0.01445,Misin01G185400.v7.1|Misin01G193500.v7.1|Misin01G373700.v7.1|Misin02G171100.v7.1|Misin02G363800.v7.1|Misin03G237800.v7.1|Misin04G000500.v7.1|Misin04G257800.v7.1|Misin05G014500.v7.1|Misin07G033100.v7.1|Misin08G054300.v7.1|Misin15G032900.v7.1|Misin16G183600.v7.1|Misin17G184000.v7.1|MisinT054800.v7.1|MisinT215000.v7.1|MisinT252300.v7.1
GO:0009658,chloroplast organization,253,17,4.04,1,0.0000008066,0.00000081,0.0000110,Misin01G053900.v7.1|Misin01G076900.v7.1|Misin01G373700.v7.1|Misin02G038500.v7.1|Misin02G363800.v7.1|Misin04G357100.v7.1|Misin04G388500.v7.1|Misin05G336600.v7.1|Misin06G334200.v7.1|Misin07G322300.v7.1|Misin16G103700.v7.1|Misin16G237200.v7.1|Misin16G243400.v7.1|Misin17G142100.v7.1|Misin17G250900.v7.1|Misin18G026800.v7.1|MisinT040800.v7.1
GO:0009228,thiamine biosynthetic process,26,6,0.42,3,0.0000028405,0.00000284,0.0000335,Misin01G126400.v7.1|Misin02G129500.v7.1|Misin04G366400.v7.1|Misin05G153100.v7.1|Misin06G165200.v7.1|MisinT322000.v7.1
GO:0055072,iron ion homeostasis,61,8,0.98,210,0.0000056474,0.08118,0.08118,Misin04G280300.v7.1|Misin14G135600.v7.1|Misin15G032900.v7.1|Misin16G239400.v7.1|Misin17G245600.v7.1|MisinT054800.v7.1|MisinT215000.v7.1|MisinT252300.v7.1
GO:0006561,proline biosynthetic process,20,5,0.32,22,0.0000130042,0.00128,0.00128,Misin05G016000.v7.1|Misin05G338300.v7.1|Misin12G184600.v7.1|Misin16G155900.v7.1|Misin17G166600.v7.1
GO:0052837,thiazole biosynthetic process,4,3,0.06,6,0.0000160452,0.00001605,0.0000160,Misin04G366400.v7.1|Misin06G165200.v7.1|MisinT322000.v7.1
GO:0006782,protoporphyrinogen IX biosynthetic proce...,21,5,0.34,7,0.0000168441,0.00001684,0.0000168,Misin01G185400.v7.1|Misin02G171100.v7.1|Misin08G054300.v7.1|Misin16G183600.v7.1|Misin17G184000.v7.1
GO:0042026,protein refolding,22,5,0.35,8,0.0000215124,0.00002151,0.0000215,Misin02G415600.v7.1|Misin16G103700.v7.1|Misin17G112500.v7.1|Misin18G018700.v7.1|Misin19G012700.v7.1
GO:0055114,oxidation-reduction process,3524,91,56.33,5,0.0000272749,0.00000917,0.0000051,Misin01G135300.v7.1|Misin01G176300.v7.1|Misin01G185400.v7.1|Misin01G340300.v7.1|Misin01G340900.v7.1|Misin01G367300.v7.1|Misin01G373700.v7.1|Misin01G391000.v7.1|Misin01G507700.v7.1|Misin02G171100.v7.1|Misin02G318600.v7.1|Misin02G363800.v7.1|Misin03G061600.v7.1|Misin03G194900.v7.1|Misin04G012800.v7.1|Misin04G051100.v7.1|Misin04G231700.v7.1|Misin04G287200.v7.1|Misin04G366400.v7.1|Misin05G014500.v7.1|Misin05G197100.v7.1|Misin05G231900.v7.1|Misin05G300400.v7.1|Misin05G338300.v7.1|Misin06G113500.v7.1|Misin06G149100.v7.1|Misin06G165200.v7.1|Misin06G203600.v7.1|Misin06G222500.v7.1|Misin06G232800.v7.1|Misin06G234900.v7.1|Misin06G289700.v7.1|Misin06G319500.v7.1|Misin07G052900.v7.1|Misin07G056700.v7.1|Misin07G061500.v7.1|Misin07G066600.v7.1|Misin07G068300.v7.1|Misin07G201900.v7.1|Misin07G215000.v7.1|Misin07G235200.v7.1|Misin07G244100.v7.1|Misin07G271900.v7.1|Misin07G322300.v7.1|Misin07G508600.v7.1|Misin08G062100.v7.1|Misin08G068100.v7.1|Misin08G068700.v7.1|Misin08G156300.v7.1|Misin08G217000.v7.1|Misin08G262800.v7.1|Misin09G018700.v7.1|Misin09G145100.v7.1|Misin09G192700.v7.1|Misin10G053600.v7.1|Misin11G025400.v7.1|Misin11G068200.v7.1|Misin11G082400.v7.1|Misin11G256700.v7.1|Misin11G270000.v7.1|Misin12G084000.v7.1|Misin12G109700.v7.1|Misin12G134500.v7.1|Misin12G183800.v7.1|Misin12G281500.v7.1|Misin13G145500.v7.1|Misin13G199000.v7.1|Misin14G071700.v7.1|Misin15G032900.v7.1|Misin16G155900.v7.1|Misin16G228500.v7.1|Misin17G015400.v7.1|Misin17G022500.v7.1|Misin17G166600.v7.1|Misin17G177900.v7.1|Misin17G251700.v7.1|Misin18G276400.v7.1|Misin19G083700.v7.1|Misin19G140800.v7.1|Misin19G190600.v7.1|Misin19G244300.v7.1|MisinT054800.v7.1|MisinT069100.v7.1|MisinT102700.v7.1|MisinT215000.v7.1|MisinT252300.v7.1|MisinT290600.v7.1|MisinT322000.v7.1|MisinT349600.v7.1|MisinT351000.v7.1|MisinT471700.v7.1
GO:0005985,sucrose metabolic process,689,26,11.01,10,0.0000566682,0.00005667,0.0000936,Misin01G229200.v7.1|Misin01G358800.v7.1|Misin01G486600.v7.1|Misin01G503500.v7.1|Misin02G205400.v7.1|Misin02G324200.v7.1|Misin02G483200.v7.1|Misin03G201800.v7.1|Misin04G012800.v7.1|Misin04G317100.v7.1|Misin05G037300.v7.1|Misin05G197100.v7.1|Misin05G336600.v7.1|Misin06G219500.v7.1|Misin06G334200.v7.1|Misin07G215000.v7.1|Misin12G163600.v7.1|Misin15G034600.v7.1|Misin16G229500.v7.1|Misin18G276400.v7.1|Misin19G002300.v7.1|Misin19G146800.v7.1|MisinT282800.v7.1|MisinT433500.v7.1|MisinT434100.v7.1|MisinT552400.v7.1
