GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0006470,protein dephosphorylation,424,6,1.18,1,0.0012,0.0012,0.0012,Misin02G413800.v7.1|Misin03G141800.v7.1|Misin04G162500.v7.1|Misin14G045600.v7.1|Misin17G216700.v7.1|Misin18G206400.v7.1
GO:0009228,thiamine biosynthetic process,26,2,0.07,2,0.0024,0.0024,0.0024,Misin01G126400.v7.1|MisinT322000.v7.1
GO:0009266,response to temperature stimulus,360,5,1,3,0.0033,0.0033,1.0000,Misin01G383300.v7.1|Misin08G198300.v7.1|Misin08G325000.v7.1|Misin11G262800.v7.1|Misin16G041700.v7.1
GO:0046686,response to cadmium ion,34,2,0.09,4,0.0040,0.0040,0.0040,Misin16G041700.v7.1|Misin18G206400.v7.1
GO:0009640,photomorphogenesis,122,3,0.34,5,0.0048,0.0048,0.0048,Misin07G506800.v7.1|Misin08G325000.v7.1|Misin11G208300.v7.1
GO:0036158,outer dynein arm assembly,2,1,0.01,6,0.0055,0.0055,0.0055,Misin01G432100.v7.1
GO:0010253,UDP-rhamnose biosynthetic process,2,1,0.01,7,0.0055,0.0055,0.0055,Misin08G239900.v7.1
GO:0019305,dTDP-rhamnose biosynthetic process,2,1,0.01,8,0.0055,0.0055,0.0055,Misin08G239900.v7.1
GO:0017148,negative regulation of translation,42,2,0.12,9,0.0061,0.0061,0.0061,Misin03G211800.v7.1|Misin12G016000.v7.1
GO:0031122,cytoplasmic microtubule organization,57,2,0.16,10,0.0110,0.0110,0.0110,Misin05G014900.v7.1|Misin06G004500.v7.1
GO:0052837,thiazole biosynthetic process,4,1,0.01,11,0.0111,0.0111,0.0111,MisinT322000.v7.1
GO:0052544,defense response by callose deposition i...,4,1,0.01,12,0.0111,0.0111,0.0111,Misin16G041700.v7.1
GO:0090071,negative regulation of ribosome biogenes...,4,1,0.01,13,0.0111,0.0111,0.0111,Misin03G211800.v7.1
GO:0006680,glucosylceramide catabolic process,6,1,0.02,19,0.0165,0.0165,0.0165,Misin10G068400.v7.1
GO:0044571,[2Fe-2S] cluster assembly,6,1,0.02,20,0.0165,0.0165,0.0165,Misin16G239400.v7.1
GO:0009700,indole phytoalexin biosynthetic process,6,1,0.02,21,0.0165,0.0165,0.0165,Misin16G041700.v7.1
GO:0006750,glutathione biosynthetic process,6,1,0.02,22,0.0165,0.0165,0.0165,Misin16G041700.v7.1
GO:0030639,polyketide biosynthetic process,7,1,0.02,28,0.0193,0.0193,0.0193,Misin08G239900.v7.1
GO:0009641,shade avoidance,7,1,0.02,29,0.0193,0.0193,0.0193,Misin07G506800.v7.1
GO:0018315,molybdenum incorporation into molybdenum...,8,1,0.02,35,0.0220,0.0220,0.0220,Misin11G262800.v7.1
GO:0032324,molybdopterin cofactor biosynthetic proc...,8,1,0.02,36,0.0220,0.0220,0.0220,Misin11G262800.v7.1
GO:0044210,'de novo' CTP biosynthetic process,9,1,0.02,40,0.0247,0.0247,0.0247,Misin17G249200.v7.1
GO:0009649,entrainment of circadian clock,10,1,0.03,44,0.0274,0.0274,0.0274,Misin07G506800.v7.1
GO:0055062,phosphate ion homeostasis,10,1,0.03,45,0.0274,0.0274,0.0274,Misin18G206400.v7.1
GO:0006541,glutamine metabolic process,94,2,0.26,51,0.0282,0.0282,0.0282,Misin14G007100.v7.1|Misin17G249200.v7.1
